evaluation,mae
2.000000000000000000e+00,2.434839639663696431e+00
1.000000000000000000e+01,2.024833118915557950e+00
2.000000000000000000e+01,1.476419501304626403e+00
3.000000000000000000e+01,5.008591842651367587e-01
4.000000000000000000e+01,1.555266380310058594e-01
5.000000000000000000e+01,1.308080959320068459e-01
6.000000000000000000e+01,9.572070121765136053e-02
7.000000000000000000e+01,5.321681976318359125e-02
8.000000000000000000e+01,2.656542778015136622e-02
9.000000000000000000e+01,2.361176490783691365e-02
1.000000000000000000e+02,2.267446517944336076e-02
