controllable,controllable,controllable,controllable,controllable,dynamic,output
6.044413010836636735e-01,8.334427679574146763e-01,7.487550930166182450e-01,7.713523087001056266e-01,1.591257079854044854e-01,1.406374566715229424e-02,1.071106051761159250e+00
9.800820946693420410e-01,2.437862455844879150e-01,2.289643138647079468e-02,3.727787360548973083e-02,7.922535538673400879e-01,0.000000000000000000e+00,1.464964007027447224e-04
6.371975541114807129e-01,8.329027295112609863e-01,7.662600278854370117e-01,8.376719951629638672e-01,1.262449920177459717e-01,0.000000000000000000e+00,6.126997470855712891e-01
5.074738860130310059e-01,8.350307345390319824e-01,6.969893574714660645e-01,5.751801729202270508e-01,2.563874423503875732e-01,0.000000000000000000e+00,2.568357229232788086e+00
4.316179156303405762e-01,8.362794518470764160e-01,6.564665436744689941e-01,4.216351211071014404e-01,3.325139880180358887e-01,1.651400327682495117e-02,2.441505193710327148e+00
3.890223503112792969e-01,8.205786347389221191e-01,7.079787850379943848e-01,5.651975870132446289e-01,2.631775736808776855e-01,3.435695171356201172e-02,3.085005998611450195e+00
2.328390181064605713e-01,9.348291754722595215e-01,7.951468825340270996e-01,5.162358880043029785e-01,2.364847660064697266e-01,4.671453684568405151e-02,1.834579706192016602e+00
3.148888349533081055e-01,7.694966197013854980e-01,6.923254728317260742e-01,5.707978606224060059e-01,2.783618569374084473e-01,7.090952992439270020e-02,2.489054679870605469e+00
4.094049334526062012e-01,1.000000000000000000e+00,9.558153152465820312e-01,5.925313830375671387e-01,9.655736386775970459e-02,5.628108233213424683e-02,2.843369960784912109e+00
4.209134876728057861e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.618148446083068848e-01,1.000000000000000000e+00,9.266232699155807495e-02,5.430470220744609833e-03
4.108713269233703613e-01,1.000000000000000000e+00,0.000000000000000000e+00,6.063168048858642578e-01,2.203297764062881470e-01,8.832888305187225342e-02,2.635711431503295898e+00
4.100620448589324951e-01,0.000000000000000000e+00,1.000000000000000000e+00,5.824766755104064941e-01,2.298463433980941772e-01,4.613998904824256897e-02,2.874935790896415710e-02
4.084324538707733154e-01,8.527702689170837402e-01,1.000000000000000000e+00,5.743526220321655273e-01,0.000000000000000000e+00,7.353438436985015869e-02,3.116022825241088867e+00
4.057801961898803711e-01,8.581496477127075195e-01,1.000000000000000000e+00,5.533779859542846680e-01,1.000000000000000000e+00,6.268065422773361206e-02,2.901743888854980469e+00
4.090329110622406006e-01,7.936220169067382812e-01,1.000000000000000000e+00,6.215856671333312988e-01,0.000000000000000000e+00,1.113082766532897949e-01,2.719676971435546875e+00
4.026464223861694336e-01,8.683727383613586426e-01,1.000000000000000000e+00,5.361069440841674805e-01,0.000000000000000000e+00,1.075024604797363281e-01,2.939116001129150391e+00
4.041044712066650391e-01,8.737660050392150879e-01,1.000000000000000000e+00,5.699468255043029785e-01,0.000000000000000000e+00,6.125625967979431152e-02,3.168158531188964844e+00
4.035614132881164551e-01,8.746302723884582520e-01,1.000000000000000000e+00,5.719937682151794434e-01,0.000000000000000000e+00,4.035209491848945618e-02,3.192341804504394531e+00
4.114331603050231934e-01,8.698417544364929199e-01,1.000000000000000000e+00,5.563310980796813965e-01,0.000000000000000000e+00,4.329582303762435913e-02,3.176418066024780273e+00
2.663204371929168701e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.663589358329772949e-01,0.000000000000000000e+00,7.724489271640777588e-02,8.618928194046020508e-01
6.442326903343200684e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.673221766948699951e-01,0.000000000000000000e+00,1.179210245609283447e-01,6.441597938537597656e-01
1.975247561931610107e-01,6.061782836914062500e-01,7.215756177902221680e-01,4.944832995533943176e-02,0.000000000000000000e+00,1.455098688602447510e-01,8.231270313262939453e-02
0.000000000000000000e+00,3.911145031452178955e-02,8.736820220947265625e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.306718885898590088e-01,5.853744805790483952e-04
9.435179829597473145e-01,5.824393033981323242e-02,4.595146179199218750e-01,8.972473144531250000e-01,5.078693479299545288e-02,1.016812399029731750e-01,4.481809446588158607e-04
4.103972911834716797e-01,6.238439083099365234e-01,3.857944011688232422e-01,4.793528020381927490e-01,3.217375576496124268e-01,6.563065201044082642e-02,1.716399908065795898e+00
3.862018883228302002e-01,1.000000000000000000e+00,8.328399658203125000e-01,4.753307104110717773e-01,6.073297858238220215e-01,5.677908658981323242e-02,2.510504722595214844e+00
9.727863594889640808e-03,1.603597402572631836e-02,3.651116788387298584e-01,1.942491531372070312e-01,9.006590247154235840e-01,6.852099299430847168e-02,4.405354708433151245e-02
3.881954252719879150e-01,5.011737346649169922e-01,4.653842747211456299e-01,9.879984855651855469e-01,6.167920231819152832e-01,1.096853613853454590e-01,1.633139252662658691e-01
5.914690494537353516e-01,1.073768287897109985e-01,5.436574220657348633e-01,1.731915771961212158e-02,5.793381333351135254e-01,1.082133948802947998e-01,3.876102715730667114e-02
9.949128627777099609e-01,9.659234881401062012e-01,4.897232055664062500e-01,9.884058833122253418e-01,1.102744191884994507e-01,1.311367899179458618e-01,1.304229022935032845e-03
