controllable,controllable,controllable,controllable,controllable,dynamic,output
4.027068912982940674e-01,8.705771565437316895e-01,5.769817829132080078e-01,5.639155507087707520e-01,2.840525805950164795e-01,2.642183084641060442e-01,-1.610215187072753906e+00
4.040395319461822510e-01,8.786495327949523926e-01,6.719850301742553711e-01,5.707275867462158203e-01,2.444170117378234863e-01,1.948429649180366818e-01,-2.289317846298217773e+00
1.965367197990417480e-01,1.490510404109954834e-01,4.838296771049499512e-01,2.722884714603424072e-01,3.137106597423553467e-01,5.057059996464718932e-01,-2.776391744613647461e+00
1.914516240358352661e-01,1.515087634325027466e-01,4.942326247692108154e-01,2.685557305812835693e-01,3.162563443183898926e-01,3.450297767552775730e-01,-1.550415873527526855e+00
4.043908417224884033e-01,8.807122111320495605e-01,7.429122924804687500e-01,5.724906325340270996e-01,2.105411291122436523e-01,1.547667538882636085e-01,-2.657158136367797852e+00
4.044481515884399414e-01,8.810639977455139160e-01,7.603080868721008301e-01,5.727943778038024902e-01,2.012545764446258545e-01,1.442421263198656045e-01,-2.743891000747680664e+00
1.999802887439727783e-01,1.493329852819442749e-01,4.785279333591461182e-01,2.743709087371826172e-01,3.123425543308258057e-01,6.046871041349022313e-01,-3.251399040222167969e+00
1.917873173952102661e-01,1.510481387376785278e-01,4.933395385742187500e-01,2.688622772693634033e-01,3.160193264484405518e-01,3.588622024326698634e-01,-1.656162142753601074e+00
1.939884722232818604e-01,1.495693922042846680e-01,4.885464608669281006e-01,2.705768346786499023e-01,3.148211836814880371e-01,4.320603631469476791e-01,-2.234761476516723633e+00
4.041381776332855225e-01,8.792243599891662598e-01,6.874479055404663086e-01,5.712163448333740234e-01,2.373922914266586304e-01,1.858743225630700713e-01,-2.375513553619384766e+00
1.989775747060775757e-01,1.491315662860870361e-01,4.798869788646697998e-01,2.737859785556793213e-01,3.127366900444030762e-01,5.752883346695888411e-01,-3.152466058731079102e+00
1.908069550991058350e-01,1.530559957027435303e-01,4.964130520820617676e-01,2.678556442260742188e-01,3.168562948703765869e-01,3.107291609018321132e-01,-1.299731969833374023e+00
4.032784402370452881e-01,8.741113543510437012e-01,6.029279828071594238e-01,5.668812990188598633e-01,2.740272283554077148e-01,2.419210364020792925e-01,-1.825060606002807617e+00
1.955178678035736084e-01,1.491727977991104126e-01,4.856497645378112793e-01,2.716263532638549805e-01,3.141367733478546143e-01,4.767255877708631573e-01,-2.575081348419189453e+00
1.923672407865524292e-01,1.504732966423034668e-01,4.919527471065521240e-01,2.693505883216857910e-01,3.156609237194061279e-01,3.801455907544836199e-01,-1.822530984878540039e+00
1.971711069345474243e-01,1.490215063095092773e-01,4.827421009540557861e-01,2.726890444755554199e-01,3.134528100490570068e-01,5.236657921724681142e-01,-2.889833688735961914e+00
1.909194290637969971e-01,1.526554971933364868e-01,4.959408044815063477e-01,2.680000960826873779e-01,3.167251050472259521e-01,3.182043713008804731e-01,-1.352748155593872070e+00
1.942167282104492188e-01,1.494895964860916138e-01,4.881016910076141357e-01,2.707380652427673340e-01,3.147147893905639648e-01,4.388619506764787070e-01,-2.288125753402709961e+00
1.931065917015075684e-01,1.499702483415603638e-01,4.903357923030853271e-01,2.699304223060607910e-01,3.152556419372558594e-01,4.048141419925496698e-01,-2.018507480621337891e+00
1.949048787355422974e-01,1.492945700883865356e-01,4.867868125438690186e-01,2.712156176567077637e-01,3.144033849239349365e-01,4.590549542849257092e-01,-2.443748950958251953e+00
4.037128686904907227e-01,8.767289519309997559e-01,6.344203948974609375e-01,5.690952539443969727e-01,2.609253823757171631e-01,2.186523613143287748e-01,-2.055117845535278320e+00
1.992817223072052002e-01,1.491805762052536011e-01,4.794536828994750977e-01,2.739649415016174316e-01,3.126173913478851318e-01,5.841192016624674466e-01,-3.186385869979858398e+00
1.976040452718734741e-01,1.490223407745361328e-01,4.820217788219451904e-01,2.729580104351043701e-01,3.132797777652740479e-01,5.359178892832472396e-01,-2.961276292800903320e+00
4.016909003257751465e-01,8.641238808631896973e-01,5.500572919845581055e-01,5.585694909095764160e-01,2.933610081672668457e-01,2.911280101294854150e-01,-1.366113424301147461e+00
2.009561508893966675e-01,1.496566385030746460e-01,4.774491488933563232e-01,2.749255895614624023e-01,3.119522929191589355e-01,6.342813613474082013e-01,-3.308672904968261719e+00
