evaluation,mae
2.000000000000000000e+00,1.280195910185575547e+00
1.000000000000000000e+01,1.269455558955669305e+00
2.000000000000000000e+01,1.283744416385889098e+00
3.000000000000000000e+01,1.164296986684203228e+00
4.000000000000000000e+01,8.709416681528091564e-01
5.000000000000000000e+01,7.437303811311721802e-01
6.000000000000000000e+01,7.315252488851546886e-01
7.000000000000000000e+01,7.469512505829334348e-01
8.000000000000000000e+01,7.621576175093650596e-01
9.000000000000000000e+01,7.877288565039635149e-01
1.000000000000000000e+02,1.951454478502273604e-01
