controllable,controllable,controllable,dynamic,controllable,dynamic,output
9.083877487945357654e-01,5.561729852745048719e-01,5.781907918738826702e-01,7.148298778205699477e-01,1.741702530328504972e-01,9.433483858842017789e-02,1.778882904308148188e-02
6.789427399635314941e-01,4.081415832042694092e-01,5.918115377426147461e-01,7.616444230079650879e-01,4.312255885452032089e-03,8.077896386384963989e-02,1.023262888193130493e-01
5.166602507233619690e-02,5.921873822808265686e-02,1.662161350250244141e-01,8.418129682540893555e-01,9.016481041908264160e-01,6.164152175188064575e-02,1.420204993337392807e-03
7.346288301050662994e-03,8.161796927452087402e-01,8.703462481498718262e-01,9.409502744674682617e-01,2.525460347533226013e-02,8.965149521827697754e-02,5.312748998403549194e-02
6.092630624771118164e-01,9.580072164535522461e-01,7.363898754119873047e-01,8.580253124237060547e-01,9.925948977470397949e-01,1.219831332564353943e-01,5.622768998146057129e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.072198033332824707e-01,1.000000000000000000e+00,9.352745860815048218e-02,3.563844133168458939e-03
9.708374738693237305e-01,9.391268491744995117e-01,8.603105545043945312e-01,8.256445527076721191e-01,3.755290806293487549e-01,6.008968129754066467e-02,7.152396254241466522e-03
8.601157367229461670e-02,8.070092648267745972e-03,2.948234975337982178e-01,7.384953498840332031e-01,9.887400269508361816e-01,4.764220491051673889e-02,4.974920302629470825e-03
8.571532368659973145e-01,8.648347109556198120e-02,1.327292919158935547e-01,8.109081387519836426e-01,9.677973985671997070e-01,8.488944917917251587e-02,3.145466034766286612e-04
6.660200655460357666e-02,7.986004948616027832e-01,9.480321407318115234e-02,8.215952515602111816e-01,1.196440961211919785e-02,6.761808693408966064e-02,2.254212051630020142e-01
9.213116168975830078e-01,8.029977679252624512e-01,8.011459112167358398e-01,8.232430219650268555e-01,6.868354231119155884e-02,3.984529525041580200e-02,1.762047968804836273e-02
9.482284188270568848e-01,9.417512416839599609e-01,7.454995065927505493e-02,7.571103572845458984e-01,8.204159885644912720e-02,4.793940857052803040e-02,1.434307638555765152e-02
1.506849192082881927e-02,5.073133707046508789e-01,3.243884071707725525e-02,8.122510313987731934e-01,8.849282860755920410e-01,2.447044290602207184e-02,4.041837900876998901e-02
9.255238175392150879e-01,1.628283858299255371e-01,9.098841547966003418e-01,8.673311471939086914e-01,9.646934270858764648e-01,6.544501334428787231e-02,1.983280380954965949e-04
1.652803122997283936e-01,6.284236162900924683e-02,1.077296808362007141e-01,8.830126523971557617e-01,9.968761205673217773e-01,9.989622980356216431e-02,2.137006027624011040e-03
3.472767472267150879e-01,9.154198765754699707e-01,9.141941070556640625e-01,9.729634523391723633e-01,2.371772192418575287e-02,9.947890043258666992e-02,5.803145766258239746e-01
1.168412342667579651e-01,9.969583153724670410e-01,1.432206332683563232e-01,9.571567773818969727e-01,3.766533434391021729e-01,7.904593646526336670e-02,1.538551449775695801e-01
8.407809138298034668e-01,7.781791035085916519e-03,5.427393913269042969e-01,8.841065764427185059e-01,3.312728554010391235e-02,4.014136642217636108e-02,4.346843634266406298e-04
1.299721151590347290e-01,9.984567165374755859e-01,1.287447661161422729e-01,8.865312337875366211e-01,2.298315018415451050e-01,7.427719980478286743e-02,2.870501577854156494e-01
4.499372839927673340e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.687461614608764648e-01,1.993198394775390625e-01,5.346827954053878784e-02,1.157998561859130859e+00
4.784550666809082031e-01,1.000000000000000000e+00,0.000000000000000000e+00,9.022687077522277832e-01,1.000000000000000000e+00,8.435970544815063477e-02,7.692808508872985840e-01
4.809014201164245605e-01,1.000000000000000000e+00,1.000000000000000000e+00,9.772287607192993164e-01,0.000000000000000000e+00,1.066208854317665100e-01,4.787122011184692383e-01
4.794233143329620361e-01,5.329366400837898254e-02,9.078475236892700195e-01,9.531971812248229980e-01,2.309293895959854126e-01,1.175463646650314331e-01,4.161736927926540375e-03
9.848276376724243164e-01,9.959531426429748535e-01,2.386952042579650879e-01,1.000000000000000000e+00,4.335548877716064453e-01,9.363995492458343506e-02,1.450036070309579372e-03
3.768122792243957520e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.936568021774291992e-02,4.206303656101226807e-01
9.806569814682006836e-01,2.527221851050853729e-02,1.916062645614147186e-02,1.000000000000000000e+00,6.437570452690124512e-01,8.782364428043365479e-02,3.241913509555160999e-05
4.061856865882873535e-01,8.098069429397583008e-01,9.410686492919921875e-01,9.186044335365295410e-01,9.735910892486572266e-01,5.174008756875991821e-02,8.672174811363220215e-01
4.061157405376434326e-01,1.000000000000000000e+00,1.000000000000000000e+00,8.252122402191162109e-01,0.000000000000000000e+00,7.525117695331573486e-02,1.495407104492187500e+00
3.869253993034362793e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.476080060005187988e-01,0.000000000000000000e+00,1.210685074329376221e-01,1.914219379425048828e+00
3.862063288688659668e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.895604133605957031e-01,0.000000000000000000e+00,9.528880566358566284e-02,2.379676103591918945e+00
3.875441253185272217e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.007410883903503418e-01,0.000000000000000000e+00,8.595439791679382324e-02,2.738556861877441406e+00
3.849625885486602783e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.264039635658264160e-01,0.000000000000000000e+00,1.026804819703102112e-01,2.621413469314575195e+00
4.517316818237304688e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.114152431488037109e-01,1.000000000000000000e+00,1.162594258785247803e-01,2.248953580856323242e+00
3.253815770149230957e-01,1.000000000000000000e+00,0.000000000000000000e+00,5.022778511047363281e-01,1.000000000000000000e+00,1.471403688192367554e-01,1.841369628906250000e+00
4.035097062587738037e-01,0.000000000000000000e+00,1.000000000000000000e+00,4.765875339508056641e-01,0.000000000000000000e+00,1.439736634492874146e-01,2.601875923573970795e-02
6.468631625175476074e-01,9.818943142890930176e-01,8.452488183975219727e-01,4.590343832969665527e-01,1.620251536369323730e-01,1.555795371532440186e-01,7.945618033409118652e-01
4.229909479618072510e-01,9.412471652030944824e-01,1.571594923734664917e-01,5.120181441307067871e-01,6.039568781852722168e-02,1.134187281131744385e-01,2.686047077178955078e+00
4.292458295822143555e-01,1.000000000000000000e+00,0.000000000000000000e+00,6.114683151245117188e-01,0.000000000000000000e+00,1.632961630821228027e-01,2.162384271621704102e+00
3.629681766033172607e-01,6.177769303321838379e-01,3.350710272789001465e-01,6.885544061660766602e-01,6.070545315742492676e-01,1.927396804094314575e-01,1.086029171943664551e+00
3.572767367586493492e-03,1.045562252402305603e-01,7.295753061771392822e-02,7.870803475379943848e-01,2.341375946998596191e-01,1.710361093282699585e-01,2.516813576221466064e-02
1.429930794984102249e-02,9.567440152168273926e-01,1.678501516580581665e-01,6.967706084251403809e-01,1.542937457561492920e-01,1.938510984182357788e-01,1.427725553512573242e-01
5.156483650207519531e-01,7.196184992790222168e-01,3.703697323799133301e-01,7.138283848762512207e-01,3.925257921218872070e-02,1.558024585247039795e-01,1.409009456634521484e+00
2.758157253265380859e-01,5.840343832969665527e-01,6.617158055305480957e-01,7.977708578109741211e-01,1.510759145021438599e-01,1.243770644068717957e-01,6.544966697692871094e-01
9.947921633720397949e-01,7.792603224515914917e-02,4.896547496318817139e-01,7.404990792274475098e-01,5.782394409179687500e-01,1.673217266798019409e-01,2.574231941252946854e-03
8.069733977317810059e-01,9.328237175941467285e-01,8.056798577308654785e-01,7.271289825439453125e-01,1.402885913848876953e-01,2.132329642772674561e-01,1.048442944884300232e-01
2.717206478118896484e-01,9.977845549583435059e-01,9.813700914382934570e-01,7.092090845108032227e-01,1.727524846792221069e-01,1.789122223854064941e-01,1.347101688385009766e+00
6.166633367538452148e-01,6.714721769094467163e-02,3.691206574440002441e-01,7.074694037437438965e-01,2.655609697103500366e-02,1.969878375530242920e-01,2.035867236554622650e-02
9.992616772651672363e-01,6.248847246170043945e-01,4.880377650260925293e-01,7.673752307891845703e-01,1.884400248527526855e-01,2.405882477760314941e-01,6.076508201658725739e-03
6.063426733016967773e-01,5.305691361427307129e-01,4.922540113329887390e-02,8.333684802055358887e-01,9.784618020057678223e-01,2.022858858108520508e-01,1.866474598646163940e-01
1.226220950484275818e-01,5.152553915977478027e-01,1.502900384366512299e-02,8.888618350028991699e-01,9.751669168472290039e-01,1.658392697572708130e-01,7.435206323862075806e-02
3.808787763118743896e-01,3.178421556949615479e-01,4.469541832804679871e-02,8.476398587226867676e-01,1.271855235099792480e-01,1.407610327005386353e-01,1.035768836736679077e-01
7.588205933570861816e-01,6.344987750053405762e-01,1.166237667202949524e-01,9.014717340469360352e-01,9.503865838050842285e-01,1.051415503025054932e-01,6.757140159606933594e-02
7.157404422760009766e-01,3.425787016749382019e-02,2.377568930387496948e-01,9.954826235771179199e-01,8.664882183074951172e-01,1.245807036757469177e-01,3.127642266917973757e-04
9.929393529891967773e-01,4.328151643276214600e-01,6.363265514373779297e-01,1.000000000000000000e+00,1.132152974605560303e-01,1.156291067600250244e-01,3.814861993305385113e-04
7.440126538276672363e-01,9.813616275787353516e-01,3.676491379737854004e-01,1.000000000000000000e+00,2.298803627490997314e-01,9.789368510246276855e-02,6.409192085266113281e-02
2.746332250535488129e-02,1.546010468155145645e-02,5.879293680191040039e-01,9.986181259155273438e-01,1.753538250923156738e-01,1.137754917144775391e-01,3.251868765801191330e-03
5.177494287490844727e-01,4.433584511280059814e-01,2.296355813741683960e-01,1.000000000000000000e+00,1.896520704030990601e-02,6.622431427240371704e-02,8.701786398887634277e-02
2.523303627967834473e-01,4.433968961238861084e-01,9.365672469139099121e-01,9.777346253395080566e-01,7.725874781608581543e-01,7.440602034330368042e-02,8.517922461032867432e-02
1.798364371061325073e-01,8.607088588178157806e-03,6.876888275146484375e-01,9.853659272193908691e-01,9.213834404945373535e-01,1.012887805700302124e-01,4.115542396903038025e-03
2.106401324272155762e-01,7.679179906845092773e-01,4.395315647125244141e-01,9.343457818031311035e-01,9.673051238059997559e-01,1.272030621767044067e-01,3.442053496837615967e-01
1.522341817617416382e-01,5.182826519012451172e-01,2.986162304878234863e-01,8.428347706794738770e-01,3.320943713188171387e-01,8.410903811454772949e-02,1.800181418657302856e-01
7.444540262222290039e-01,9.152218699455261230e-01,3.493212461471557617e-01,8.348860144615173340e-01,1.260891649872064590e-02,7.401339709758758545e-02,2.189806103706359863e-01
3.446456491947174072e-01,8.784428834915161133e-01,2.185173891484737396e-02,7.460805177688598633e-01,4.928628206253051758e-01,4.033220186829566956e-02,2.129914283752441406e+00
4.173138439655303955e-01,8.822746276855468750e-01,0.000000000000000000e+00,6.986280083656311035e-01,0.000000000000000000e+00,5.061787366867065430e-02,2.623728275299072266e+00
4.082047641277313232e-01,8.613114356994628906e-01,7.451260089874267578e-01,6.768415570259094238e-01,3.360169529914855957e-01,9.953816980123519897e-02,2.712654590606689453e+00
3.833685219287872314e-01,8.633164763450622559e-01,1.522385329008102417e-01,7.662529945373535156e-01,8.505712449550628662e-02,1.203400045633316040e-01,1.942836165428161621e+00
6.184074282646179199e-01,4.024543799459934235e-03,5.828228965401649475e-02,8.654143214225769043e-01,9.572412371635437012e-01,7.050387561321258545e-02,1.174427336081862450e-03
4.406191408634185791e-01,6.304576396942138672e-01,9.698811173439025879e-01,8.133566379547119141e-01,7.741643190383911133e-01,4.755929857492446899e-02,1.014632582664489746e+00
4.431771934032440186e-01,8.832439184188842773e-01,7.784044146537780762e-01,7.735884189605712891e-01,9.273883104324340820e-01,4.727065935730934143e-02,1.959055185317993164e+00
3.834780156612396240e-01,1.887263357639312744e-02,7.873419523239135742e-01,8.126324415206909180e-01,3.987041115760803223e-01,2.907150052487850189e-02,9.988024830818176270e-03
4.607882797718048096e-01,4.533504247665405273e-01,3.370495140552520752e-01,8.805883526802062988e-01,3.780904784798622131e-02,5.230638757348060608e-02,2.678200900554656982e-01
1.216787379235029221e-03,2.856787145137786865e-01,2.107982523739337921e-03,9.613840579986572266e-01,8.349860310554504395e-01,4.204478859901428223e-02,2.392004476860165596e-03
7.897623777389526367e-01,3.398305475711822510e-01,3.081214427947998047e-01,1.000000000000000000e+00,8.793177604675292969e-01,2.793089486658573151e-02,3.691595746204257011e-03
8.122296929359436035e-01,7.207989096641540527e-01,9.367462992668151855e-01,9.266030788421630859e-01,3.991492092609405518e-01,3.196856379508972168e-02,4.425168037414550781e-02
6.005349159240722656e-01,7.229389548301696777e-01,1.316169351339340210e-01,8.960665464401245117e-01,7.947397418320178986e-03,0.000000000000000000e+00,4.596738517284393311e-01
3.266080617904663086e-01,7.001409530639648438e-01,9.305494427680969238e-01,8.157942891120910645e-01,9.141194820404052734e-02,1.517045404762029648e-02,1.224250078201293945e+00
9.993033409118652344e-01,4.639682471752166748e-01,7.964677810668945312e-01,8.516399860382080078e-01,7.365648746490478516e-01,0.000000000000000000e+00,8.561060531064867973e-04
5.225260853767395020e-01,1.531824935227632523e-03,8.928290009498596191e-01,8.850951790809631348e-01,4.104829132556915283e-01,0.000000000000000000e+00,2.869635354727506638e-03
5.470162257552146912e-02,6.270806789398193359e-01,7.037973403930664062e-01,9.250794649124145508e-01,5.822805762290954590e-01,0.000000000000000000e+00,6.726740300655364990e-02
3.289508167654275894e-03,9.634951353073120117e-01,1.083237901329994202e-01,8.589811325073242188e-01,8.807905912399291992e-01,0.000000000000000000e+00,7.828219980001449585e-02
9.754859805107116699e-01,4.648658335208892822e-01,6.530352830886840820e-01,9.572476148605346680e-01,7.268632054328918457e-01,0.000000000000000000e+00,6.824440788477659225e-04
8.207020163536071777e-01,2.511602640151977539e-01,1.520193070173263550e-01,1.000000000000000000e+00,4.222817346453666687e-02,2.474817074835300446e-02,1.172141637653112411e-03
4.496710002422332764e-01,9.096740484237670898e-01,5.736396312713623047e-01,9.854467511177062988e-01,1.297734081745147705e-01,0.000000000000000000e+00,5.531778335571289062e-01
4.793721139430999756e-01,9.062871932983398438e-01,2.577281557023525238e-02,8.861885070800781250e-01,5.319450497627258301e-01,1.424551196396350861e-02,1.029997825622558594e+00
9.848789870738983154e-02,1.750819385051727295e-01,6.712412834167480469e-02,8.474245667457580566e-01,7.187923192977905273e-01,1.084891799837350845e-02,5.465622060000896454e-03
4.152067601680755615e-01,7.784615159034729004e-01,9.786678552627563477e-01,7.604764103889465332e-01,6.874837912619113922e-03,2.992754615843296051e-02,2.065142393112182617e+00
2.900621592998504639e-01,3.993651866912841797e-01,1.836119443178176880e-01,7.767750024795532227e-01,1.920500844717025757e-01,7.798751443624496460e-02,2.610511779785156250e-01
9.477122426033020020e-01,8.081368207931518555e-01,6.362167000770568848e-01,7.474926114082336426e-01,5.313232541084289551e-01,8.350802958011627197e-02,1.477666292339563370e-02
6.233952045440673828e-01,4.184202253818511963e-01,1.664801836013793945e-01,7.671825885772705078e-01,7.987437844276428223e-01,4.497556015849113464e-02,1.621431559324264526e-01
4.010418653488159180e-01,8.796894550323486328e-01,1.000000000000000000e+00,6.740499734878540039e-01,0.000000000000000000e+00,3.716518357396125793e-02,2.890667915344238281e+00
4.016561508178710938e-01,8.766702413558959961e-01,1.000000000000000000e+00,6.495832204818725586e-01,0.000000000000000000e+00,8.233553916215896606e-02,2.935572624206542969e+00
4.017454683780670166e-01,8.791156411170959473e-01,1.000000000000000000e+00,6.124162077903747559e-01,0.000000000000000000e+00,6.158960983157157898e-02,3.123379945755004883e+00
3.535252511501312256e-01,8.638944625854492188e-01,8.902901411056518555e-01,6.307608485221862793e-01,5.950896814465522766e-02,8.410203456878662109e-02,2.871551752090454102e+00
5.351171493530273438e-01,8.060565590858459473e-01,4.555507302284240723e-01,7.186973690986633301e-01,6.479499340057373047e-01,6.744374334812164307e-02,1.767247676849365234e+00
4.277057349681854248e-01,4.317572414875030518e-01,6.196835041046142578e-01,6.628298759460449219e-01,7.368487119674682617e-01,1.123304367065429688e-01,5.240725278854370117e-01
3.946208953857421875e-01,7.993922829627990723e-01,9.655967950820922852e-01,5.638774037361145020e-01,3.259100317955017090e-01,1.398677229881286621e-01,2.614687919616699219e+00
3.780483901500701904e-01,9.117840528488159180e-01,9.747641086578369141e-01,6.035631299018859863e-01,4.630478024482727051e-01,1.124092563986778259e-01,2.848778247833251953e+00
8.483278006315231323e-02,6.304270625114440918e-01,9.257213473320007324e-01,5.952771306037902832e-01,8.923752903938293457e-01,1.382193416357040405e-01,2.778723537921905518e-01
8.096596002578735352e-01,9.407997131347656250e-01,1.337449532002210617e-02,6.660226583480834961e-01,7.338953614234924316e-01,1.379114389419555664e-01,1.422123610973358154e-01
1.535585522651672363e-01,4.238014519214630127e-01,3.486818671226501465e-01,6.221960186958312988e-01,3.975406289100646973e-01,1.708853840827941895e-01,2.609270811080932617e-01
