controllable,controllable,controllable,dynamic,controllable,dynamic,output
2.033321857452392578e-01,1.493295729160308838e-01,4.722128212451934814e-01,3.222241625164348755e-01,3.112235963344573975e-01,6.332850735474523374e-01,-3.241981267929077148e+00
2.042952179908752441e-01,1.502446830272674561e-01,4.724667370319366455e-01,3.111755071972588937e-01,3.107810020446777344e-01,6.829688822262719450e-01,-3.268417835235595703e+00
2.040948122739791870e-01,1.535295844078063965e-01,4.804084300994873047e-01,2.690850680322531829e-01,3.103573024272918701e-01,7.617411575231463061e-01,-3.050994157791137695e+00
2.061920762062072754e-01,1.499736458063125610e-01,4.680303633213043213e-01,3.758359272864211786e-01,3.102509677410125732e-01,6.763706909449404003e-01,-3.025273799896240234e+00
1.919712424278259277e-01,1.496427059173583984e-01,4.923828840255737305e-01,2.085352665109589110e-01,3.154688477516174316e-01,5.176828401558990489e-01,-2.755443572998046875e+00
1.967637985944747925e-01,1.491424292325973511e-01,4.837289452552795410e-01,2.581352232444668049e-01,3.135696649551391602e-01,5.405221046267008056e-01,-2.980999231338500977e+00
1.759941279888153076e-01,1.579465270042419434e-01,5.230562090873718262e-01,3.745320141678782494e-02,3.233141899108886719e-01,6.701394805770728436e-01,-2.103379964828491211e+00
1.947404593229293823e-01,1.492453366518020630e-01,4.870936870574951172e-01,2.604996843650438376e-01,3.144325613975524902e-01,4.762521568817196793e-01,-2.568912982940673828e+00
2.045573741197586060e-01,1.514913886785507202e-01,4.748861193656921387e-01,2.944145262183744394e-01,3.105163872241973877e-01,7.227509818545867493e-01,-3.204151630401611328e+00
1.830456405878067017e-01,1.528408974409103394e-01,5.093631148338317871e-01,9.939335420094444484e-02,3.194690048694610596e-01,6.144065537982135172e-01,-2.541862249374389648e+00
1.849819719791412354e-01,1.577032506465911865e-01,5.139419436454772949e-01,8.919005777599323115e-02,3.175318241119384766e-01,7.155541827208982131e-01,-2.416021823883056641e+00
1.750292927026748657e-01,1.544532030820846558e-01,5.200175046920776367e-01,4.706014239369827462e-02,3.247328996658325195e-01,5.975797830667939348e-01,-2.141373872756958008e+00
1.920155882835388184e-01,1.541731506586074829e-01,5.001034140586853027e-01,1.472047629166803318e-01,3.146879076957702637e-01,7.053062172835753429e-01,-2.830273866653442383e+00
1.725564002990722656e-01,1.527205407619476318e-01,5.205515027046203613e-01,5.988565547444076737e-02,3.272233605384826660e-01,4.715081036326845831e-01,-1.790991306304931641e+00
2.059570550918579102e-01,1.554630100727081299e-01,4.816952943801879883e-01,2.912026651886177042e-01,3.095111846923828125e-01,7.962240139431793207e-01,-2.855894565582275391e+00
1.903476417064666748e-01,1.742157638072967529e-01,5.340269207954406738e-01,1.082471470713668449e-01,3.119789659976959229e-01,8.322699357005329812e-01,-2.061070680618286133e+00
1.919428110122680664e-01,1.521591544151306152e-01,4.968035221099853516e-01,1.590450925190472764e-01,3.150415718555450439e-01,6.608930156829712077e-01,-2.958522319793701172e+00
1.635840237140655518e-01,1.548397541046142578e-01,5.306692123413085938e-01,1.279782337244390542e-04,3.369575440883636475e-01,4.633757419827449486e-01,-1.438734054565429688e+00
1.785322427749633789e-01,1.522448807954788208e-01,5.137578248977661133e-01,8.481707730803232648e-02,3.225007653236389160e-01,5.425411056286626454e-01,-2.252701520919799805e+00
1.793967336416244507e-01,1.539693176746368408e-01,5.149477720260620117e-01,7.197373669296643073e-02,3.215849399566650391e-01,6.188315509472022136e-01,-2.350986957550048828e+00
2.025543749332427979e-01,1.559742093086242676e-01,4.883608818054199219e-01,2.374438874383963116e-01,3.104740679264068604e-01,7.874915531179863537e-01,-2.872898817062377930e+00
2.054419070482254028e-01,1.502859145402908325e-01,4.703117311000823975e-01,3.358142518664326559e-01,3.104258477687835693e-01,6.893353198095186762e-01,-3.190930128097534180e+00
1.949349790811538696e-01,1.495314985513687134e-01,4.875644445419311523e-01,2.256012220480203834e-01,3.142136037349700928e-01,5.596467730552050490e-01,-3.023718118667602539e+00
2.057102918624877930e-01,1.530469059944152832e-01,4.764086902141571045e-01,3.002417526594148289e-01,3.099397420883178711e-01,7.603696060846112381e-01,-3.044342279434204102e+00
1.942560225725173950e-01,1.492909640073776245e-01,4.880042672157287598e-01,2.499835273414877934e-01,3.145995438098907471e-01,4.846728580844343881e-01,-2.621514797210693359e+00
2.018110752105712891e-01,1.497857123613357544e-01,4.761483967304229736e-01,2.824636647093701214e-01,3.116463422775268555e-01,6.475807242879518810e-01,-3.318353176116943359e+00
1.917555332183837891e-01,1.502015590667724609e-01,4.937357902526855469e-01,1.851256546561768912e-01,3.154450654983520508e-01,5.750148968184385367e-01,-2.947178363800048828e+00
1.995402574539184570e-01,1.488074511289596558e-01,4.778907001018524170e-01,3.312812343840972895e-01,3.126775026321411133e-01,5.018132219979818398e-01,-2.667616605758666992e+00
2.003950178623199463e-01,1.488069444894790649e-01,4.761834442615509033e-01,3.597078153032192693e-01,3.124120533466339111e-01,4.964715191082779144e-01,-2.536836147308349609e+00
1.901327073574066162e-01,1.506341397762298584e-01,4.968397021293640137e-01,1.662347453754721982e-01,3.161117434501647949e-01,5.848719521377880870e-01,-2.890285253524780273e+00
2.026831060647964478e-01,1.589996367692947388e-01,4.946703612804412842e-01,2.323142085129544232e-01,3.099698424339294434e-01,8.165559587933095553e-01,-2.681803703308105469e+00
2.046839743852615356e-01,1.489827632904052734e-01,4.686280786991119385e-01,4.021661467483859664e-01,3.108700513839721680e-01,6.073972958845581527e-01,-2.812640666961669922e+00
1.948634982109069824e-01,1.511914283037185669e-01,4.907732903957366943e-01,1.900325563497328729e-01,3.139661550521850586e-01,6.520676139382335368e-01,-3.119480133056640625e+00
1.989064514636993408e-01,1.563695520162582397e-01,4.945962131023406982e-01,1.963395227654252950e-01,3.116386830806732178e-01,7.735064425373457953e-01,-2.826203584671020508e+00
1.920508891344070435e-01,1.574703454971313477e-01,5.055907964706420898e-01,1.365740404763601534e-01,3.141407966613769531e-01,7.497426990499951316e-01,-2.627786159515380859e+00
2.035937607288360596e-01,1.488377153873443604e-01,4.704885184764862061e-01,3.667775067397468503e-01,3.112320005893707275e-01,5.929384593187471131e-01,-2.978777170181274414e+00
2.076328694820404053e-01,1.515681743621826172e-01,4.690942764282226562e-01,3.866852966434369265e-01,3.096009194850921631e-01,7.282311177807719860e-01,-2.860472202301025391e+00
1.918512284755706787e-01,1.650183945894241333e-01,5.182731151580810547e-01,1.243089892567568466e-01,3.129637539386749268e-01,8.038572163649181368e-01,-2.305040121078491211e+00
1.805291175842285156e-01,1.633900105953216553e-01,5.257146954536437988e-01,5.269274598132400039e-02,3.191306293010711670e-01,7.429386988440355166e-01,-2.080753803253173828e+00
1.665038168430328369e-01,1.545688509941101074e-01,5.279921889305114746e-01,1.073153102636357006e-02,3.331690728664398193e-01,5.055172916347133727e-01,-1.654751181602478027e+00
2.070366442203521729e-01,1.505655497312545776e-01,4.677745103836059570e-01,3.962429318187608018e-01,3.099181354045867920e-01,6.967756469252631701e-01,-2.877954244613647461e+00
2.080139666795730591e-01,1.542746424674987793e-01,4.751592278480529785e-01,3.527940119045760992e-01,3.090991377830505371e-01,7.835290051828043278e-01,-2.787519693374633789e+00
1.994717866182327271e-01,1.532503813505172729e-01,4.875052273273468018e-01,2.143998564084811653e-01,3.119187951087951660e-01,7.324648262916322317e-01,-3.073652267456054688e+00
1.712625026702880859e-01,1.546043306589126587e-01,5.237825512886047363e-01,2.858125482139980272e-02,3.280240595340728760e-01,5.681607526110167283e-01,-1.953690528869628906e+00
1.831819564104080200e-01,1.514065861701965332e-01,5.072266459465026855e-01,1.178098905464058654e-01,3.196438848972320557e-01,5.501859371513331265e-01,-2.490054607391357422e+00
2.010247111320495605e-01,1.486981809139251709e-01,4.750099182128906250e-01,3.458165998953287024e-01,3.121415674686431885e-01,5.309966400300533129e-01,-2.798324584960937500e+00
1.925064027309417725e-01,1.510727405548095703e-01,4.941273629665374756e-01,1.742513336857123007e-01,3.149695396423339844e-01,6.288807903440496450e-01,-3.027397632598876953e+00
1.857084631919860840e-01,1.733397096395492554e-01,5.354451537132263184e-01,7.664868886496088718e-02,3.143264949321746826e-01,8.107421929574853969e-01,-1.982187628746032715e+00
1.685584336519241333e-01,1.543346792459487915e-01,5.259712934494018555e-01,2.034735047086911122e-02,3.308511078357696533e-01,5.242356264369739671e-01,-1.776062846183776855e+00
1.945162415504455566e-01,1.678909808397293091e-01,5.207229852676391602e-01,1.431773432633104137e-01,3.113863766193389893e-01,8.287971885548472972e-01,-2.268206119537353516e+00
