dynamic,controllable,controllable,dynamic,controllable,dynamic,output
7.821812412091588840e-01,2.430990516698801063e-01,9.442769354643539836e-01,4.929655003622382958e-01,3.370160835895734674e-01,4.789252223788359464e-01,3.299308201329456680e-01
8.715420365333557129e-01,1.000000000000000000e+00,0.000000000000000000e+00,4.143592417240142822e-01,1.000000000000000000e+00,5.192740559577941895e-01,1.911195460706949234e-03
7.982903122901916504e-01,2.565567493438720703e-01,9.299372434616088867e-01,4.663763940334320068e-01,3.761848211288452148e-01,4.909909963607788086e-01,3.414793014526367188e-01
7.867042422294616699e-01,7.985628247261047363e-01,8.073555827140808105e-01,4.017519056797027588e-01,1.000000000000000000e+00,5.135952830314636230e-01,8.138301782310009003e-03
8.755640983581542969e-01,1.000000000000000000e+00,0.000000000000000000e+00,4.877332746982574463e-01,4.810802936553955078e-01,5.435435175895690918e-01,2.095070108771324158e-02
9.007697105407714844e-01,2.327047660946846008e-02,0.000000000000000000e+00,4.363604485988616943e-01,1.000000000000000000e+00,5.070502758026123047e-01,1.188121823361143470e-04
1.000000000000000000e+00,1.000000000000000000e+00,7.895298004150390625e-01,3.825516402721405029e-01,3.556174039840698242e-01,5.184757113456726074e-01,2.241884544491767883e-02
1.000000000000000000e+00,3.081888854503631592e-01,0.000000000000000000e+00,4.810383617877960205e-01,0.000000000000000000e+00,5.390848517417907715e-01,4.791793972253799438e-02
1.000000000000000000e+00,1.000000000000000000e+00,9.313086867332458496e-01,5.378385186195373535e-01,1.000000000000000000e+00,5.869346857070922852e-01,1.030010098475031555e-04
1.000000000000000000e+00,3.301967680454254150e-01,1.000000000000000000e+00,5.996058583259582520e-01,0.000000000000000000e+00,5.544553995132446289e-01,5.448377132415771484e-02
1.000000000000000000e+00,6.119096875190734863e-01,1.840908639132976532e-02,5.755693316459655762e-01,2.910850942134857178e-01,5.956243276596069336e-01,8.405184000730514526e-02
9.427108168601989746e-01,4.669335782527923584e-01,6.140454113483428955e-02,6.057884097099304199e-01,9.151264429092407227e-01,5.678684115409851074e-01,3.493567346595227718e-04
1.000000000000000000e+00,7.776564359664916992e-01,8.159118890762329102e-01,5.405254960060119629e-01,6.510639190673828125e-02,5.486966967582702637e-01,3.382370620965957642e-02
1.000000000000000000e+00,0.000000000000000000e+00,9.354076981544494629e-01,5.694251060485839844e-01,8.084408044815063477e-01,5.607090592384338379e-01,1.730626332573592663e-03
1.000000000000000000e+00,1.365108694881200790e-02,9.777598977088928223e-01,5.827041268348693848e-01,1.168645918369293213e-02,5.144986510276794434e-01,2.611600235104560852e-02
1.000000000000000000e+00,5.067615211009979248e-02,1.306981593370437622e-02,6.001028418540954590e-01,9.964305162429809570e-01,4.685858488082885742e-01,3.648594429250806570e-05
1.000000000000000000e+00,5.155574157834053040e-02,6.700124591588973999e-03,5.574510097503662109e-01,5.737671256065368652e-01,4.501442909240722656e-01,4.011811316013336182e-02
1.000000000000000000e+00,9.548674821853637695e-01,1.147289127111434937e-01,4.706394672393798828e-01,8.062986731529235840e-01,4.317612648010253906e-01,1.011625397950410843e-03
1.000000000000000000e+00,8.857001066207885742e-01,2.234884202480316162e-01,5.329728722572326660e-01,6.261213421821594238e-01,4.675280749797821045e-01,5.684067960828542709e-03
9.059433341026306152e-01,1.452756579965353012e-02,3.094313740730285645e-01,4.978975057601928711e-01,3.852425681903801562e-19,4.995684325695037842e-01,7.809787243604660034e-02
8.403502702713012695e-01,0.000000000000000000e+00,1.000000000000000000e+00,4.163774251937866211e-01,0.000000000000000000e+00,4.882427752017974854e-01,6.515908241271972656e-02
7.698226571083068848e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.549246132373809814e-01,4.407084882259368896e-01,5.164152979850769043e-01,4.433870911598205566e-01
6.926896572113037109e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.380879044532775879e-01,4.855380058288574219e-01,4.766976535320281982e-01,2.786127626895904541e-01
6.042231321334838867e-01,5.472706630825996399e-03,3.571231663227081299e-01,6.053841710090637207e-01,4.761037528514862061e-01,4.947743117809295654e-01,3.388992249965667725e-01
6.692632436752319336e-01,5.531899929046630859e-01,1.858168281614780426e-02,6.363396048545837402e-01,0.000000000000000000e+00,4.715349078178405762e-01,6.311772763729095459e-02
6.020454764366149902e-01,3.697795569896697998e-01,1.000000000000000000e+00,7.328699231147766113e-01,1.000000000000000000e+00,4.609033167362213135e-01,1.231742091476917267e-02
