dynamic,controllable,controllable,dynamic,controllable,dynamic,output
4.033912940081937903e-01,3.532286584377288818e-01,7.900211811065673828e-01,4.262438720287312632e-01,2.306995242834091187e-01,9.279435831986343475e-01,-1.674131631851196289e+00
6.340661314493384326e-02,3.364012241363525391e-01,7.634864449501037598e-01,1.618157462211639863e-01,2.464500218629837036e-01,9.216055639395909216e-01,-1.759046435356140137e+00
2.225202378171318163e-01,1.850291490554809570e-01,5.523017048835754395e-01,4.911764227193908539e-02,3.129947483539581299e-01,8.247461862513357778e-01,-1.738980650901794434e+00
3.752047636788465312e-01,1.507243663072586060e-01,4.417948722839355469e-01,4.202459585842055478e-01,3.070512712001800537e-01,7.509632423369416721e-01,-2.347863674163818359e+00
1.725065035918335044e-01,1.701517552137374878e-01,5.204244256019592285e-01,2.020816904345108245e-01,3.091363310813903809e-01,8.609054814985811488e-01,-2.290747404098510742e+00
4.384686847963088496e-01,3.710385262966156006e-01,8.019583821296691895e-01,1.169244628708528272e-01,2.090368866920471191e-01,9.487403535149336875e-01,-1.560128927230834961e+00
1.447645111617881786e-01,1.542356163263320923e-01,4.932576417922973633e-01,2.049699830836608505e-01,3.126710057258605957e-01,7.366961847323397761e-01,-2.990883350372314453e+00
3.597812213627766820e-01,3.515719473361968994e-01,7.874783873558044434e-01,3.033349865432699022e-01,2.323919981718063354e-01,9.641596261858295103e-01,-1.781268358230590820e+00
5.789499387954631926e-01,3.724475502967834473e-01,8.058099746704101562e-01,1.927522252719391926e-01,2.071561664342880249e-01,9.434956132809428908e-01,-1.534674167633056641e+00
1.936690041706800591e-01,1.529427319765090942e-01,4.731264114379882812e-01,3.671192516824947072e-01,3.094863593578338623e-01,7.576302421467387971e-01,-2.851129770278930664e+00
6.364643112279022574e-01,1.493315249681472778e-01,3.948953449726104736e-01,2.387380129359547021e-01,3.048171997070312500e-01,7.808223395791983323e-01,-1.643405556678771973e+00
4.579554919821434700e-01,1.537596434354782104e-01,4.377110004425048828e-01,4.455027198493229368e-01,3.054908215999603271e-01,8.060758982594172783e-01,-1.778165817260742188e+00
5.461239665541334914e-02,3.795599937438964844e-01,8.076161146163940430e-01,4.805097292125473096e-01,1.955085396766662598e-01,9.674058013365718356e-01,-1.524936318397521973e+00
2.731236744390521665e-01,1.713451594114303589e-01,5.179048776626586914e-01,2.164254352847291840e-01,3.071652650833129883e-01,8.754233038077836593e-01,-2.191935777664184570e+00
5.645246319603824947e-01,3.440608978271484375e-01,7.851214408874511719e-01,3.613893622811197304e-01,2.392809987068176270e-01,8.936036069405599580e-01,-1.610327601432800293e+00
4.072977132796888611e-02,3.907382190227508545e-01,8.100590705871582031e-01,8.277848460633186953e-03,1.720009893178939819e-01,9.593250353334690228e-01,-1.395784139633178711e+00
5.080910681921169125e-01,3.957166075706481934e-01,8.196824789047241211e-01,5.791429577878282053e-02,1.614700108766555786e-01,9.989653535199949363e-01,-1.376284241676330566e+00
5.201905013269463307e-01,3.519236147403717041e-01,7.896697521209716797e-01,1.857280640752495549e-01,2.320019304752349854e-01,9.138167405908830254e-01,-1.625490546226501465e+00
1.231110795142293241e-01,3.333545625209808350e-01,7.662958502769470215e-01,4.904348323957368194e-01,2.484581619501113892e-01,8.793086205763477325e-01,-1.606743097305297852e+00
1.145170898772993190e-01,1.904302537441253662e-01,5.601410865783691406e-01,3.573942768398269410e-02,3.148661553859710693e-01,8.226688905960570786e-01,-1.648232102394104004e+00
3.910087998254876407e-01,3.456747531890869141e-01,7.832005620002746582e-01,3.239407290781966542e-01,2.379710227251052856e-01,9.462229022883963392e-01,-1.796446084976196289e+00
4.526124144378901870e-01,3.668418824672698975e-01,7.968466877937316895e-01,4.449804837094138710e-02,2.147666960954666138e-01,8.912443155415947782e-01,-1.399620413780212402e+00
1.028560332720933335e-01,3.744550049304962158e-01,7.926554083824157715e-01,4.171566551954854901e-03,2.029131948947906494e-01,9.093034040958833941e-01,-1.405306577682495117e+00
3.537363027751353473e-01,1.509234905242919922e-01,4.567101895809173584e-01,2.548401005202447500e-01,3.083707690238952637e-01,7.445706739010417019e-01,-2.885421991348266602e+00
5.728435199102572817e-01,3.414792418479919434e-01,7.814618349075317383e-01,1.380233841840431130e-01,2.415491938591003418e-01,8.644824302242084535e-01,-1.468599677085876465e+00
6.535458646820976325e-01,3.895617127418518066e-01,8.173691034317016602e-01,3.823151997437391758e-01,1.765113919973373413e-01,9.797123701060778123e-01,-1.433399915695190430e+00
1.885535237527656283e-01,1.743485033512115479e-01,5.223025083541870117e-01,4.178124379617699780e-01,3.059609830379486084e-01,8.667460083437799057e-01,-1.983083605766296387e+00
2.583632456146081058e-01,1.595208197832107544e-01,4.838695228099822998e-01,3.418301346604467050e-01,3.076106309890747070e-01,8.433131278179992751e-01,-2.429831027984619141e+00
5.111018074033822911e-01,1.515834480524063110e-01,4.207519590854644775e-01,3.284943593275073681e-01,3.052712678909301758e-01,8.186246032695740915e-01,-1.993581891059875488e+00
6.144205479913387169e-01,3.847794830799102783e-01,8.143059015274047852e-01,2.919762401120311601e-01,1.863533705472946167e-01,9.891478600883854000e-01,-1.485793709754943848e+00
3.171508978332894246e-01,1.651449054479598999e-01,5.101408362388610840e-01,1.286986602772177135e-01,3.097577393054962158e-01,8.171819562907101098e-01,-2.132007360458374023e+00
3.701078010488801917e-01,3.690785169601440430e-01,7.996917366981506348e-01,1.466014306945120915e-01,2.117690294981002808e-01,9.721069620807243350e-01,-1.622152566909790039e+00
4.171775582866209531e-01,3.629396557807922363e-01,7.972233891487121582e-01,2.476272731871627109e-01,2.198363989591598511e-01,9.766281355231593020e-01,-1.689951419830322266e+00
6.683741843809829497e-01,3.830920457839965820e-01,8.134808540344238281e-01,4.348329658337711234e-01,1.895996928215026855e-01,9.230161403000858300e-01,-1.383994102478027344e+00
2.843318113449090911e-01,1.608558893203735352e-01,5.096508860588073730e-01,9.942895126787347493e-02,3.129775822162628174e-01,7.687846723548092953e-01,-2.229995250701904297e+00
2.092874090499524387e-01,1.552911847829818726e-01,4.761456549167633057e-01,4.081628953149510908e-01,3.087146282196044922e-01,7.863182347629334989e-01,-2.496621370315551758e+00
2.765230184473040365e-01,3.078589141368865967e-01,7.284463644027709961e-01,9.791274711027804500e-02,2.660742402076721191e-01,8.815172030863137609e-01,-1.719909667968750000e+00
8.659252467789017860e-02,3.925547599792480469e-01,8.122374415397644043e-01,1.802358241780989412e-02,1.678944528102874756e-01,9.856850981684195379e-01,-1.407978773117065430e+00
6.587870068900799625e-01,3.830912709236145020e-01,8.134433031082153320e-01,3.380290140413558797e-01,1.895953118801116943e-01,9.584798979592072943e-01,-1.467549920082092285e+00
5.014685161336738251e-01,3.688376247882843018e-01,8.022285103797912598e-01,1.750065582246742857e-01,2.122248858213424683e-01,9.524412087980368424e-01,-1.590143680572509766e+00
2.322388060971881663e-01,3.251690864562988281e-01,7.586192488670349121e-01,2.805062169643233183e-01,2.542906701564788818e-01,9.381600879327854914e-01,-1.933326482772827148e+00
4.903378406532512002e-01,1.531893908977508545e-01,4.299002289772033691e-01,3.769560654835469315e-01,3.051988780498504639e-01,8.284697095641593290e-01,-1.892709374427795410e+00
1.633441768327360127e-02,1.659237742424011230e-01,5.075395703315734863e-01,2.863699302970308946e-01,3.084051311016082764e-01,8.445040197226431067e-01,-2.222270488739013672e+00
2.780408028289463665e-02,1.657611131668090820e-01,5.261447429656982422e-01,8.144704968651153565e-02,3.166957199573516846e-01,7.632870692924723643e-01,-1.984616398811340332e+00
6.426990065546580588e-01,1.504764407873153687e-01,4.104309678077697754e-01,1.073512350191513226e-01,3.051278293132781982e-01,7.422304220774775807e-01,-1.278031229972839355e+00
5.849578935028861837e-01,3.451444804668426514e-01,7.861174345016479492e-01,3.005949058320120382e-01,2.383243739604949951e-01,8.969073638863322984e-01,-1.614997744560241699e+00
6.226132154132619778e-01,3.406899273395538330e-01,7.826610207557678223e-01,2.256774543495636831e-01,2.421231865882873535e-01,8.724476184182327065e-01,-1.523344755172729492e+00
2.554171988698014095e-01,1.627643257379531860e-01,4.966999590396881104e-01,2.605285695039950000e-01,3.080041706562042236e-01,8.556253194607774670e-01,-2.425547122955322266e+00
7.745793767684322484e-02,1.559035331010818481e-01,4.826833009719848633e-01,3.904500927889096862e-01,3.094380199909210205e-01,7.789610528188726235e-01,-2.477458953857421875e+00
6.802489509676393209e-02,3.342785835266113281e-01,7.637959122657775879e-01,2.095086639913465165e-01,2.479735165834426880e-01,9.316436738470545986e-01,-1.821863532066345215e+00
3.391968951122926179e-01,3.813254833221435547e-01,8.074843883514404297e-01,8.665436707245480208e-02,1.921971440315246582e-01,9.829878545740515783e-01,-1.515731811523437500e+00
3.329469090316652859e-03,1.708914637565612793e-01,5.277133584022521973e-01,1.334312350546750237e-01,3.118894398212432861e-01,8.133991868298382499e-01,-1.991164088249206543e+00
4.221925609526672729e-01,1.740510016679763794e-01,5.188768506050109863e-01,1.514887658379668878e-01,3.051447868347167969e-01,8.539812050858325287e-01,-1.808601617813110352e+00
3.264003036292472126e-01,1.906185448169708252e-01,5.586328506469726562e-01,6.557922048793619896e-02,3.076203465461730957e-01,8.360441082772609445e-01,-1.662954568862915039e+00
2.954601728147678297e-01,1.673942506313323975e-01,5.281738638877868652e-01,2.911295756058514608e-02,3.162447810173034668e-01,7.570092203642697637e-01,-1.763588786125183105e+00
2.176356311460392878e-01,3.623825311660766602e-01,7.933921813964843750e-01,2.329778393460162911e-01,2.204591333866119385e-01,9.959325630043989186e-01,-1.706734299659729004e+00
1.793278716637006776e-01,1.749998629093170166e-01,5.242930054664611816e-01,3.528945786191057810e-01,3.060507476329803467e-01,8.850877778149468522e-01,-2.115180730819702148e+00
1.290534944911707893e-01,1.564365923404693604e-01,4.836304187774658203e-01,4.544122088150801542e-01,3.093062639236450195e-01,7.686888306317107844e-01,-2.211492538452148438e+00
5.994976224295014422e-01,3.601669073104858398e-01,7.971587181091308594e-01,1.701654385965207239e-01,2.231518626213073730e-01,8.993786516475502646e-01,-1.493521451950073242e+00
5.453787773994145383e-01,1.492190212011337280e-01,4.070729613304138184e-01,2.734690877316893198e-01,3.054122328758239746e-01,7.754140689374621198e-01,-2.078349828720092773e+00
4.825604354097229876e-01,1.538457125425338745e-01,4.388967454433441162e-01,2.655783699539608356e-01,3.055364787578582764e-01,8.330431008984579000e-01,-2.048059225082397461e+00
9.819635207912991159e-02,1.643131226301193237e-01,5.030708909034729004e-01,3.189023838146288758e-01,3.084091246128082275e-01,8.499859822609190374e-01,-2.354596376419067383e+00
4.370138765554551497e-01,1.497776657342910767e-01,4.273770451545715332e-01,4.729085533187175061e-01,3.063792884349822998e-01,7.262705970485329177e-01,-1.899078607559204102e+00
5.378561448373869736e-01,3.709934949874877930e-01,8.049256205558776855e-01,4.639911008861308250e-01,2.092714309692382812e-01,9.164257496461414298e-01,-1.474428653717041016e+00
3.927169172590496138e-01,1.524848192930221558e-01,4.439831972122192383e-01,4.003628773777864747e-01,3.064909577369689941e-01,7.938817839071570237e-01,-2.245176553726196289e+00
3.309371177279887277e-01,1.833171993494033813e-01,5.490377545356750488e-01,2.240329040003087233e-02,3.117474317550659180e-01,7.997771681514307396e-01,-1.528475522994995117e+00
2.417640492664328289e-01,1.733848750591278076e-01,5.350688695907592773e-01,6.323009449223426781e-02,3.139365911483764648e-01,8.045949182230515140e-01,-1.898608207702636719e+00
1.640918562468251241e-01,1.583542078733444214e-01,5.099534392356872559e-01,1.241851621399376882e-01,3.151239454746246338e-01,7.476396037254300353e-01,-2.550743103027343750e+00
1.489391593602491237e-01,3.453755974769592285e-01,7.671399116516113281e-01,7.492321058060529004e-02,2.388978451490402222e-01,9.061710449852596883e-01,-1.614068984985351562e+00
