evaluation,mae
2.000000000000000000e+00,1.342261967658996635e+00
1.000000000000000000e+01,7.202860879898070889e-01
2.000000000000000000e+01,5.391231298446654829e-01
3.000000000000000000e+01,3.713423204421997248e-01
4.000000000000000000e+01,3.990998077392577947e-01
5.000000000000000000e+01,3.633239889144897483e-01
6.000000000000000000e+01,3.646101951599121094e-01
7.000000000000000000e+01,3.386073660850524858e-01
8.000000000000000000e+01,3.518952882289886341e-01
9.000000000000000000e+01,3.442071962356567649e-01
1.000000000000000000e+02,2.572004461288452393e-01
