controllable,controllable,controllable,controllable,controllable,dynamic,output
2.059141546487808228e-01,1.656293272972106934e-01,5.050076842308044434e-01,2.775585651397705078e-01,3.079609572887420654e-01,8.658654643474044121e-01,-2.376829862594604492e+00
2.055411040782928467e-01,1.575140655040740967e-01,4.871430397033691406e-01,2.773624956607818604e-01,3.093250989913940430e-01,8.159511243026745797e-01,-2.734422922134399414e+00
2.058867812156677246e-01,1.627886444330215454e-01,4.986684322357177734e-01,2.775422930717468262e-01,3.084119558334350586e-01,8.530408568787426482e-01,-2.472462654113769531e+00
2.149815857410430908e-01,3.177297115325927734e-01,7.499728202819824219e-01,2.821424901485443115e-01,2.591606378555297852e-01,9.311346615600299970e-01,-1.960856318473815918e+00
2.160807996988296509e-01,3.270020782947540283e-01,7.602648735046386719e-01,2.826726436614990234e-01,2.530506849288940430e-01,9.404928218008695717e-01,-1.925788402557373047e+00
2.179999798536300659e-01,3.438260555267333984e-01,7.774370312690734863e-01,2.836406826972961426e-01,2.397876232862472534e-01,9.630749623214645005e-01,-1.844367861747741699e+00
2.198059111833572388e-01,3.607217073440551758e-01,7.928203344345092773e-01,2.846788763999938965e-01,2.224672734737396240e-01,9.959822725364319007e-01,-1.724784493446350098e+00
2.183387577533721924e-01,3.469045460224151611e-01,7.803754210472106934e-01,2.838216722011566162e-01,2.369802296161651611e-01,9.681642737547758726e-01,-1.826171755790710449e+00
2.101280093193054199e-01,2.766348719596862793e-01,6.974349021911621094e-01,2.798119783401489258e-01,2.796354293823242188e-01,9.087747102093324258e-01,-2.055023193359375000e+00
2.056873738765716553e-01,1.765276789665222168e-01,5.286561846733093262e-01,2.774607539176940918e-01,3.062297999858856201e-01,8.933184196795892484e-01,-2.168354034423828125e+00
2.054825723171234131e-01,1.570903509855270386e-01,4.862580895423889160e-01,2.773327231407165527e-01,3.094066083431243896e-01,8.117966811875816369e-01,-2.761934041976928711e+00
2.056519836187362671e-01,1.584639847278594971e-01,4.891597628593444824e-01,2.774189412593841553e-01,3.091489672660827637e-01,8.244456977035063971e-01,-2.676869392395019531e+00
2.059075385332107544e-01,1.637875288724899292e-01,5.009024143218994141e-01,2.775538265705108643e-01,3.082542121410369873e-01,8.579691503892381554e-01,-2.435931682586669922e+00
2.189154326915740967e-01,3.522468805313110352e-01,7.853288650512695312e-01,2.841425240039825439e-01,2.317681759595870972e-01,9.778640450847754240e-01,-1.791306376457214355e+00
2.163828611373901367e-01,3.295907080173492432e-01,7.630310058593750000e-01,2.828196585178375244e-01,2.512097656726837158e-01,9.434622301595474436e-01,-1.914902448654174805e+00
2.057368159294128418e-01,1.594289392232894897e-01,4.912476539611816406e-01,2.774626612663269043e-01,3.089771270751953125e-01,8.321045250804682825e-01,-2.623603105545043945e+00
2.058473676443099976e-01,1.613617986440658569e-01,4.955028593540191650e-01,2.775199115276336670e-01,3.086483180522918701e-01,8.450808383758291464e-01,-2.530770301818847656e+00
2.058916836977005005e-01,1.680026948451995850e-01,5.102698802947998047e-01,2.775508463382720947e-01,3.075870573520660400e-01,8.742280438307393764e-01,-2.313642024993896484e+00
2.052869349718093872e-01,1.559316664934158325e-01,4.839214980602264404e-01,2.772304713726043701e-01,3.096387088298797607e-01,7.991770926214077919e-01,-2.842681169509887695e+00
2.119267731904983521e-01,2.922946810722351074e-01,7.187272310256958008e-01,2.806823551654815674e-01,2.728537321090698242e-01,9.141116552162307229e-01,-2.030220985412597656e+00
2.174643427133560181e-01,3.390285074710845947e-01,7.727341651916503906e-01,2.833618223667144775e-01,2.439051121473312378e-01,9.557909680659584239e-01,-1.870407581329345703e+00
2.055753767490386963e-01,1.806956231594085693e-01,5.372944474220275879e-01,2.774098813533782959e-01,3.055389225482940674e-01,8.987537564032164195e-01,-2.127123832702636719e+00
2.192998081445693970e-01,3.558810949325561523e-01,7.885956764221191406e-01,2.843680679798126221e-01,2.279474586248397827e-01,9.851793083267139650e-01,-1.764719843864440918e+00
2.142543196678161621e-01,3.116706311702728271e-01,7.429240942001342773e-01,2.817928493022918701e-01,2.627892196178436279e-01,9.260047582165781277e-01,-1.980776786804199219e+00
2.058504074811935425e-01,1.704288423061370850e-01,5.155931711196899414e-01,2.775404155254364014e-01,3.072061538696289062e-01,8.811165885534413267e-01,-2.261285781860351562e+00
