controllable,controllable,controllable,controllable,controllable,dynamic,output
4.141647577752242126e-01,8.049187553032921549e-02,8.812923216974849483e-01,7.174527650052174854e-01,4.758650304138182241e-01,8.554441103260166379e-01,2.168147255654990224e-01
9.733279943466186523e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,8.080583214759826660e-01,-5.785148125141859055e-03
4.613226652145385742e-01,2.200818657875061035e-01,9.339917898178100586e-01,8.332172036170959473e-01,3.917053043842315674e-01,8.062258958816528320e-01,1.689326167106628418e-01
2.938925623893737793e-01,0.000000000000000000e+00,7.617334127426147461e-01,4.432908296585083008e-01,6.755751371383666992e-01,7.622503638267517090e-01,1.973674297332763672e-01
1.000000000000000000e+00,3.008395992219448090e-02,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.721890211105346680e-01,-9.211729466915130615e-02
1.000000000000000000e+00,0.000000000000000000e+00,8.117576837539672852e-01,0.000000000000000000e+00,1.000000000000000000e+00,7.687641382217407227e-01,-1.076030917465686798e-02
3.913457095623016357e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.307757735252380371e-01,-6.089937314391136169e-02
2.458079904317855835e-01,0.000000000000000000e+00,9.244539141654968262e-01,8.356826901435852051e-01,3.986167907714843750e-01,7.284928560256958008e-01,1.461640149354934692e-01
4.281840622425079346e-01,0.000000000000000000e+00,7.813082337379455566e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.922973394393920898e-01,2.010044008493423462e-01
3.848535716533660889e-01,3.054184317588806152e-01,7.756205201148986816e-01,1.000000000000000000e+00,1.000000000000000000e+00,7.204130291938781738e-01,-5.801341310143470764e-02
1.000000000000000000e+00,5.416224598884582520e-01,7.308735847473144531e-01,0.000000000000000000e+00,4.897302389144897461e-01,7.192119359970092773e-01,1.557155698537826538e-01
1.000000000000000000e+00,0.000000000000000000e+00,9.797937273979187012e-01,0.000000000000000000e+00,6.187642216682434082e-01,7.180318832397460938e-01,5.728439986705780029e-02
0.000000000000000000e+00,0.000000000000000000e+00,7.518900632858276367e-01,1.000000000000000000e+00,1.811361163854598999e-01,6.912532448768615723e-01,9.529669582843780518e-02
1.000000000000000000e+00,2.050902843475341797e-01,8.969519138336181641e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.493560671806335449e-01,1.570328325033187866e-01
1.000000000000000000e+00,1.000000000000000000e+00,6.795216202735900879e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.317189931869506836e-01,1.610647886991500854e-03
5.280078649520874023e-01,0.000000000000000000e+00,8.204528689384460449e-01,0.000000000000000000e+00,5.333618521690368652e-01,6.513983607292175293e-01,3.613380193710327148e-01
1.000000000000000000e+00,1.000000000000000000e+00,8.176280856132507324e-01,0.000000000000000000e+00,4.761720597743988037e-01,6.664504408836364746e-01,-7.304932922124862671e-02
6.051877737045288086e-01,0.000000000000000000e+00,8.386497497558593750e-01,0.000000000000000000e+00,4.051685929298400879e-01,6.308320164680480957e-01,4.448329210281372070e-01
6.566179394721984863e-01,0.000000000000000000e+00,7.910302281379699707e-01,0.000000000000000000e+00,3.583636879920959473e-01,6.344718933105468750e-01,5.387480258941650391e-01
