controllable,controllable,controllable,controllable,controllable,dynamic,output
5.053035877370142259e-01,2.666655202159822213e-01,9.670346580668278680e-01,3.716942701915425529e-01,8.510612535383618171e-01,4.612089591555799117e-01,1.945858937470550457e-02
3.229952454566955566e-01,5.596252083778381348e-01,6.226601004600524902e-01,6.086567044258117676e-02,4.027206003665924072e-01,4.141102433204650879e-01,6.808163523674011230e-01
3.229939639568328857e-01,5.596253275871276855e-01,6.226582527160644531e-01,6.086172536015510559e-02,4.027206897735595703e-01,4.718619883060455322e-01,8.100315928459167480e-01
3.070674538612365723e-01,5.603005886077880859e-01,5.995352864265441895e-01,1.227220147848129272e-02,4.043267369270324707e-01,4.478901326656341553e-01,6.841023564338684082e-01
8.682525753974914551e-01,5.366163253784179688e-01,1.000000000000000000e+00,1.000000000000000000e+00,3.475744724273681641e-01,4.407267868518829346e-01,6.246261764317750931e-03
1.000000000000000000e+00,1.000000000000000000e+00,7.373297214508056641e-01,1.000000000000000000e+00,0.000000000000000000e+00,3.422697782516479492e-01,3.953780687879770994e-04
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.231423988938331604e-01,1.000000000000000000e+00,4.025233089923858643e-01,4.807509321835823357e-05
3.647742271423339844e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.190470278263092041e-01,5.312839895486831665e-02
1.179227307438850403e-01,8.315990567207336426e-01,7.209029197692871094e-01,7.590549439191818237e-02,4.703964293003082275e-02,5.032360553741455078e-01,1.377002298831939697e-01
3.806625306606292725e-01,5.592277050018310547e-01,7.123800516128540039e-01,2.529274523258209229e-01,3.898192048072814941e-01,5.026086568832397461e-01,1.037010073661804199e+00
4.084603488445281982e-01,5.751533508300781250e-01,6.376034021377563477e-01,7.725701481103897095e-02,4.070877432823181152e-01,5.414437055587768555e-01,7.897150516510009766e-01
1.256533116102218628e-01,5.149236321449279785e-01,6.810920238494873047e-01,2.051773518323898315e-01,3.903713822364807129e-01,5.884807705879211426e-01,1.550430297851562500e+00
5.554554983973503113e-02,4.934780895709991455e-01,7.209386229515075684e-01,3.026988506317138672e-01,3.839486241340637207e-01,6.436963081359863281e-01,1.572488069534301758e+00
