controllable,controllable,controllable,controllable,controllable,dynamic,output
4.046461582183837891e-01,8.823931813240051270e-01,8.423933982849121094e-01,5.739443898200988770e-01,1.425569355487823486e-01,4.928514773471651816e-02,-3.197975873947143555e+00
1.985021829605102539e-01,1.490738242864608765e-01,4.805960953235626221e-01,2.735032439231872559e-01,3.129237294197082520e-01,5.615775072874116258e-01,-3.093027353286743164e+00
4.044846594333648682e-01,8.812888264656066895e-01,7.724579572677612305e-01,5.729892849922180176e-01,1.943322271108627319e-01,1.362336201951204473e-01,-2.806184291839599609e+00
4.018513858318328857e-01,8.651817440986633301e-01,5.534628629684448242e-01,5.594415068626403809e-01,2.922562658786773682e-01,2.874955829627630632e-01,-1.397814869880676270e+00
1.948629915714263916e-01,1.493127644062042236e-01,4.868584573268890381e-01,2.711869180202484131e-01,3.144215941429138184e-01,4.578683588756750633e-01,-2.434747457504272461e+00
2.059139162302017212e-01,1.655756682157516479e-01,5.048884749412536621e-01,2.775583267211914062e-01,3.079697191715240479e-01,8.656552490895369489e-01,-2.378411293029785156e+00
2.050697356462478638e-01,1.550075858831405640e-01,4.821247458457946777e-01,2.771218419075012207e-01,3.098410069942474365e-01,7.872773953765505039e-01,-2.914544820785522461e+00
2.184767574071884155e-01,3.481680154800415039e-01,7.815631628036499023e-01,2.838968038558959961e-01,2.357886284589767456e-01,9.703537782622912999e-01,-1.818329215049743652e+00
2.028746157884597778e-01,1.508820652961730957e-01,4.766196906566619873e-01,2.759754657745361328e-01,3.111338913440704346e-01,6.968740312578300955e-01,-3.282123327255249023e+00
2.057651728391647339e-01,1.736924499273300171e-01,5.226430892944335938e-01,2.774955332279205322e-01,3.066883683204650879e-01,8.884102282321757471e-01,-2.205719709396362305e+00
4.024849832057952881e-01,8.691844344139099121e-01,5.695990324020385742e-01,5.627538561820983887e-01,2.867365479469299316e-01,2.711927851159038894e-01,-1.545050382614135742e+00
1.927042603492736816e-01,1.502169966697692871e-01,4.911933839321136475e-01,2.696223258972167969e-01,3.154701888561248779e-01,3.917598998015694445e-01,-1.914568185806274414e+00
1.938282251358032227e-01,1.496307849884033203e-01,4.888651669025421143e-01,2.704616785049438477e-01,3.148976862430572510e-01,4.272079347790770920e-01,-2.196481704711914062e+00
2.057133615016937256e-01,1.591327488422393799e-01,4.906039237976074219e-01,2.774504125118255615e-01,3.090291917324066162e-01,8.298496953954938027e-01,-2.639412164688110352e+00
4.046632945537567139e-01,8.825299739837646484e-01,8.525600433349609375e-01,5.740525126457214355e-01,1.323314607143402100e-01,1.583216324856789523e-02,-3.180320024490356445e+00
2.044919580221176147e-01,1.532850414514541626e-01,4.791539907455444336e-01,2.768248021602630615e-01,3.102717697620391846e-01,7.594833744920962415e-01,-3.063686132431030273e+00
1.972551345825195312e-01,1.490203291177749634e-01,4.826007187366485596e-01,2.727412879467010498e-01,3.134191036224365234e-01,5.260454914673945437e-01,-2.904107809066772461e+00
4.034660458564758301e-01,8.752503991127014160e-01,6.147666573524475098e-01,5.678426623344421387e-01,2.692003250122070312e-01,2.327428901816777917e-01,-1.915458679199218750e+00
1.916988193988800049e-01,1.511577963829040527e-01,4.935674965381622314e-01,2.687834799289703369e-01,3.160791993141174316e-01,3.553421297714072224e-01,-1.629044532775878906e+00
2.001859247684478760e-01,1.493892371654510498e-01,4.782801270484924316e-01,2.744867801666259766e-01,3.122630715370178223e-01,6.107584602151624464e-01,-3.266709566116333008e+00
4.043324589729309082e-01,8.803734779357910156e-01,7.279163002967834473e-01,5.721968412399291992e-01,2.181159108877182007e-01,1.633163001626677380e-01,-2.583109617233276367e+00
1.965586990118026733e-01,1.490491777658462524e-01,4.837926030158996582e-01,2.723023891448974609e-01,3.137017786502838135e-01,5.063161090026875311e-01,-2.780401706695556641e+00
4.045988023281097412e-01,8.820483684539794922e-01,8.187099099159240723e-01,5.736445784568786621e-01,1.631597131490707397e-01,9.333757156780402020e-02,-3.072069406509399414e+00
2.013866901397705078e-01,1.498510986566543579e-01,4.770821332931518555e-01,2.751652896404266357e-01,3.117776215076446533e-01,6.476694828675647608e-01,-3.319967269897460938e+00
2.156872749328613281e-01,3.236570656299591064e-01,7.566189169883728027e-01,2.824781239032745361e-01,2.553394138813018799e-01,9.368929230188247637e-01,-1.939122676849365234e+00
