evaluation,mae
2.000000000000000000e+00,1.950004222393035835e+00
1.000000000000000000e+01,2.251345089673995936e+00
2.000000000000000000e+01,1.974445143342018039e+00
3.000000000000000000e+01,1.334671680927276505e+00
4.000000000000000000e+01,8.708943152427672807e-01
5.000000000000000000e+01,4.625713777542114213e-01
6.000000000000000000e+01,5.034819555282592507e-01
7.000000000000000000e+01,4.125478124618530140e-01
8.000000000000000000e+01,4.170699262619018688e-01
9.000000000000000000e+01,4.108575963973998824e-01
1.000000000000000000e+02,3.900610065460204945e-01
