evaluation,mae
2.000000000000000000e+00,2.759404207468032943e+00
1.000000000000000000e+01,1.332077555656433043e+00
2.000000000000000000e+01,2.584336090087890891e-01
3.000000000000000000e+01,9.288252830505371038e-02
4.000000000000000000e+01,5.076237678527831948e-02
5.000000000000000000e+01,7.107391357421874445e-02
6.000000000000000000e+01,5.710732460021972906e-02
7.000000000000000000e+01,5.523945808410644226e-02
8.000000000000000000e+01,3.280031204223633062e-02
9.000000000000000000e+01,3.022045135498046750e-02
1.000000000000000000e+02,3.296885490417480330e-02
