dynamic,controllable,controllable,controllable,controllable,controllable,output
2.519506254885617302e-02,5.950905378277449032e-02,1.921457961997263819e-02,7.607066314809438623e-01,6.162572374166406242e-01,8.228690311916458944e-01,3.637783974858542491e-02
4.097367823123931885e-02,9.899130463600158691e-01,9.987758398056030273e-01,2.579660341143608093e-02,9.688429832458496094e-01,4.860070049762725830e-01,4.810296930372714996e-03
6.270362436771392822e-02,1.178257018327713013e-01,2.535521686077117920e-01,9.737797975540161133e-01,2.558420225977897644e-02,6.753326058387756348e-01,9.342757053673267365e-03
7.638239860534667969e-02,5.235494300723075867e-02,1.554885059595108032e-01,3.023589551448822021e-01,3.429405018687248230e-02,2.563583431765437126e-03,2.367345057427883148e-02
1.042143031954765320e-01,9.232414960861206055e-01,1.221446692943572998e-02,8.681023120880126953e-01,9.498589038848876953e-01,3.189881099388003349e-03,2.533760368824005127e-01
1.319184899330139160e-01,8.376402854919433594e-01,2.638453245162963867e-01,7.510296702384948730e-01,8.989514112472534180e-01,3.223873302340507507e-02,6.001155376434326172e-01
1.725130379199981689e-01,9.796445965766906738e-01,4.290713965892791748e-01,9.935938119888305664e-01,1.000000000000000000e+00,2.100396901369094849e-01,1.248236671090126038e-01
2.200143486261367798e-01,7.904593348503112793e-01,1.246900856494903564e-02,1.000000000000000000e+00,8.848426938056945801e-01,0.000000000000000000e+00,2.430121451616287231e-01
2.510854601860046387e-01,7.079996466636657715e-01,9.402146935462951660e-01,2.508073449134826660e-01,9.221841692924499512e-01,8.590050041675567627e-02,5.373108983039855957e-01
2.826344966888427734e-01,7.924980521202087402e-01,4.876696169376373291e-01,6.224494576454162598e-01,9.014553427696228027e-01,5.304836854338645935e-02,2.119198083877563477e+00
3.013142049312591553e-01,1.000000000000000000e+00,0.000000000000000000e+00,6.059019565582275391e-01,1.000000000000000000e+00,0.000000000000000000e+00,2.062169075012207031e+00
3.442838191986083984e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.606041193008422852e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.500075608491897583e-01
3.028862476348876953e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.110141277313232422e-01,9.100320935249328613e-01,8.794983029365539551e-01,4.699312150478363037e-03
2.980907261371612549e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.204293370246887207e-01,0.000000000000000000e+00,3.789056837558746338e-02,9.211948141455650330e-03
2.871316075325012207e-01,8.707604408264160156e-01,1.000000000000000000e+00,5.927402973175048828e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.463375806808471680e+00
2.853037118911743164e-01,9.114068150520324707e-01,1.000000000000000000e+00,5.472553968429565430e-01,0.000000000000000000e+00,1.000000000000000000e+00,6.501635909080505371e-02
2.553358078002929688e-01,8.925468325614929199e-01,1.000000000000000000e+00,5.459510684013366699e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.123566627502441406e+00
2.083658128976821899e-01,1.000000000000000000e+00,1.000000000000000000e+00,6.082971096038818359e-01,0.000000000000000000e+00,2.404301315546035767e-01,8.301651477813720703e-01
2.276934683322906494e-01,6.656917929649353027e-01,1.000000000000000000e+00,5.667043924331665039e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.260952472686767578e+00
