dynamic,controllable,controllable,controllable,controllable,controllable,output
8.044027099357581312e-02,1.505609750747680664e-01,4.828195273876190186e-01,2.738240063190460205e-01,3.124857842922210693e-01,6.565389037132263184e-01,-3.141276597976684570e+00
4.129667222109066615e-02,1.506188064813613892e-01,4.822514057159423828e-01,2.740465700626373291e-01,3.123376369476318359e-01,6.567608714103698730e-01,-3.010152339935302734e+00
1.542769712333296461e-01,1.502989977598190308e-01,4.806313812732696533e-01,2.743588387966156006e-01,3.121978640556335449e-01,6.567459702491760254e-01,-3.294547557830810547e+00
2.393893555917232189e-03,1.506078541278839111e-01,4.804925322532653809e-01,2.746194601058959961e-01,3.119894862174987793e-01,6.572164297103881836e-01,-2.851346015930175781e+00
3.220317491605810822e-01,1.489378958940505981e-01,4.581610560417175293e-01,2.792563140392303467e-01,3.094583749771118164e-01,6.597140431404113770e-01,-3.159027338027954102e+00
9.428068942779267714e-02,1.505342572927474976e-01,4.827403724193572998e-01,2.738196849822998047e-01,3.124891817569732666e-01,6.565067768096923828e-01,-3.179803848266601562e+00
1.457135469114854420e-01,1.503413766622543335e-01,4.811093807220458984e-01,2.742320597171783447e-01,3.122683167457580566e-01,6.566787362098693848e-01,-3.283551216125488281e+00
2.721488905153898741e-01,1.494330763816833496e-01,4.675941169261932373e-01,2.774596810340881348e-01,3.104568719863891602e-01,6.585897803306579590e-01,-3.264045476913452148e+00
3.915896055807146503e-01,8.824352025985717773e-01,8.449223041534423828e-01,5.739814639091491699e-01,1.395401358604431152e-01,3.850656747817993164e-02,-3.193892240524291992e+00
1.114031830564222586e-01,1.504727452993392944e-01,4.824393391609191895e-01,2.738885879516601562e-01,3.124557435512542725e-01,6.565185189247131348e-01,-3.221385002136230469e+00
1.732337329342119869e-01,1.501893550157546997e-01,4.793611466884613037e-01,2.746955156326293945e-01,3.120099306106567383e-01,6.569328308105468750e-01,-3.312383174896240234e+00
1.889622729047422123e-01,1.500903964042663574e-01,4.780732691287994385e-01,2.750283479690551758e-01,3.118220269680023193e-01,6.571224331855773926e-01,-3.320379495620727539e+00
3.724830250262912701e-01,8.824158310890197754e-01,8.427781462669372559e-01,5.739648938179016113e-01,1.407731920480728149e-01,3.852716460824012756e-02,-3.147360324859619141e+00
3.543113665850928240e-01,8.823930025100708008e-01,8.401737213134765625e-01,5.739449858665466309e-01,1.423266679048538208e-01,3.855459764599800110e-02,-3.068241596221923828e+00
2.033185939951778765e-02,1.506211012601852417e-01,4.814529120922088623e-01,2.743143737316131592e-01,3.121743798255920410e-01,6.569796204566955566e-01,-2.927740573883056641e+00
1.210540077165271206e-01,1.504350453615188599e-01,4.821434319019317627e-01,2.739601135253906250e-01,3.124178349971771240e-01,6.565446853637695312e-01,-3.241765737533569336e+00
1.997496096199435633e-01,1.500243693590164185e-01,4.770640134811401367e-01,2.752843797206878662e-01,3.116782009601593018e-01,6.572719216346740723e-01,-3.322322130203247070e+00
3.329322397581034321e-01,1.488230973482131958e-01,4.557785689830780029e-01,2.796613574028015137e-01,3.092349767684936523e-01,6.599694490432739258e-01,-3.130050897598266602e+00
3.991239922115271122e-01,8.824397325515747070e-01,8.456278443336486816e-01,5.739862918853759766e-01,1.391764432191848755e-01,3.849922493100166321e-02,-3.201499462127685547e+00
2.527133346661352697e-01,1.496082544326782227e-01,4.706155061721801758e-01,2.768105864524841309e-01,3.108210265636444092e-01,6.581909060478210449e-01,-3.291378259658813477e+00
6.075400246590768882e-02,1.506011039018630981e-01,4.826850891113281250e-01,2.738872766494750977e-01,3.124378323554992676e-01,6.566168665885925293e-01,-3.079260826110839844e+00
2.333602761739283493e-01,1.497697383165359497e-01,4.732687771320343018e-01,2.762059271335601807e-01,3.111603558063507080e-01,6.578230261802673340e-01,-3.310291290283203125e+00
2.885383906265778786e-01,1.492764502763748169e-01,4.647610187530517578e-01,2.780345976352691650e-01,3.101368844509124756e-01,6.589477062225341797e-01,-3.234843015670776367e+00
3.005735727511114619e-01,1.491525918245315552e-01,4.625151157379150391e-01,2.784674167633056641e-01,3.098961412906646729e-01,6.592183709144592285e-01,-3.210003614425659180e+00
2.240948348922573163e-01,1.498443484306335449e-01,4.744141697883605957e-01,2.759342789649963379e-01,3.113130033016204834e-01,6.576581001281738281e-01,-3.316294431686401367e+00
