evaluation,mae
2.000000000000000000e+00,3.154839884117245585e+00
1.000000000000000000e+01,1.880496182441711461e+00
2.000000000000000000e+01,4.339492702484130660e-01
3.000000000000000000e+01,6.424219131469727229e-02
4.000000000000000000e+01,4.804552078247070063e-02
5.000000000000000000e+01,4.968107223510741938e-02
6.000000000000000000e+01,4.905651092529297180e-02
7.000000000000000000e+01,4.798147201538086049e-02
8.000000000000000000e+01,4.927577018737792913e-02
9.000000000000000000e+01,4.962034225463866910e-02
1.000000000000000000e+02,5.017589569091796681e-02
