controllable,controllable,dynamic,controllable,controllable,controllable,output
5.021253306564921193e-02,3.166613765716183027e-01,1.231302334761311679e-01,9.956891770942050135e-01,4.680934303560925214e-01,2.555479625570213909e-01,5.332400548129667683e-03
1.545950174331665039e-01,2.382633686065673828e-01,7.580039650201797485e-02,4.613739848136901855e-01,3.924938440322875977e-01,1.354566216468811035e-01,2.037500292062759399e-01
1.360246539115905762e-01,2.840257436037063599e-02,4.061027243733406067e-02,2.301520854234695435e-01,5.060182809829711914e-01,3.667967915534973145e-01,5.662867426872253418e-01
4.726262986660003662e-01,1.216180529445409775e-02,6.916261464357376099e-02,1.871790736913681030e-01,6.359012126922607422e-01,9.033911228179931641e-01,1.863075494766235352e-01
6.570802927017211914e-01,9.661579728126525879e-01,7.076895982027053833e-02,9.801897406578063965e-01,7.223567962646484375e-01,3.271398246288299561e-01,5.717432871460914612e-02
4.613028094172477722e-02,2.876554429531097412e-02,6.868162751197814941e-02,2.428836673498153687e-01,4.661406576633453369e-01,2.076088786125183105e-01,2.679910659790039062e-01
1.605793274939060211e-02,1.315239369869232178e-01,7.631763070821762085e-02,2.206887304782867432e-01,5.227023959159851074e-01,3.872223794460296631e-01,5.334410667419433594e-01
4.596260786056518555e-01,0.000000000000000000e+00,6.484546512365341187e-02,2.474192529916763306e-01,4.789386689662933350e-01,3.875669240951538086e-01,6.627240777015686035e-01
8.963119983673095703e-01,0.000000000000000000e+00,5.886951088905334473e-02,2.246740311384201050e-01,4.439786672592163086e-01,4.173613190650939941e-01,2.739218771457672119e-01
3.287923932075500488e-01,0.000000000000000000e+00,9.819704294204711914e-02,2.706721127033233643e-01,4.889821112155914307e-01,3.786700069904327393e-01,7.147762179374694824e-01
1.000000000000000000e+00,1.000000000000000000e+00,5.753619223833084106e-02,2.772190272808074951e-01,0.000000000000000000e+00,3.804247379302978516e-01,4.268877673894166946e-03
9.599931240081787109e-01,0.000000000000000000e+00,9.661085158586502075e-02,6.087595224380493164e-01,4.220657348632812500e-01,3.797652125358581543e-01,7.610084861516952515e-02
3.217632174491882324e-01,0.000000000000000000e+00,8.606818318367004395e-02,2.712099850177764893e-01,6.169288158416748047e-01,4.486085176467895508e-01,3.251280188560485840e-01
3.115482330322265625e-01,0.000000000000000000e+00,3.920300677418708801e-02,2.940129041671752930e-01,0.000000000000000000e+00,3.845523297786712646e-01,2.564550936222076416e-01
3.013684153556823730e-01,0.000000000000000000e+00,3.495262935757637024e-02,2.972236275672912598e-01,4.478131830692291260e-01,3.856920301914215088e-01,8.791168928146362305e-01
2.274727970361709595e-01,4.572793468832969666e-02,2.288906835019588470e-02,3.076352477073669434e-01,4.226794838905334473e-01,4.049015939235687256e-01,1.106313943862915039e+00
1.745434701442718506e-01,6.665442883968353271e-02,6.611020117998123169e-02,3.148655593395233154e-01,3.954534828662872314e-01,4.221557974815368652e-01,1.368039965629577637e+00
8.714982122182846069e-02,2.080016583204269409e-02,1.132492497563362122e-01,2.039636820554733276e-01,3.506447672843933105e-01,4.653172492980957031e-01,1.594973087310791016e+00
9.032801538705825806e-02,1.000000000000000000e+00,1.385253518819808960e-01,2.866267561912536621e-01,3.514129221439361572e-01,5.193350911140441895e-01,1.762478202581405640e-01
1.172814145684242249e-01,6.645062565803527832e-02,1.566290408372879028e-01,0.000000000000000000e+00,3.568673431873321533e-01,4.792595505714416504e-01,8.723418116569519043e-01
5.389129370450973511e-02,1.318205613642930984e-02,1.708813756704330444e-01,2.799574434757232666e-01,3.397837281227111816e-01,4.745143353939056396e-01,1.803852915763854980e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.007177770137786865e-01,3.237691223621368408e-01,3.233214914798736572e-01,5.097953677177429199e-01,1.878482580184936523e+00
3.930646926164627075e-02,0.000000000000000000e+00,2.452921867370605469e-01,3.166846036911010742e-01,3.445274829864501953e-01,5.439262390136718750e-01,2.170280456542968750e+00
6.761657446622848511e-02,0.000000000000000000e+00,2.503311634063720703e-01,3.140020370483398438e-01,3.703289628028869629e-01,5.985071063041687012e-01,2.334689378738403320e+00
1.106241494417190552e-01,0.000000000000000000e+00,2.871907055377960205e-01,3.094363808631896973e-01,3.618270456790924072e-01,6.402006745338439941e-01,2.607768535614013672e+00
2.138781547546386719e-01,0.000000000000000000e+00,2.886412143707275391e-01,3.109078705310821533e-01,3.265032470226287842e-01,7.500917315483093262e-01,2.672461509704589844e+00
2.128072977066040039e-01,0.000000000000000000e+00,2.697751224040985107e-01,3.056235313415527344e-01,3.342873156070709229e-01,6.823154091835021973e-01,2.792106628417968750e+00
2.550669014453887939e-01,0.000000000000000000e+00,2.823488712310791016e-01,3.177394270896911621e-01,3.187845051288604736e-01,6.583477258682250977e-01,2.824162006378173828e+00
2.437016069889068604e-01,1.014527678489685059e-01,2.746964991092681885e-01,3.005593419075012207e-01,3.148381710052490234e-01,6.638016700744628906e-01,3.042297601699829102e+00
2.585623562335968018e-01,1.636714637279510498e-01,2.814444303512573242e-01,2.855741679668426514e-01,3.028302192687988281e-01,6.716573238372802734e-01,3.071850776672363281e+00
2.709085047245025635e-01,1.875392794609069824e-01,2.791964709758758545e-01,3.276887238025665283e-01,3.186806142330169678e-01,6.765055656433105469e-01,2.980062723159790039e+00
1.861272454261779785e-01,1.549514085054397583e-01,2.392875701189041138e-01,2.923112809658050537e-01,2.724820077419281006e-01,6.792188286781311035e-01,2.931648254394531250e+00
2.704834640026092529e-01,1.367960721254348755e-01,2.807055115699768066e-01,2.688383162021636963e-01,3.072505593299865723e-01,6.676149368286132812e-01,3.057761430740356445e+00
1.981019675731658936e-01,1.727419793605804443e-01,2.595798075199127197e-01,2.695220112800598145e-01,3.220137357711791992e-01,6.761071085929870605e-01,3.011839866638183594e+00
2.338474094867706299e-01,1.467484682798385620e-01,2.848046422004699707e-01,2.834144830703735352e-01,3.069116771221160889e-01,6.580091118812561035e-01,3.094970941543579102e+00
2.292430400848388672e-01,1.474495977163314819e-01,3.143575191497802734e-01,2.833346724510192871e-01,3.063762187957763672e-01,6.569870710372924805e-01,3.147323608398437500e+00
2.509877383708953857e-01,2.058722078800201416e-01,2.754200100898742676e-01,2.789528369903564453e-01,2.935318052768707275e-01,6.031984090805053711e-01,2.941006422042846680e+00
0.000000000000000000e+00,3.915999531745910645e-01,2.342327386140823364e-01,1.226850822567939758e-01,1.770216673612594604e-01,9.606638550758361816e-01,5.963857173919677734e-01
4.375427663326263428e-01,3.318670094013214111e-01,2.771984338760375977e-01,6.553379893302917480e-01,2.003736346960067749e-01,8.233314156532287598e-01,4.221215248107910156e-01
