controllable,controllable,dynamic,controllable,controllable,controllable,output
4.046550095081329346e-01,8.824544548988342285e-01,8.556484466726220761e-01,5.739967226982116699e-01,1.383704096078872681e-01,3.848549351096153259e-02,-3.203148365020751953e+00
4.046661555767059326e-01,8.825027346611022949e-01,9.127142967598411705e-01,5.740391016006469727e-01,1.350832730531692505e-01,3.843049332499504089e-02,-3.202499628067016602e+00
4.046632945537567139e-01,8.824881911277770996e-01,8.952682866204620948e-01,5.740269422531127930e-01,1.360568255186080933e-01,3.844736516475677490e-02,-3.202801227569580078e+00
4.046594500541687012e-01,8.825120925903320312e-01,9.198017650045534621e-01,5.740519762039184570e-01,1.347051709890365601e-01,3.841901943087577820e-02,-3.202350854873657227e+00
4.046156406402587891e-01,8.823074102401733398e-01,7.143276900209070135e-01,5.738751292228698730e-01,1.470264494419097900e-01,3.865181654691696167e-02,-3.200515508651733398e+00
4.046472609043121338e-01,8.824196457862854004e-01,8.190972471931238230e-01,5.739715099334716797e-01,1.405633389949798584e-01,3.852519020438194275e-02,-3.203052759170532227e+00
4.046530723571777344e-01,8.824440836906433105e-01,8.447176074111659716e-01,5.739880204200744629e-01,1.390060782432556152e-01,3.849691525101661682e-02,-3.203161716461181641e+00
4.046688973903656006e-01,8.825176358222961426e-01,9.327934215173692145e-01,5.740528106689453125e-01,1.339622437953948975e-01,3.841472789645195007e-02,-3.202039480209350586e+00
4.046342372894287109e-01,8.823727965354919434e-01,7.746564030776744714e-01,5.739291310310363770e-01,1.433253586292266846e-01,3.857782855629920959e-02,-3.202393531799316406e+00
4.046582579612731934e-01,8.824656605720520020e-01,8.692150355617173085e-01,5.740073323249816895e-01,1.375615000724792480e-01,3.847115859389305115e-02,-3.203082084655761719e+00
4.046706259250640869e-01,8.825247883796691895e-01,9.429612924943064911e-01,5.740582346916198730e-01,1.334113180637359619e-01,3.840424865484237671e-02,-3.201760292053222656e+00
4.046642184257507324e-01,8.824958205223083496e-01,9.036351113427335546e-01,5.740327835083007812e-01,1.355865150690078735e-01,3.843935579061508179e-02,-3.202667951583862305e+00
4.046396911144256592e-01,8.823912143707275391e-01,7.915400221930498637e-01,5.739442110061645508e-01,1.422666907310485840e-01,3.855735808610916138e-02,-3.202714920043945312e+00
4.046749472618103027e-01,8.825563192367553711e-01,9.866507575328489210e-01,5.740845203399658203e-01,1.311590373516082764e-01,3.837094083428382874e-02,-3.200205087661743164e+00
4.046763777732849121e-01,8.825629949569702148e-01,9.958267750731522039e-01,5.740894079208374023e-01,1.306947171688079834e-01,3.836484625935554504e-02,-3.199804782867431641e+00
4.046221971511840820e-01,8.823301792144775391e-01,7.352171442367242404e-01,5.738939642906188965e-01,1.457594633102416992e-01,3.862612321972846985e-02,-3.201297283172607422e+00
4.046726524829864502e-01,8.825415968894958496e-01,9.646586696686163531e-01,5.740716457366943359e-01,1.322852373123168945e-01,3.838792815804481506e-02,-3.201060295104980469e+00
4.046740531921386719e-01,8.825486898422241211e-01,9.763060270127326135e-01,5.740787982940673828e-01,1.316891759634017944e-01,3.837813436985015869e-02,-3.200625658035278320e+00
4.046299159526824951e-01,8.823571801185607910e-01,7.605981444572205152e-01,5.739168524742126465e-01,1.441871821880340576e-01,3.859476372599601746e-02,-3.202058792114257812e+00
4.046491086483001709e-01,8.824284672737121582e-01,8.289263986828699915e-01,5.739758014678955078e-01,1.399634182453155518e-01,3.851455822587013245e-02,-3.203117847442626953e+00
4.046268761157989502e-01,8.823462128639221191e-01,7.499777698035354767e-01,5.739071965217590332e-01,1.448456496000289917e-01,3.860802575945854187e-02,-3.201765060424804688e+00
4.046182930469512939e-01,8.823166489601135254e-01,7.229765964367919073e-01,5.738829374313354492e-01,1.465058922767639160e-01,3.864119201898574829e-02,-3.200856447219848633e+00
4.046432971954345703e-01,8.824059963226318359e-01,8.066734602905597518e-01,5.739575028419494629e-01,1.413268297910690308e-01,3.853944689035415649e-02,-3.202929019927978516e+00
4.046366214752197266e-01,8.823814988136291504e-01,7.829415799435968104e-01,5.739377737045288086e-01,1.428338140249252319e-01,3.856680169701576233e-02,-3.202562093734741211e+00
4.046593606472015381e-01,8.824720382690429688e-01,8.758868540209676645e-01,5.740125179290771484e-01,1.371692419052124023e-01,3.846540302038192749e-02,-3.203029632568359375e+00
