evaluation,mae
2.000000000000000000e+00,2.585540393181145369e+00
1.000000000000000000e+01,2.514430213570594930e+00
2.000000000000000000e+01,1.056239385604858416e+00
3.000000000000000000e+01,4.470406007766723477e-01
4.000000000000000000e+01,4.624586772918701238e-01
5.000000000000000000e+01,4.787781429290771662e-01
6.000000000000000000e+01,4.827401065826416038e-01
7.000000000000000000e+01,4.958668935298919944e-01
8.000000000000000000e+01,5.271046376228332164e-01
9.000000000000000000e+01,5.118715095520020020e-01
1.000000000000000000e+02,5.202091073989868475e-01
