controllable,controllable,controllable,controllable,controllable,dynamic,output
6.841790730126997566e-01,6.115988916275706400e-01,6.811283187710328590e-01,1.717827072613331563e-01,8.882993830336149976e-01,8.263791429238547259e-01,1.553605672032529021e-02
7.490876913070678711e-01,8.958351612091064453e-02,3.984510526061058044e-02,9.529780745506286621e-01,1.747908294200897217e-01,8.058328628540039062e-01,8.791079744696617126e-03
2.325072139501571655e-02,5.912287831306457520e-01,9.569639563560485840e-01,1.157453283667564392e-01,9.768856763839721680e-01,7.926453948020935059e-01,2.384893782436847687e-02
3.612525388598442078e-02,9.766415357589721680e-01,6.721339225769042969e-01,3.660719841718673706e-02,6.057107448577880859e-01,8.067580461502075195e-01,8.654800802469253540e-02
3.113206923007965088e-01,9.789637327194213867e-01,1.960027664899826050e-01,3.776011168956756592e-01,2.865510992705821991e-02,7.840413451194763184e-01,5.844190344214439392e-02
0.000000000000000000e+00,9.011055231094360352e-01,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.863168120384216309e-01,4.250603262335062027e-03
9.306457638740539551e-01,1.078029256314039230e-02,9.095527529716491699e-01,3.209583461284637451e-01,3.473150357604026794e-02,7.661889195442199707e-01,1.967083364725112915e-01
6.321249008178710938e-01,4.894725382328033447e-01,2.775953114032745361e-01,3.548036813735961914e-01,5.277324318885803223e-01,7.858385443687438965e-01,4.540214240550994873e-01
1.061606686562299728e-03,2.054146528244018555e-01,4.859190434217453003e-02,6.898974180221557617e-01,9.572172760963439941e-01,7.687581777572631836e-01,1.849531661719083786e-03
7.143194079399108887e-01,3.116910904645919800e-02,6.353687047958374023e-01,7.593168616294860840e-01,9.453291296958923340e-01,7.801057100296020508e-01,3.287586383521556854e-03
9.863715171813964844e-01,7.988998889923095703e-01,7.041260600090026855e-01,5.604887604713439941e-01,8.526325225830078125e-01,7.741469740867614746e-01,1.372442231513559818e-03
4.908600747585296631e-01,3.245903551578521729e-01,6.683197617530822754e-01,1.080076992511749268e-01,8.695932626724243164e-01,8.137184977531433105e-01,1.418276131153106689e-01
3.106099069118499756e-01,3.376999497413635254e-01,6.862437725067138672e-01,4.767842125147581100e-03,9.265821427106857300e-02,8.249078989028930664e-01,1.003762602806091309e+00
9.297486543655395508e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.575576066970825195e-01,7.837367653846740723e-01,1.516870558261871338e-01
8.064397573471069336e-01,2.495039440691471100e-02,4.030014853924512863e-03,2.704715430736541748e-01,4.358277618885040283e-01,7.371449470520019531e-01,6.216450929641723633e-01
5.635512471199035645e-01,9.945506453514099121e-01,5.159091949462890625e-01,5.069352686405181885e-02,3.180969357490539551e-01,6.938742995262145996e-01,1.064559593796730042e-01
1.843864470720291138e-01,3.562266826629638672e-01,2.901427149772644043e-01,0.000000000000000000e+00,7.045324891805648804e-02,6.466102600097656250e-01,5.296047329902648926e-01
1.000000000000000000e+00,2.437851428985595703e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.032467603683471680e-01,6.500862240791320801e-01,1.494237929582595825e-01
3.363856673240661621e-01,3.979679644107818604e-01,5.820858478546142578e-01,1.206704676151275635e-01,1.504057347774505615e-01,6.274577379226684570e-01,1.359149336814880371e+00
3.767692744731903076e-01,3.772583305835723877e-01,5.931966900825500488e-01,1.542665809392929077e-01,1.814480274915695190e-01,5.862423181533813477e-01,1.556684017181396484e+00
4.204287528991699219e-01,3.370960652828216553e-01,6.167304515838623047e-01,1.866766959428787231e-01,2.059044837951660156e-01,6.093553304672241211e-01,1.804353475570678711e+00
4.560375809669494629e-01,2.638553380966186523e-01,6.669369935989379883e-01,2.205506265163421631e-01,2.154846936464309692e-01,5.661787986755371094e-01,1.772498488426208496e+00
4.664840996265411377e-01,3.119799494743347168e-01,6.607034057378768921e-02,1.733837276697158813e-01,2.300452440977096558e-01,6.009895205497741699e-01,1.557838320732116699e+00
4.534746706485748291e-01,3.205636739730834961e-01,9.098328948020935059e-01,1.939584463834762573e-01,2.383554577827453613e-01,6.231331825256347656e-01,1.288037657737731934e+00
4.532882571220397949e-01,2.355072796344757080e-01,0.000000000000000000e+00,7.422335445880889893e-02,2.015818655490875244e-01,6.041491627693176270e-01,1.049376606941223145e+00
4.550091922283172607e-01,2.940765917301177979e-01,4.470306038856506348e-01,2.195009142160415649e-01,2.123778909444808960e-01,6.289113759994506836e-01,2.063116550445556641e+00
4.781194329261779785e-01,3.085456490516662598e-01,4.041819870471954346e-01,2.534217238426208496e-01,1.828745752573013306e-01,6.778285503387451172e-01,1.828571438789367676e+00
4.387262463569641113e-01,2.650943398475646973e-01,4.105862677097320557e-01,2.095313072204589844e-01,2.574468255043029785e-01,6.822081208229064941e-01,2.392357587814331055e+00
3.998446166515350342e-01,2.406806349754333496e-01,4.088353812694549561e-01,2.463283836841583252e-01,2.852398455142974854e-01,6.737220883369445801e-01,2.761351823806762695e+00
3.588600754737854004e-01,2.036582529544830322e-01,3.933306038379669189e-01,2.914453446865081787e-01,3.060623109340667725e-01,6.515635848045349121e-01,2.996718406677246094e+00
2.987827360630035400e-01,1.428491920232772827e-01,3.950365781784057617e-01,3.306386470794677734e-01,3.112484216690063477e-01,6.142778992652893066e-01,3.056448459625244141e+00
2.834006845951080322e-01,2.004512846469879150e-01,4.078394174575805664e-01,3.505956232547760010e-01,3.093564808368682861e-01,6.501292586326599121e-01,3.041815757751464844e+00
2.980221807956695557e-01,1.067255958914756775e-01,4.033367335796356201e-01,3.170776367187500000e-01,3.159616589546203613e-01,6.603949069976806641e-01,3.130265474319458008e+00
3.251378238201141357e-01,1.155775040388107300e-02,4.072365462779998779e-01,3.549100756645202637e-01,3.071832358837127686e-01,6.499169468879699707e-01,2.790425062179565430e+00
2.339571565389633179e-01,1.470044404268264771e-01,4.045694172382354736e-01,2.754628062248229980e-01,3.312220871448516846e-01,6.379575133323669434e-01,3.237614393234252930e+00
2.109381407499313354e-01,1.456588357686996460e-01,3.881201148033142090e-01,2.760606706142425537e-01,3.229392468929290771e-01,6.787593960762023926e-01,3.240602493286132812e+00
2.259309142827987671e-01,1.455102413892745972e-01,4.545506536960601807e-01,2.790354192256927490e-01,3.432114422321319580e-01,6.583783626556396484e-01,3.259945392608642578e+00
2.131809294223785400e-01,1.351089626550674438e-01,3.653452694416046143e-01,2.897358536720275879e-01,3.738355636596679688e-01,6.211240291595458984e-01,2.985335826873779297e+00
1.981452852487564087e-01,1.358721554279327393e-01,4.998160898685455322e-01,2.721015512943267822e-01,3.161647319793701172e-01,6.038621664047241211e-01,3.241841316223144531e+00
2.007787823677062988e-01,4.293001443147659302e-02,4.941584169864654541e-01,2.160048633813858032e-01,3.339611887931823730e-01,5.565849542617797852e-01,2.854163408279418945e+00
5.349224433302879333e-02,2.514489591121673584e-01,5.203864574432373047e-01,3.085569441318511963e-01,3.224603235721588135e-01,5.238030552864074707e-01,2.523719787597656250e+00
