controllable,controllable,controllable,controllable,controllable,dynamic,output
1.985262781381607056e-01,1.490798443555831909e-01,4.805600643157958984e-01,2.735186517238616943e-01,3.129132390022277832e-01,5.623201399697612679e-01,-3.096451282501220703e+00
1.949784606695175171e-01,1.492787301540374756e-01,4.866482615470886230e-01,2.712644040584564209e-01,3.143710792064666748e-01,4.611820231407324777e-01,-2.459832429885864258e+00
1.961303949356079102e-01,1.490908414125442505e-01,4.845372140407562256e-01,2.720293998718261719e-01,3.138772249221801758e-01,4.942515155098664015e-01,-2.699247121810913086e+00
1.907368004322052002e-01,1.533496826887130737e-01,4.967328906059265137e-01,2.677613198757171631e-01,3.169497847557067871e-01,3.055172509164595374e-01,-1.263360619544982910e+00
4.044477343559265137e-01,8.810590505599975586e-01,7.599822878837585449e-01,5.727890133857727051e-01,2.014103680849075317e-01,1.444452882237265701e-01,-2.742267131805419922e+00
1.945262998342514038e-01,1.493974626064300537e-01,4.875034987926483154e-01,2.709545791149139404e-01,3.145727515220642090e-01,4.480244432929719189e-01,-2.359334945678710938e+00
1.991714090108871460e-01,1.491620093584060669e-01,4.796086549758911133e-01,2.739011347293853760e-01,3.126597702503204346e-01,5.809534249065413380e-01,-3.174629688262939453e+00
1.968236565589904785e-01,1.490335911512374878e-01,4.833343029022216797e-01,2.724701166152954102e-01,3.135936856269836426e-01,5.138160281001296070e-01,-2.828824758529663086e+00
1.939513385295867920e-01,1.495848000049591064e-01,4.886183142662048340e-01,2.705508470535278320e-01,3.148384690284729004e-01,4.309679786980603056e-01,-2.226157426834106445e+00
4.042840898036956787e-01,8.800770640373229980e-01,7.160707116127014160e-01,5.719471573829650879e-01,2.239312678575515747e-01,1.699100777068013324e-01,-2.524083614349365234e+00
1.977395564317703247e-01,1.490245461463928223e-01,4.818007349967956543e-01,2.730406522750854492e-01,3.132254481315612793e-01,5.397944867582715744e-01,-2.982786178588867188e+00
2.001854926347732544e-01,1.493906229734420776e-01,4.782804250717163086e-01,2.744866907596588135e-01,3.122611939907073975e-01,6.107764449965695785e-01,-3.266752243041992188e+00
1.912967115640640259e-01,1.517672538757324219e-01,4.946759939193725586e-01,2.684066295623779297e-01,3.163764178752899170e-01,3.380883958776550458e-01,-1.498249411582946777e+00
4.016358256340026855e-01,8.637701272964477539e-01,5.489878058433532715e-01,5.582793354988098145e-01,2.937004864215850830e-01,2.922802361837381069e-01,-1.356149077415466309e+00
4.042203426361083984e-01,8.797030448913574219e-01,7.025819420814514160e-01,5.716263651847839355e-01,2.303564697504043579e-01,1.773791799487583476e-01,-2.455470800399780273e+00
1.925385892391204834e-01,1.503380239009857178e-01,4.915641844272613525e-01,2.694889903068542480e-01,3.155623972415924072e-01,3.860964653649007761e-01,-1.869612216949462891e+00
4.033572077751159668e-01,8.745927810668945312e-01,6.076292395591735840e-01,5.672859549522399902e-01,2.721269130706787109e-01,2.382086745049745713e-01,-1.861533045768737793e+00
4.036819934844970703e-01,8.765444755554199219e-01,6.316322088241577148e-01,5.689382553100585938e-01,2.621158659458160400e-01,2.205706934289244359e-01,-2.036089420318603516e+00
1.911301761865615845e-01,1.521076411008834839e-01,4.951983094215393066e-01,2.682351469993591309e-01,3.165185451507568359e-01,3.299330706059665497e-01,-1.437829613685607910e+00
4.025300145149230957e-01,8.694693446159362793e-01,5.710180401802062988e-01,5.629911422729492188e-01,2.862272262573242188e-01,2.698341349598113448e-01,-1.557651996612548828e+00
1.974576413631439209e-01,1.490196585655212402e-01,4.822629392147064209e-01,2.728670239448547363e-01,3.133376240730285645e-01,5.317935657641810199e-01,-2.937803030014038086e+00
1.928133815526962280e-01,1.501469910144805908e-01,4.909611046314239502e-01,2.697052657604217529e-01,3.154109716415405273e-01,3.952858551117296448e-01,-1.942611217498779297e+00
2.005463838577270508e-01,1.495029330253601074e-01,4.778660833835601807e-01,2.746938169002532959e-01,3.121173977851867676e-01,6.217015296524958101e-01,-3.289699077606201172e+00
1.919239163398742676e-01,1.508925855159759521e-01,4.929981231689453125e-01,2.689808905124664307e-01,3.159301578998565674e-01,3.641151307152227234e-01,-1.696864485740661621e+00
4.039721786975860596e-01,8.782561421394348145e-01,6.627331376075744629e-01,5.703924298286437988e-01,2.485570907592773438e-01,2.004027376775728564e-01,-2.235169649124145508e+00
