evaluation,mae
2.000000000000000000e+00,1.580364980697631871e+00
1.000000000000000000e+01,1.189927887916564897e+00
2.000000000000000000e+01,1.081289691925048757e+00
3.000000000000000000e+01,3.140542030334472767e-01
4.000000000000000000e+01,1.659376859664916937e-01
5.000000000000000000e+01,1.346071624755859342e-01
6.000000000000000000e+01,1.437765836715698131e-01
7.000000000000000000e+01,1.065388870239257768e-01
8.000000000000000000e+01,3.432484626770019448e-02
9.000000000000000000e+01,4.239062309265136802e-02
1.000000000000000000e+02,4.248851299285888450e-02
