controllable,controllable,controllable,controllable,controllable,dynamic,output
9.387604247979008942e-01,2.387328846874824384e-01,8.347631808769007122e-02,2.297171325227914673e-01,3.163900414904400327e-01,6.529456798118812300e-01,5.603059381781786419e-01
6.218423247337341309e-01,9.696056246757507324e-01,8.395296335220336914e-01,3.844274580478668213e-01,7.914651036262512207e-01,6.351445317268371582e-01,1.026434078812599182e-02
9.387605190277099609e-01,2.387332618236541748e-01,8.347637206315994263e-02,2.297167479991912842e-01,3.163898587226867676e-01,5.978041291236877441e-01,5.410554409027099609e-01
9.241083264350891113e-01,1.877602487802505493e-01,7.540062814950942993e-02,2.836436629295349121e-01,3.422008752822875977e-01,5.500131249427795410e-01,5.525029897689819336e-01
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.545066595077514648e-01,6.319914828054606915e-04
1.963113667930863396e-17,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.439535379409790039e-01,8.594008977524936199e-04
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,6.736413389444351196e-02,5.101612210273742676e-01,7.100193295627832413e-03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.992603659629821777e-01,5.435223283711820841e-05
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.079517543315887451e-01,1.000000000000000000e+00,4.696065187454223633e-01,3.306859172880649567e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.762322723865509033e-01,4.380119442939758301e-01,7.958769798278808594e-03
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.325494893070285372e-17,4.075983166694641113e-01,2.990817883983254433e-04
8.979036808013916016e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.777443140745162964e-01,0.000000000000000000e+00,4.336142838001251221e-01,7.180125266313552856e-02
9.310927987098693848e-01,2.276714295148849487e-01,8.882304280996322632e-02,2.878536581993103027e-01,3.948414623737335205e-01,4.627763926982879639e-01,3.818217813968658447e-01
9.574251770973205566e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.012549161911010742e-01,1.202996354550123215e-04
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.553960680961608887e-01,1.000000000000000000e+00,4.820162057876586914e-01,1.531973975943401456e-04
