controllable,controllable,controllable,controllable,controllable,dynamic,output
4.043028950691223145e-01,8.801891207695007324e-01,7.203909158706665039e-01,5.720418095588684082e-01,2.218376249074935913e-01,1.675092756510228043e-01,-2.545753955841064453e+00
1.971724331378936768e-01,1.490214169025421143e-01,4.827402532100677490e-01,2.726899981498718262e-01,3.134523332118988037e-01,5.237053162815437091e-01,-2.890072107315063477e+00
1.946039944887161255e-01,1.493730545043945312e-01,4.873564839363098145e-01,2.710078060626983643e-01,3.145379126071929932e-01,4.502791037874880886e-01,-2.376716613769531250e+00
1.907545179128646851e-01,1.532649397850036621e-01,4.966522753238677979e-01,2.677847445011138916e-01,3.169269263744354248e-01,3.068463328192889694e-01,-1.272588133811950684e+00
1.929325759410858154e-01,1.500737220048904419e-01,4.907073378562927246e-01,2.697958052158355713e-01,3.153472840785980225e-01,3.991779142275390657e-01,-1.973599195480346680e+00
1.984353512525558472e-01,1.490672677755355835e-01,4.806986153125762939e-01,2.734629809856414795e-01,3.129499554634094238e-01,5.596612984896658372e-01,-3.084087371826171875e+00
1.958504170179367065e-01,1.491227149963378906e-01,4.850457906723022461e-01,2.718455493450164795e-01,3.139956593513488770e-01,4.862289279642952877e-01,-2.643260478973388672e+00
1.910840868949890137e-01,1.522117406129837036e-01,4.953458905220031738e-01,2.681866586208343506e-01,3.165599107742309570e-01,3.275837629011432162e-01,-1.420610427856445312e+00
4.041585624217987061e-01,8.793584704399108887e-01,6.915433406829833984e-01,5.713266134262084961e-01,2.354988753795623779e-01,1.835670541509513698e-01,-2.397410154342651367e+00
1.940418332815170288e-01,1.495500952005386353e-01,4.884428977966308594e-01,2.706144154071807861e-01,3.147963583469390869e-01,4.336487435186432426e-01,-2.247256517410278320e+00
4.032848477363586426e-01,8.741519451141357422e-01,6.033178567886352539e-01,5.669157505035400391e-01,2.738707661628723145e-01,2.416135500086185328e-01,-1.828075885772705078e+00
4.039081633090972900e-01,8.778811097145080566e-01,6.547616124153137207e-01,5.700726509094238281e-01,2.520828843116760254e-01,2.053320638551921762e-01,-2.186813354492187500e+00
4.029781222343444824e-01,8.722656965255737305e-01,5.878003239631652832e-01,5.653285980224609375e-01,2.799769043922424316e-01,2.545329475535885733e-01,-1.702481627464294434e+00
1.991982161998748779e-01,1.491662561893463135e-01,4.795705676078796387e-01,2.739163339138031006e-01,3.126501142978668213e-01,5.816945544369320764e-01,-3.177422523498535156e+00
1.924776285886764526e-01,1.503846198320388794e-01,4.917003810405731201e-01,2.694403529167175293e-01,3.155965507030487061e-01,3.840147235148705374e-01,-1.853121638298034668e+00
4.044231772422790527e-01,8.809076547622680664e-01,7.523276209831237793e-01,5.726587772369384766e-01,2.055767774581909180e-01,1.491788109975324406e-01,-2.703858375549316406e+00
1.965053230524063110e-01,1.490531414747238159e-01,4.838849306106567383e-01,2.722685933113098145e-01,3.137235343456268311e-01,5.048129636362781447e-01,-2.770503282546997070e+00
1.978382468223571777e-01,1.490246504545211792e-01,4.816414117813110352e-01,2.731028199195861816e-01,3.131850659847259521e-01,5.427451875596149833e-01,-2.998790264129638672e+00
2.009649723768234253e-01,1.496604532003402710e-01,4.774419069290161133e-01,2.749299407005310059e-01,3.119492232799530029e-01,6.345147872178739101e-01,-3.308948755264282227e+00
1.951465457677841187e-01,1.492427289485931396e-01,4.863334894180297852e-01,2.713784575462341309e-01,3.142970502376556396e-01,4.660650935482129054e-01,-2.496488094329833984e+00
1.915238201618194580e-01,1.513999253511428833e-01,4.940303862094879150e-01,2.686244547367095947e-01,3.162021636962890625e-01,3.481723972001671275e-01,-1.574241280555725098e+00
1.921043694019317627e-01,1.507059782743453979e-01,4.925630092620849609e-01,2.691341638565063477e-01,3.158172070980072021e-01,3.708085394549156533e-01,-1.749095082283020020e+00
2.001408636569976807e-01,1.493765711784362793e-01,4.783303439617156982e-01,2.744631469249725342e-01,3.122785091400146484e-01,6.095040273807792452e-01,-3.263694286346435547e+00
4.037269353866577148e-01,8.768158555030822754e-01,6.357646584510803223e-01,5.691691040992736816e-01,2.603424489498138428e-01,2.177337155144337122e-01,-2.064227819442749023e+00
4.022438824176788330e-01,8.676593303680419922e-01,5.626885890960693359e-01,5.614864230155944824e-01,2.891599833965301514e-01,2.779852408346067394e-01,-1.482777357101440430e+00
