evaluation,mae
2.000000000000000000e+00,1.621028230786323521e+00
1.000000000000000000e+01,1.536548245549201885e+00
2.000000000000000000e+01,1.514835035800933927e+00
3.000000000000000000e+01,1.563682318329811194e+00
4.000000000000000000e+01,1.408972687721252504e+00
5.000000000000000000e+01,1.614238197207450876e+00
6.000000000000000000e+01,1.278324661254882866e+00
7.000000000000000000e+01,1.170811169147491393e+00
8.000000000000000000e+01,1.013553410768508911e+00
9.000000000000000000e+01,9.676278585195541293e-01
1.000000000000000000e+02,9.374914026260375843e-01
