controllable,controllable,controllable,controllable,controllable,dynamic,output
2.039898633956909180e-01,1.522929370403289795e-01,4.777752757072448730e-01,2.765646874904632568e-01,3.105729520320892334e-01,7.384118026596339091e-01,-3.156790733337402344e+00
2.024801373481750488e-01,1.505399346351623535e-01,4.765846133232116699e-01,2.757635116577148438e-01,3.113119900226593018e-01,6.832981191214806405e-01,-3.304931879043579102e+00
2.059092223644256592e-01,1.639495640993118286e-01,5.012646913528442383e-01,2.775538563728332520e-01,3.082273900508880615e-01,8.587200720454762903e-01,-2.430339813232421875e+00
2.058376222848892212e-01,1.708117276430130005e-01,5.164268016815185547e-01,2.775268852710723877e-01,3.071456849575042725e-01,8.820865518308018682e-01,-2.253900051116943359e+00
2.017414122819900513e-01,1.500404775142669678e-01,4.768465757369995117e-01,2.753606438636779785e-01,3.116301894187927246e-01,6.589670269205525344e-01,-3.322296142578125000e+00
2.059019058942794800e-01,1.672756522893905640e-01,5.086633563041687012e-01,2.775542736053466797e-01,3.077017962932586670e-01,8.718548631195220944e-01,-2.331624031066894531e+00
2.050006836652755737e-01,1.547518372535705566e-01,4.816509187221527100e-01,2.770867645740509033e-01,3.098999857902526855e-01,7.836757383237967778e-01,-2.935406446456909180e+00
2.058761715888977051e-01,1.621862202882766724e-01,4.973341822624206543e-01,2.775351405143737793e-01,3.085124194622039795e-01,8.498280064972953962e-01,-2.496107339859008789e+00
2.044602930545806885e-01,1.532142460346221924e-01,4.790449738502502441e-01,2.768090665340423584e-01,3.102917969226837158e-01,7.581337154524605548e-01,-3.070194959640502930e+00
2.054868638515472412e-01,1.571178436279296875e-01,4.863156378269195557e-01,2.773347198963165283e-01,3.094008564949035645e-01,8.120753432377476599e-01,-2.760102510452270508e+00
2.052923440933227539e-01,1.559837460517883301e-01,4.840103387832641602e-01,2.772354185581207275e-01,3.096288442611694336e-01,7.997292183480806393e-01,-2.839242219924926758e+00
2.005493342876434326e-01,1.495039165019989014e-01,4.778640866279602051e-01,2.746956944465637207e-01,3.121160268783569336e-01,6.217966646765881178e-01,-3.289872646331787109e+00
2.011484056711196899e-01,1.497388035058975220e-01,4.772766232490539551e-01,2.750324010848999023e-01,3.118747472763061523e-01,6.401945647550866259e-01,-3.314799308776855469e+00
2.009245604276657104e-01,1.496442109346389771e-01,4.774786829948425293e-01,2.749074101448059082e-01,3.119652867317199707e-01,6.332805017782839885e-01,-3.307458639144897461e+00
2.043152302503585815e-01,1.529258936643600464e-01,4.786408841609954834e-01,2.767365872859954834e-01,3.103750050067901611e-01,7.523255106162983763e-01,-3.097373485565185547e+00
2.054440826177597046e-01,1.864789873361587524e-01,5.489118099212646484e-01,2.773522138595581055e-01,3.045373260974884033e-01,9.037776565841211251e-01,-2.089319229125976562e+00
2.056965082883834839e-01,1.589355915784835815e-01,4.901764094829559326e-01,2.774418294429779053e-01,3.090643286705017090e-01,8.283014231145782169e-01,-2.650207281112670898e+00
1.998422443866729736e-01,1.492960453033447266e-01,4.787021875381469727e-01,2.742905020713806152e-01,3.123971223831176758e-01,6.005652918492552228e-01,-3.239981651306152344e+00
2.123043388128280640e-01,2.954393923282623291e-01,7.228218317031860352e-01,2.808613181114196777e-01,2.713567018508911133e-01,9.156167470301612710e-01,-2.023611545562744141e+00
2.057918012142181396e-01,1.602361798286437988e-01,4.930161535739898682e-01,2.774908840656280518e-01,3.088377118110656738e-01,8.378726390830562032e-01,-2.582710504531860352e+00
2.048107385635375977e-01,1.541291177272796631e-01,4.805390536785125732e-01,2.769892215728759766e-01,3.100497126579284668e-01,7.742082278189448274e-01,-2.988139152526855469e+00
2.028809338808059692e-01,1.508878916501998901e-01,4.766211211681365967e-01,2.759785950183868408e-01,3.111307024955749512e-01,6.970847452218716933e-01,-3.281696557998657227e+00
2.019575387239456177e-01,1.501700133085250854e-01,4.767308235168457031e-01,2.754791975021362305e-01,3.115389347076416016e-01,6.659529558773470415e-01,-3.320431232452392578e+00
2.030916213989257812e-01,1.510981470346450806e-01,4.767052531242370605e-01,2.760913670063018799e-01,3.110324442386627197e-01,7.045321129518454795e-01,-3.265202283859252930e+00
2.034879773855209351e-01,1.515605002641677856e-01,4.770209491252899170e-01,2.763003706932067871e-01,3.108387887477874756e-01,7.190006163600465294e-01,-3.225456714630126953e+00
