controllable,controllable,controllable,controllable,controllable,dynamic,output
1.794090399856969054e-01,8.853391979969830183e-01,2.111232097182454970e-01,8.081507850064116871e-01,9.253745478254049583e-01,4.824408127380385158e-01,4.781001216515148866e-02
3.153563141822814941e-01,4.438654482364654541e-01,4.235077202320098877e-01,8.150095343589782715e-01,4.197981953620910645e-01,4.380601942539215088e-01,1.334665268659591675e-01
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.777906835079193115e-01,1.863159239292144775e-02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.759872257709503174e-01,1.770861214026808739e-03
8.672112226486206055e-01,3.833693638443946838e-02,8.817390203475952148e-01,2.257549390196800232e-02,1.723469235002994537e-02,4.970680177211761475e-01,5.988201126456260681e-02
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.293066501617431641e-01,6.944922264665365219e-03
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.334179401397705078e-01,1.098229222407098860e-05
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.253764390945434570e-01,1.178142792923608795e-05
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.614984035491943359e-01,9.745221585035324097e-03
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.718300342559814453e-01,8.105889719445258379e-06
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.761397935699444304e-18,5.884085297584533691e-01,1.284394785761833191e-02
9.872868061065673828e-01,7.592511177062988281e-01,2.446629703044891357e-01,1.497798413038253784e-01,9.878702759742736816e-01,6.347225308418273926e-01,9.039881115313619375e-05
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.063600182533264160e-01,2.465367782860994339e-03
0.000000000000000000e+00,2.910841296384713921e-17,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.371867060661315918e-01,2.062739990651607513e-02
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.364027261734008789e-01,1.321464870125055313e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.538400053977966309e-01,2.528988057747483253e-03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.816746592521667480e-01,1.363873343507293612e-05
4.289077887055870380e-18,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.928631663322448730e-01,2.513990970328450203e-03
