evaluation,mae
2.000000000000000000e+00,3.220247213363647631e+01
1.000000000000000000e+01,2.539346549034118539e+01
2.000000000000000000e+01,1.392543996810913143e+01
3.000000000000000000e+01,1.112391937255859453e+01
4.000000000000000000e+01,1.028161457061767514e+01
5.000000000000000000e+01,8.947586593627930185e+00
6.000000000000000000e+01,8.659383277893066833e+00
7.000000000000000000e+01,8.174196472167968963e+00
8.000000000000000000e+01,6.548892707824706783e+00
9.000000000000000000e+01,3.953228607177734499e+00
1.000000000000000000e+02,3.486424522399902415e+00
