controllable,dynamic,output
-4.330168209982765859e+00,-1.109450805391656303e+00,2.845237943115372481e+00
-5.010226249694824219e+00,-1.643485903739929199e+00,1.076411628723144531e+01
-5.021616458892822266e+00,-2.763697624206542969e+00,1.123603820800781250e+01
-5.006308078765869141e+00,-4.197428703308105469e+00,1.315810394287109375e+01
-4.942867279052734375e+00,-4.062623023986816406e+00,1.195656585693359375e+01
-5.081966876983642578e+00,-4.379217147827148438e+00,1.449389076232910156e+01
-5.132616996765136719e+00,-5.392986297607421875e+00,1.592779827117919922e+01
-5.190602302551269531e+00,-5.720012187957763672e+00,1.893207359313964844e+01
-5.269186973571777344e+00,-6.609627723693847656e+00,2.043404197692871094e+01
-5.268251895904541016e+00,-7.557465076446533203e+00,2.287041473388671875e+01
-5.203789710998535156e+00,-8.469873428344726562e+00,2.276996803283691406e+01
-5.298591136932373047e+00,-7.689394474029541016e+00,2.471786308288574219e+01
-5.420052528381347656e+00,-6.814530849456787109e+00,2.342713737487792969e+01
-5.554852485656738281e+00,-5.660175323486328125e+00,2.750878906250000000e+01
-5.656430244445800781e+00,-6.237336635589599609e+00,3.132558822631835938e+01
-5.823987007141113281e+00,-6.077075481414794922e+00,3.539060974121093750e+01
-6.044603824615478516e+00,-4.660225391387939453e+00,3.611436462402343750e+01
-6.076475620269775391e+00,-4.170362949371337891e+00,3.735091781616210938e+01
-6.079468727111816406e+00,-3.481025218963623047e+00,3.601963806152343750e+01
-6.072517395019531250e+00,-4.650880813598632812e+00,3.659989929199218750e+01
-6.059096813201904297e+00,-4.911994457244873047e+00,3.606561660766601562e+01
-6.031493186950683594e+00,-3.844981908798217773e+00,3.621487808227539062e+01
-6.024344444274902344e+00,-2.546002149581909180e+00,3.436184692382812500e+01
-6.062748908996582031e+00,-2.595183610916137695e+00,3.499339675903320312e+01
-6.197116851806640625e+00,-1.834973335266113281e+00,3.681515884399414062e+01
-6.187067508697509766e+00,-2.076139211654663086e+00,3.689402389526367188e+01
-6.175513267517089844e+00,-2.553846597671508789e+00,3.669028091430664062e+01
-6.213008880615234375e+00,-1.288428068161010742e+00,3.642201995849609375e+01
-6.152987480163574219e+00,-1.139560103416442871e+00,3.557232666015625000e+01
-6.052552223205566406e+00,-9.894556999206542969e-01,3.397682952880859375e+01
-6.215583801269531250e+00,-1.920124650001525879e+00,3.711921310424804688e+01
-6.168340682983398438e+00,-2.333572864532470703e+00,3.669430923461914062e+01
-6.296612739562988281e+00,-1.148850917816162109e+00,3.717113876342773438e+01
-6.355321884155273438e+00,-1.224402904510498047e+00,3.763524246215820312e+01
-6.367506027221679688e+00,-5.260207056999206543e-01,3.757148361206054688e+01
-6.345891952514648438e+00,1.546960603445768356e-02,3.735190582275390625e+01
-6.354170799255371094e+00,-3.889566063880920410e-01,3.748367309570312500e+01
-6.329632282257080078e+00,1.550732702016830444e-01,3.720825576782226562e+01
-6.340620994567871094e+00,-9.170301556587219238e-01,3.743013763427734375e+01
-6.323132038116455078e+00,-1.402514100074768066e+00,3.756171035766601562e+01
-6.322875499725341797e+00,-1.419718503952026367e+00,3.757633209228515625e+01
-6.327634334564208984e+00,-1.305849313735961914e+00,3.751074218750000000e+01
-6.314146041870117188e+00,-1.671596765518188477e+00,3.779129791259765625e+01
-6.285378456115722656e+00,-2.622912406921386719e+00,3.784657287597656250e+01
-6.319578647613525391e+00,-1.808370232582092285e+00,3.799127578735351562e+01
-6.382380485534667969e+00,-3.348904848098754883e-01,3.763084411621093750e+01
-6.401495933532714844e+00,2.459924817085266113e-01,3.758765029907226562e+01
-6.340725898742675781e+00,1.323459863662719727e+00,3.720534896850585938e+01
-6.333194255828857422e+00,1.994694471359252930e+00,3.727011871337890625e+01
-6.322052478790283203e+00,1.040841460227966309e+00,3.706715393066406250e+01
-6.317377090454101562e+00,1.252266049385070801e+00,3.703680419921875000e+01
-6.327065467834472656e+00,3.602637350559234619e-01,3.714719772338867188e+01
-6.326597690582275391e+00,-5.319234132766723633e-01,3.731271743774414062e+01
-6.326930046081542969e+00,1.625103950500488281e-01,3.718730163574218750e+01
-6.330488204956054688e+00,8.132293820381164551e-01,3.712998962402343750e+01
-6.416878700256347656e+00,1.365380525588989258e+00,3.759000778198242188e+01
-6.491147994995117188e+00,2.444536924362182617e+00,3.792164611816406250e+01
-6.493597030639648438e+00,1.787916064262390137e+00,3.778857040405273438e+01
-6.491778373718261719e+00,2.316404104232788086e+00,3.790683746337890625e+01
-6.469982624053955078e+00,2.722747325897216797e+00,3.791883850097656250e+01
-6.462966918945312500e+00,2.740617275238037109e+00,3.791037750244140625e+01
-6.466576576232910156e+00,1.675511121749877930e+00,3.774645233154296875e+01
-6.453041553497314453e+00,1.173381209373474121e+00,3.767686462402343750e+01
-6.457450389862060547e+00,1.351999521255493164e+00,3.769255447387695312e+01
-6.422901153564453125e+00,2.644138574600219727e+00,3.781547546386718750e+01
-6.394842147827148438e+00,3.695292234420776367e+00,3.830538940429687500e+01
-6.411454200744628906e+00,5.020806312561035156e+00,3.857155609130859375e+01
-6.404923915863037109e+00,4.815236091613769531e+00,3.851958465576171875e+01
-6.390531539916992188e+00,3.590569019317626953e+00,3.816252136230468750e+01
-6.386969566345214844e+00,3.091030359268188477e+00,3.773691177368164062e+01
-6.387508392333984375e+00,3.052950859069824219e+00,3.772584152221679688e+01
-6.395820617675781250e+00,3.434186220169067383e+00,3.801535034179687500e+01
-6.422974109649658203e+00,4.057425975799560547e+00,3.876298522949218750e+01
-6.446014881134033203e+00,4.163614273071289062e+00,3.887129211425781250e+01
-6.378157138824462891e+00,2.748197078704833984e+00,3.763460540771484375e+01
-6.389349937438964844e+00,2.924990415573120117e+00,3.770391082763671875e+01
-6.430449485778808594e+00,3.058821916580200195e+00,3.788882827758789062e+01
-6.358557224273681641e+00,2.624843597412109375e+00,3.752429199218750000e+01
-6.516439437866210938e+00,1.396708488464355469e+00,3.771952438354492188e+01
-6.486587524414062500e+00,2.539154291152954102e+00,3.792626571655273438e+01
-6.481109142303466797e+00,3.096060276031494141e+00,3.799111557006835938e+01
-6.347655296325683594e+00,2.308942317962646484e+00,3.743283081054687500e+01
