controllable,dynamic,output
-6.496199607849121094e+00,3.205739323103422578e-01,-3.776625442504882812e+01
-6.496199607849121094e+00,-8.186658582876768619e+00,-4.782400131225585938e+01
-6.496199607849121094e+00,-7.270085680956927199e+00,-4.271422958374023438e+01
-6.496199607849121094e+00,-4.448508329078109114e-01,-3.792222595214843750e+01
-6.496199607849121094e+00,-3.697223656512335310e+00,-4.018415451049804688e+01
-6.496199607849121094e+00,-1.504515987527017984e+00,-3.830610656738281250e+01
-6.496199607849121094e+00,5.101725827372478150e+00,-3.879339981079101562e+01
-6.496199607849121094e+00,-3.535822564806085921e-01,-3.791245269775390625e+01
-6.496199607849121094e+00,7.187899058105930550e+00,-4.031089019775390625e+01
-6.496199607849121094e+00,4.531353885578759844e+00,-3.884605026245117188e+01
-6.496199607849121094e+00,-7.949500481567511656e+00,-4.769552993774414062e+01
-6.496199607849121094e+00,-9.142827688561929733e+00,-4.446332550048828125e+01
-6.496199131011962891e+00,3.754038719900451682e+00,-3.859605026245117188e+01
-6.496199607849121094e+00,2.775718977668280019e+00,-3.793580627441406250e+01
-6.496199607849121094e+00,-8.765548059456428120e+00,-4.444813537597656250e+01
-6.496199607849121094e+00,8.814724146384186554e+00,-4.184639739990234375e+01
-6.496199607849121094e+00,4.743664554546338508e-01,-3.774186325073242188e+01
-6.496199607849121094e+00,-5.883110692321628754e+00,-4.353871154785156250e+01
-6.496199607849121094e+00,6.767130130441479707e+00,-4.005995941162109375e+01
-6.496199607849121094e+00,-6.691956411076337652e+00,-4.221345901489257812e+01
-6.496199607849121094e+00,8.732615822675512618e+00,-4.207373046875000000e+01
-6.496199607849121094e+00,-2.546560710945513506e+00,-3.883717346191406250e+01
-6.496199607849121094e+00,-8.559811626592921385e-01,-3.794139099121093750e+01
-6.496199607849121094e+00,9.755778215686245147e+00,-4.662699890136718750e+01
-6.496199607849121094e+00,2.230640963133911470e+00,-3.789268875122070312e+01
-6.496199607849121094e+00,-3.262082389326641518e+00,-3.903239059448242188e+01
-6.496199607849121094e+00,9.427741386631684151e+00,-4.387448883056640625e+01
-6.496199607849121094e+00,7.458733788008036214e+00,-4.145754241943359375e+01
-6.496199607849121094e+00,1.708011923438677471e+00,-3.777178573608398438e+01
-6.496199607849121094e+00,3.203359091509295098e+00,-3.804861450195312500e+01
-6.496199607849121094e+00,-4.703203777069010272e+00,-4.015892791748046875e+01
-6.496199607849121094e+00,-4.043534452316587036e+00,-4.088750076293945312e+01
-6.496199607849121094e+00,5.885767232808529315e+00,-4.065158462524414062e+01
-6.496199607849121094e+00,-3.053626004894873347e+00,-3.874953079223632812e+01
-6.496199607849121094e+00,3.054108056076469069e+00,-3.798087692260742188e+01
-6.496199607849121094e+00,-9.914394226743887373e+00,-5.247195434570312500e+01
-6.496199607849121094e+00,-1.982020697115846275e+00,-3.882638168334960938e+01
-6.496199607849121094e+00,4.207046396796034315e+00,-3.893528366088867188e+01
-6.496199607849121094e+00,-4.867865985616117719e+00,-3.995864105224609375e+01
-6.496199607849121094e+00,6.339381955518152978e+00,-4.081869888305664062e+01
-6.496199607849121094e+00,5.393516638079470127e+00,-3.932687377929687500e+01
-6.496199607849121094e+00,8.273445462559962493e+00,-4.375473022460937500e+01
-6.496199607849121094e+00,-5.428512353236151000e+00,-4.130195617675781250e+01
-6.496199607849121094e+00,7.799139690484118148e+00,-4.321560668945312500e+01
-6.496199607849121094e+00,-6.000363779245025952e+00,-4.384090423583984375e+01
-6.496199607849121094e+00,-9.420121047259330638e+00,-4.705196380615234375e+01
-6.496199607849121094e+00,9.840416216211504974e-01,-3.771528244018554688e+01
-6.496199607849121094e+00,1.333700597931727572e+00,-3.772397232055664062e+01
-6.496199607849121094e+00,-2.343409756948341638e+00,-3.892824172973632812e+01
-6.496199607849121094e+00,-7.049730240365500222e+00,-4.178981399536132812e+01
