evaluation,mae
2.000000000000000000e+00,3.713702565670013200e+01
1.000000000000000000e+01,2.792609705924987651e+01
2.000000000000000000e+01,2.600960827827453770e+01
3.000000000000000000e+01,2.572293204307556280e+01
4.000000000000000000e+01,2.194701932907104336e+01
5.000000000000000000e+01,1.157149738311767528e+01
6.000000000000000000e+01,9.374557952880859801e+00
7.000000000000000000e+01,8.520016059875487713e+00
8.000000000000000000e+01,8.080514411926269958e+00
9.000000000000000000e+01,7.412167930603027699e+00
1.000000000000000000e+02,3.296029129028320348e+00
