controllable,dynamic,output
1.675765250952903074e-01,-3.122259516073939700e+00,1.563833588079956538e+00
-5.591700553894042969e+00,-4.337874412536621094e+00,2.671105957031250000e+01
-5.591700553894042969e+00,-5.285521030426025391e+00,2.653919029235839844e+01
-5.591700553894042969e+00,-4.098360538482666016e+00,2.681637954711914062e+01
-5.565931797027587891e+00,-4.527874946594238281e+00,2.574126434326171875e+01
-5.672945022583007812e+00,-3.938980340957641602e+00,2.865287971496582031e+01
-5.996628284454345703e+00,-4.766830444335937500e+00,3.508134841918945312e+01
-6.667066097259521484e+00,-5.751869678497314453e+00,4.236351776123046875e+01
-7.347477912902832031e+00,-6.481219291687011719e+00,2.901947021484375000e+01
-7.500000000000000000e+00,-5.874611377716064453e+00,2.516139984130859375e+01
-4.221851348876953125e+00,-5.676902294158935547e+00,7.317194938659667969e+00
-6.734062671661376953e+00,-4.994363784790039062e+00,3.872522735595703125e+01
-6.811308383941650391e+00,-4.177748680114746094e+00,3.877988433837890625e+01
-6.724360466003417969e+00,-4.547147274017333984e+00,3.932048797607421875e+01
-6.619392395019531250e+00,-4.995190620422363281e+00,3.962971878051757812e+01
-6.668687343597412109e+00,-4.438737869262695312e+00,4.001416778564453125e+01
-6.540252208709716797e+00,-5.453002452850341797e+00,4.138533782958984375e+01
-6.500358104705810547e+00,-6.234209060668945312e+00,4.383353424072265625e+01
-6.494774818420410156e+00,-5.435951232910156250e+00,4.133978271484375000e+01
-6.490992069244384766e+00,-5.565124511718750000e+00,4.202903366088867188e+01
-6.472644805908203125e+00,-7.055456638336181641e+00,4.178955459594726562e+01
-6.488897800445556641e+00,-6.525450229644775391e+00,4.288204574584960938e+01
-6.479127883911132812e+00,-7.699172019958496094e+00,4.618856430053710938e+01
-6.465513229370117188e+00,-7.396525382995605469e+00,4.360069274902343750e+01
-6.478567123413085938e+00,-8.422133445739746094e+00,4.670321273803710938e+01
-6.469543933868408203e+00,-7.242074966430664062e+00,4.253043746948242188e+01
-6.394624233245849609e+00,-6.054340362548828125e+00,4.369053649902343750e+01
-6.421122550964355469e+00,-6.408955097198486328e+00,4.322348785400390625e+01
-6.413178443908691406e+00,-6.343686580657958984e+00,4.341692733764648438e+01
-6.399900913238525391e+00,-6.271443843841552734e+00,4.355907440185546875e+01
-6.371145725250244141e+00,-5.031355857849121094e+00,3.965790939331054688e+01
-6.375076770782470703e+00,-4.919559955596923828e+00,3.962434005737304688e+01
-6.352622509002685547e+00,-5.531776905059814453e+00,4.140543746948242188e+01
-6.634566783905029297e+00,-6.215574741363525391e+00,4.344528961181640625e+01
-6.383600234985351562e+00,-4.889463901519775391e+00,3.967465209960937500e+01
-6.717089176177978516e+00,-5.477108001708984375e+00,4.048760223388671875e+01
-6.439425945281982422e+00,-4.047585010528564453e+00,4.082129669189453125e+01
-6.330607891082763672e+00,-5.147809028625488281e+00,3.961575317382812500e+01
-6.660889148712158203e+00,-5.890845298767089844e+00,4.297081756591796875e+01
-6.576164245605468750e+00,-7.027747631072998047e+00,4.161093521118164062e+01
-6.329647064208984375e+00,-6.494965553283691406e+00,4.241583251953125000e+01
-6.595562458038330078e+00,-7.242864608764648438e+00,4.233450317382812500e+01
-6.669343471527099609e+00,-5.956593990325927734e+00,4.309452056884765625e+01
-6.309782981872558594e+00,-5.905432224273681641e+00,4.286916351318359375e+01
-6.857315540313720703e+00,-4.658906936645507812e+00,3.741405487060546875e+01
-6.438444137573242188e+00,-3.864591598510742188e+00,4.053510665893554688e+01
-6.535620212554931641e+00,-2.683013439178466797e+00,3.872252273559570312e+01
-6.840687751770019531e+00,-2.527876615524291992e+00,3.627376937866210938e+01
-6.346019268035888672e+00,-2.774458169937133789e+00,3.822916412353515625e+01
-6.332525730133056641e+00,-2.290323972702026367e+00,3.836386871337890625e+01
-7.013001918792724609e+00,-2.677479743957519531e+00,3.309807968139648438e+01
-6.387615680694580078e+00,-3.569652318954467773e+00,3.956042480468750000e+01
-6.374259948730468750e+00,-3.422509193420410156e+00,3.908153152465820312e+01
-6.230168342590332031e+00,-2.030342578887939453e+00,3.737162780761718750e+01
-6.619717121124267578e+00,-3.221214056015014648e+00,3.862425613403320312e+01
-6.640683174133300781e+00,-2.082371711730957031e+00,3.843617248535156250e+01
-6.121640682220458984e+00,-1.732910513877868652e+00,3.568239593505859375e+01
-6.291125774383544922e+00,-3.161171674728393555e+00,3.797063827514648438e+01
-6.394213199615478516e+00,-3.943215847015380859e+00,4.053319549560546875e+01
-6.342692852020263672e+00,-4.976340293884277344e+00,3.944551849365234375e+01
-6.602146625518798828e+00,-4.428856372833251953e+00,4.043692016601562500e+01
-7.186079978942871094e+00,-3.398612976074218750e+00,2.963329696655273438e+01
-6.612524986267089844e+00,-2.963117599487304688e+00,3.840415573120117188e+01
-6.317323207855224609e+00,-4.335052013397216797e+00,4.014078140258789062e+01
-6.680295467376708984e+00,-5.201125144958496094e+00,3.960915374755859375e+01
-6.275961399078369141e+00,-5.313976764678955078e+00,3.973595428466796875e+01
-6.695241451263427734e+00,-5.748073101043701172e+00,4.211790466308593750e+01
-6.269659996032714844e+00,-5.671492576599121094e+00,4.151353454589843750e+01
-6.702137947082519531e+00,-5.455881118774414062e+00,4.051522064208984375e+01
-6.294497966766357422e+00,-6.507513523101806641e+00,4.209170150756835938e+01
-6.302608966827392578e+00,-5.135113239288330078e+00,3.937337493896484375e+01
-6.699859142303466797e+00,-5.734441757202148438e+00,4.201198959350585938e+01
-6.657857894897460938e+00,-6.347854137420654297e+00,4.298112869262695312e+01
-6.763138294219970703e+00,-5.388322830200195312e+00,3.954847335815429688e+01
-6.276514530181884766e+00,-6.175785064697265625e+00,4.288817596435546875e+01
-6.581088066101074219e+00,-7.354233741760253906e+00,4.313660430908203125e+01
-6.329470157623291016e+00,-7.147088527679443359e+00,4.148644638061523438e+01
-6.648190975189208984e+00,-6.282998085021972656e+00,4.322690582275390625e+01
-6.459972858428955078e+00,-5.192425251007080078e+00,4.029577636718750000e+01
-6.663391590118408203e+00,-6.256247043609619141e+00,4.318022918701171875e+01
-6.652414321899414062e+00,-6.722084999084472656e+00,4.157440948486328125e+01
-6.279119014739990234e+00,-6.508679866790771484e+00,4.195221710205078125e+01
-6.232161045074462891e+00,-5.961573600769042969e+00,4.229368209838867188e+01
-6.500558376312255859e+00,-5.920355319976806641e+00,4.365466690063476562e+01
7.460662841796875000e+00,-4.708035945892333984e+00,7.041882514953613281e+00
-6.478218078613281250e+00,-5.188781738281250000e+00,4.030644607543945312e+01
-6.200990200042724609e+00,-5.430510520935058594e+00,3.948714828491210938e+01
-6.780890464782714844e+00,-5.869611263275146484e+00,4.172594070434570312e+01
-6.870502471923828125e+00,-5.495791435241699219e+00,3.862341690063476562e+01
4.376614570617675781e+00,-4.852782249450683594e+00,4.887791633605957031e+00
-2.166502475738525391e+00,-4.101977825164794922e+00,1.043254280090332031e+01
2.342977046966552734e+00,-4.794639110565185547e+00,4.061964988708496094e+00
-6.533117294311523438e+00,-4.507151126861572266e+00,4.050755310058593750e+01
-6.246289253234863281e+00,-4.447035312652587891e+00,3.933154296875000000e+01
-6.623261451721191406e+00,-4.061281204223632812e+00,4.054928588867187500e+01
-6.117058277130126953e+00,-2.984068632125854492e+00,3.575090026855468750e+01
5.953256130218505859e+00,-4.035572052001953125e+00,2.001549148559570312e+01
-6.505865573883056641e+00,-5.104927062988281250e+00,4.010532379150390625e+01
-6.641098499298095703e+00,-3.981587171554565430e+00,4.035653305053710938e+01
-6.488786220550537109e+00,-5.267921447753906250e+00,4.057931900024414062e+01
