controllable,dynamic,output
-6.496199607849121094e+00,-4.786521592607977382e+00,-4.003464126586914062e+01
-6.496199607849121094e+00,-8.006999092776281302e-01,-3.793714523315429688e+01
-6.496199607849121094e+00,-6.955495280263399138e+00,-4.169018554687500000e+01
-6.496199607849121094e+00,-6.820258804268368280e+00,-4.183422470092773438e+01
-6.496199607849121094e+00,-3.719631145980197839e+00,-4.024662399291992188e+01
-6.496199607849121094e+00,-4.249512929911771764e-01,-3.792044830322265625e+01
-6.496199607849121094e+00,5.413197895563220285e+00,-3.937725067138671875e+01
-6.496199607849121094e+00,2.603512218997241945e+00,-3.793065261840820312e+01
-6.496199607849121094e+00,1.732198715593863625e+00,-3.777669525146484375e+01
-6.496199607849121094e+00,6.753615825910769033e+00,-4.007901000976562500e+01
-6.496199607849121094e+00,-3.031455291205791269e+00,-3.873353576660156250e+01
-6.496199607849121094e+00,-5.205067703323432937e+00,-4.036287307739257812e+01
-6.496199607849121094e+00,8.321276510203006183e-01,-3.771714782714843750e+01
-6.496199607849121094e+00,7.041827197581058684e+00,-4.000658416748046875e+01
-6.496199607849121094e+00,7.517467188725040828e+00,-4.177032852172851562e+01
-6.496199607849121094e+00,2.298922648540592917e+00,-3.790457916259765625e+01
-6.496199607849121094e+00,-3.356736405247742194e+00,-3.923670578002929688e+01
-6.496199607849121094e+00,6.046030589560675850e-01,-3.772834777832031250e+01
-6.496199607849121094e+00,1.203604077398962247e+00,-3.771811676025390625e+01
-6.496199607849121094e+00,6.103464050553911946e+00,-4.092831802368164062e+01
-6.496199607849121094e+00,-1.145686160449108648e+00,-3.801782608032226562e+01
-6.496199607849121094e+00,6.272324180109539071e+00,-4.089096450805664062e+01
-6.496199607849121094e+00,-2.226121830110554534e+00,-3.893757629394531250e+01
-6.496199607849121094e+00,-5.989430525514697123e+00,-4.382094573974609375e+01
-6.496199607849121094e+00,-5.487859135016663892e+00,-4.161126327514648438e+01
-6.496199607849121094e+00,3.214174149394965596e+00,-3.805506896972656250e+01
-6.496199607849121094e+00,-6.418769257974020093e+00,-4.330926513671875000e+01
-6.496199607849121094e+00,-4.231785502149615574e+00,-4.091978836059570312e+01
-6.496199607849121094e+00,-1.619246721415391832e+00,-3.843688583374023438e+01
-6.496199607849121094e+00,-4.587077925965258984e+00,-4.037817382812500000e+01
-6.496199607849121094e+00,-7.923442114389711577e-02,-3.785974121093750000e+01
-6.496199607849121094e+00,-2.908683039603447540e+00,-3.868964385986328125e+01
-6.496199607849121094e+00,-5.768962695912792427e+00,-4.308173370361328125e+01
-6.496199607849121094e+00,-1.805466714760608049e+00,-3.865457916259765625e+01
-6.496199607849121094e+00,7.733129617019050883e+00,-4.291272354125976562e+01
-6.496199607849121094e+00,6.451462662164862749e+00,-4.064243698120117188e+01
-6.496199607849121094e+00,3.813703083913917879e+00,-3.866370773315429688e+01
-6.496199607849121094e+00,-1.400529581827283820e+00,-3.820014572143554688e+01
-6.496199607849121094e+00,6.082273303830021405e-02,-3.782502365112304688e+01
-6.496199607849121094e+00,3.663624804927659184e+00,-3.848943328857421875e+01
-6.496199607849121094e+00,2.811495482820873804e+00,-3.793782424926757812e+01
-6.496199607849121094e+00,4.747116366565933276e+00,-3.872416305541992188e+01
-6.496199607849121094e+00,2.124422258290966425e+00,-3.787032699584960938e+01
-6.496199607849121094e+00,1.464154409157295333e+00,-3.773471069335937500e+01
-6.496199607849121094e+00,4.057901148119164247e+00,-3.887929153442382812e+01
-6.496199607849121094e+00,-2.521447195307726652e+00,-3.885173416137695312e+01
-6.496199607849121094e+00,5.010607999755913866e+00,-3.872085952758789062e+01
-6.496199607849121094e+00,4.559764000394201489e+00,-3.882934570312500000e+01
-6.496199607849121094e+00,-4.113000191641550174e+00,-4.093217468261718750e+01
-6.496199607849121094e+00,5.711921207753544394e+00,-4.022527313232421875e+01
