controllable,dynamic,output
-6.496199131011962891e+00,6.178866971859895862e+00,-4.093896865844726562e+01
-6.496199607849121094e+00,3.461457139053087051e+00,-3.826040649414062500e+01
-6.496199607849121094e+00,6.848634338567054058e+00,-3.997177505493164062e+01
-6.496199607849121094e+00,3.354363377340622066e+00,-3.815840911865234375e+01
-6.496199607849121094e+00,9.873953116922498552e+00,-4.736821746826171875e+01
-6.496199607849121094e+00,8.869530323066300070e+00,-4.174616622924804688e+01
-6.496199607849121094e+00,4.376799008107145283e+00,-3.891878128051757812e+01
-6.496199607849121094e+00,8.285391818395186903e+00,-4.372669982910156250e+01
-6.496199607849121094e+00,8.053700169766440098e+00,-4.391252899169921875e+01
-6.496199607849121094e+00,9.726434627459036975e+00,-4.640802764892578125e+01
-6.496199607849121094e+00,5.066919171515095854e+00,-3.876038742065429688e+01
-6.496199607849121094e+00,5.830756219658858264e+00,-4.053162002563476562e+01
-6.496199607849121094e+00,9.240083337910222738e+00,-4.253442001342773438e+01
-6.496199607849121094e+00,7.564546340646457701e+00,-4.202647018432617188e+01
-6.496199607849121094e+00,2.891921210998406711e+00,-3.794536590576171875e+01
-6.496199607849121094e+00,4.623885835352020024e+00,-3.879072189331054688e+01
-6.496199607849121094e+00,8.585376751326265321e+00,-4.263293838500976562e+01
-6.496199607849121094e+00,6.732566908057826538e+00,-4.011079025268554688e+01
-6.496199607849121094e+00,3.592273049107934213e+00,-3.840528106689453125e+01
-6.496199607849121094e+00,6.080498625903373089e+00,-4.091604614257812500e+01
-6.496199607849121094e+00,3.916318523850214284e+00,-3.876925277709960938e+01
-6.496199607849121094e+00,2.203650973190220075e+00,-3.788740921020507812e+01
-6.496199607849121094e+00,9.127881779396181727e+00,-4.200854873657226562e+01
-6.496199607849121094e+00,4.202036864407483918e+00,-3.893449401855468750e+01
-6.496199607849121094e+00,8.776831550817961514e+00,-4.194099807739257812e+01
-6.496199607849121094e+00,8.166963087406340804e+00,-4.392013931274414062e+01
-6.496199607849121094e+00,7.000543583766180689e+00,-3.996567916870117188e+01
-6.496199607849121094e+00,9.451420097013501831e+00,-4.407216644287109375e+01
-6.496199607849121094e+00,4.832184709724309357e+00,-3.869543457031250000e+01
-6.496199607849121094e+00,3.707155302524864915e+00,-3.854108047485351562e+01
-6.496199607849121094e+00,6.334319462678415391e+00,-4.082514190673828125e+01
-6.496199607849121094e+00,4.685412871701363891e+00,-3.875511550903320312e+01
-6.496199607849121094e+00,5.141472408132031546e+00,-3.883932876586914062e+01
-6.496199607849121094e+00,5.303408793213264971e+00,-3.911632156372070312e+01
-6.496199607849121094e+00,7.398722414611401454e+00,-4.115346908569335938e+01
-6.496199607849121094e+00,7.694852170721858897e+00,-4.272209548950195312e+01
-6.496199607849121094e+00,9.560433317418974397e+00,-4.501753616333007812e+01
-6.496199607849121094e+00,6.596157625162752502e+00,-4.036006927490234375e+01
-6.496199607849121094e+00,2.678478011266477665e+00,-3.793257141113281250e+01
-6.496199607849121094e+00,2.786351866740310879e+00,-3.793634033203125000e+01
-6.496199607849121094e+00,7.870075372884578258e+00,-4.349384307861328125e+01
-6.496199607849121094e+00,5.677924195108312588e+00,-4.012944412231445312e+01
-6.496199131011962891e+00,7.119262433223172870e+00,-4.013678359985351562e+01
-6.496199131011962891e+00,4.157719295301030016e+00,-3.892419433593750000e+01
-6.496199607849121094e+00,2.001308590822758138e+00,-3.784059524536132812e+01
-6.496199607849121094e+00,3.040336714218686343e+00,-3.797649765014648438e+01
-6.496199607849121094e+00,5.500810663049964688e+00,-3.961600112915039062e+01
-6.496199607849121094e+00,2.295022922516023467e+00,-3.790396118164062500e+01
-6.496199607849121094e+00,8.443249428701678383e+00,-4.321623992919921875e+01
-6.496199607849121094e+00,2.391245977776710774e+00,-3.791699218750000000e+01
