evaluation,mae
2.000000000000000000e+00,3.132044742584228558e+01
1.000000000000000000e+01,2.784157819747924734e+01
2.000000000000000000e+01,1.264762912750244084e+01
3.000000000000000000e+01,9.585518264770508168e+00
4.000000000000000000e+01,9.502700233459473012e+00
5.000000000000000000e+01,6.721022529602050710e+00
6.000000000000000000e+01,4.482375259399414169e+00
7.000000000000000000e+01,2.726210403442382635e+00
8.000000000000000000e+01,2.469365310668945490e+00
9.000000000000000000e+01,2.256648254394531428e+00
1.000000000000000000e+02,1.906624908447265732e+00
