controllable,dynamic,output
-1.519376875892742618e+00,-2.292561858420114618e-01,4.147936326588668621e+00
-7.006786346435546875e+00,-2.781676948070526123e-01,3.236908340454101562e+01
-7.006863594055175781e+00,1.048878550529479980e+00,3.218171310424804688e+01
-7.006843566894531250e+00,3.313162624835968018e-01,3.223096084594726562e+01
-7.006844043731689453e+00,1.098215103149414062e+00,3.218259811401367188e+01
-7.006843090057373047e+00,1.555774569511413574e+00,3.221261978149414062e+01
-7.006851196289062500e+00,5.634995102882385254e-01,3.219850540161132812e+01
-7.006859302520751953e+00,-3.314761817455291748e-01,3.237585067749023438e+01
-7.006861209869384766e+00,-1.277752041816711426e+00,3.256378173828125000e+01
-7.006871223449707031e+00,-1.305863022804260254e+00,3.258470535278320312e+01
-7.006871223449707031e+00,-1.976762056350708008e+00,3.328831100463867188e+01
-7.006873607635498047e+00,-2.669180870056152344e+00,3.323025512695312500e+01
-7.006875991821289062e+00,-3.362652778625488281e+00,3.371688079833984375e+01
-7.006880760192871094e+00,-2.636727809906005859e+00,3.324899673461914062e+01
-7.006887912750244141e+00,-2.450052499771118164e+00,3.335509109497070312e+01
-7.006887912750244141e+00,-2.628823995590209961e+00,3.325356674194335938e+01
-7.007004737854003906e+00,-1.771397233009338379e+00,3.307942962646484375e+01
-7.007024288177490234e+00,-1.111562609672546387e+00,3.246536254882812500e+01
-6.977679252624511719e+00,-2.211437463760375977e+00,3.399262237548828125e+01
-7.001130580902099609e+00,-2.990335464477539062e+00,3.329514312744140625e+01
-7.002345561981201172e+00,-3.971405744552612305e+00,3.536103439331054688e+01
-7.002039909362792969e+00,-4.471224784851074219e+00,3.517186737060546875e+01
-7.001707077026367188e+00,-4.823060035705566406e+00,3.456670379638671875e+01
-7.001414775848388672e+00,-5.089841365814208984e+00,3.465764617919921875e+01
-6.999711513519287109e+00,-4.539481639862060547e+00,3.508700180053710938e+01
-7.000867366790771484e+00,-5.664528846740722656e+00,3.715504837036132812e+01
-7.000757217407226562e+00,-5.857339859008789062e+00,3.804017257690429688e+01
-7.000807285308837891e+00,-6.480566024780273438e+00,3.765923309326171875e+01
-7.000847339630126953e+00,-7.766485691070556641e+00,4.129420089721679688e+01
-7.000926971435546875e+00,-8.198985099792480469e+00,4.238149642944335938e+01
-7.000997543334960938e+00,-7.954958915710449219e+00,4.230134582519531250e+01
-7.001038074493408203e+00,-7.997598648071289062e+00,4.242118453979492188e+01
-7.001075744628906250e+00,-8.005412101745605469e+00,4.243769073486328125e+01
-7.001172065734863281e+00,-7.461735248565673828e+00,3.874315261840820312e+01
-7.001129627227783203e+00,-7.508257865905761719e+00,3.914506530761718750e+01
-7.001110553741455078e+00,-7.442677497863769531e+00,3.858359146118164062e+01
-7.000917911529541016e+00,-6.141893863677978516e+00,3.852419281005859375e+01
-6.927824974060058594e+00,-4.696454048156738281e+00,3.616876602172851562e+01
-7.103346347808837891e+00,-4.506695747375488281e+00,3.286495208740234375e+01
-6.926753044128417969e+00,-3.998250484466552734e+00,3.685557174682617188e+01
-6.858480453491210938e+00,-2.970438718795776367e+00,3.586044311523437500e+01
-6.769860267639160156e+00,-3.643457889556884766e+00,3.839704132080078125e+01
-6.683582782745361328e+00,-2.236131191253662109e+00,3.817017745971679688e+01
-6.584186553955078125e+00,-2.322331428527832031e+00,3.876348495483398438e+01
-6.545012474060058594e+00,-1.146147131919860840e+00,3.796602630615234375e+01
-6.487404823303222656e+00,-8.144205808639526367e-01,3.793633651733398438e+01
-6.407398700714111328e+00,-1.417955756187438965e+00,3.804644393920898438e+01
-6.378832340240478516e+00,-1.289155244827270508e+00,3.780919265747070312e+01
-6.376175880432128906e+00,-8.287701010704040527e-01,3.762893676757812500e+01
-6.412394523620605469e+00,5.495013594627380371e-01,3.758150100708007812e+01
-6.403981208801269531e+00,1.729442596435546875e+00,3.759246444702148438e+01
-6.351573944091796875e+00,2.198277235031127930e+00,3.743743515014648438e+01
-6.331313133239746094e+00,2.594419002532958984e+00,3.734849929809570312e+01
-6.337261199951171875e+00,3.337788105010986328e+00,3.760322570800781250e+01
-6.320112228393554688e+00,3.037761449813842773e+00,3.731314849853515625e+01
-6.341271877288818359e+00,4.501223564147949219e+00,3.834862136840820312e+01
-6.342519760131835938e+00,5.819575309753417969e+00,3.999904632568359375e+01
-6.342379093170166016e+00,7.135032176971435547e+00,3.966477584838867188e+01
-6.342593193054199219e+00,8.432293891906738281e+00,4.275256729125976562e+01
-6.342626571655273438e+00,9.736202239990234375e+00,4.597664260864257812e+01
-6.343026161193847656e+00,8.625127792358398438e+00,4.196718978881835938e+01
-6.343744277954101562e+00,8.062446594238281250e+00,4.342184448242187500e+01
-6.344807624816894531e+00,7.543128013610839844e+00,4.141822433471679688e+01
-6.345049858093261719e+00,7.460922241210937500e+00,4.097909164428710938e+01
