evaluation,mape
2.000000000000000000e+00,9.252380125478503192e-01
1.000000000000000000e+01,9.314276991297657515e-01
2.000000000000000000e+01,7.795172611459763035e-01
3.000000000000000000e+01,8.173066349511302064e-01
4.000000000000000000e+01,2.674756104353592789e-01
5.000000000000000000e+01,3.152195440792813219e-01
6.000000000000000000e+01,1.058714956317719225e-01
7.000000000000000000e+01,6.623393996709193987e-02
8.000000000000000000e+01,4.465296857054551483e-02
9.000000000000000000e+01,4.044385483046600283e-02
1.000000000000000000e+02,3.507709181196573545e-02
