controllable,controllable,controllable,controllable,controllable,environmental,output
2.701687802069810962e-01,6.076938178623428888e-01,2.162802412202167179e-01,9.307693658912807866e-02,3.951358316974138418e-01,1.066177090665156868e-01,1.895320582260894005e-01
2.736965119838714600e-01,5.353240966796875000e-01,4.276767373085021973e-01,5.864989161491394043e-01,4.993478059768676758e-01,1.044327169656753540e-01,8.798487186431884766e-01
2.669882774353027344e-01,5.159978866577148438e-01,4.164688587188720703e-01,3.425604104995727539e-01,5.793451070785522461e-01,7.945503294467926025e-02,5.003098845481872559e-01
4.956585466861724854e-01,3.871470093727111816e-01,2.885746955871582031e-01,5.877060890197753906e-01,3.682920634746551514e-01,1.131737455725669861e-01,4.192402660846710205e-01
2.960532903671264648e-01,4.934738874435424805e-01,4.580531120300292969e-01,9.807630181312561035e-01,3.559477329254150391e-01,9.060727059841156006e-02,1.442274153232574463e-01
6.779461503028869629e-01,8.649473786354064941e-01,8.484601378440856934e-01,3.853423148393630981e-02,5.141972899436950684e-01,5.952808633446693420e-02,5.235407873988151550e-02
4.993332028388977051e-01,5.491271615028381348e-01,2.365387827157974243e-01,5.703344345092773438e-01,4.157826304435729980e-01,5.934448540210723877e-02,1.114594697952270508e+00
9.073701500892639160e-01,9.700849056243896484e-01,6.136413812637329102e-01,4.917815327644348145e-01,2.105504274368286133e-01,1.654538512229919434e-02,3.917356580495834351e-02
1.000000000000000000e+00,5.547834038734436035e-01,8.376308083534240723e-01,0.000000000000000000e+00,5.325672030448913574e-01,2.889029122889041901e-02,1.489744754508137703e-03
1.000000000000000000e+00,5.859093070030212402e-01,7.315464569049544015e-18,5.517224073410034180e-01,1.480454206466674805e-01,4.796284437179565430e-02,6.982752587646245956e-03
5.647384524345397949e-01,9.998096227645874023e-01,2.786163389682769775e-01,5.640396475791931152e-01,5.017223954200744629e-01,1.554906181991100311e-02,1.782078385353088379e+00
6.789541244506835938e-01,1.000000000000000000e+00,0.000000000000000000e+00,6.043771505355834961e-01,5.310515761375427246e-01,0.000000000000000000e+00,7.334055304527282715e-01
5.395279526710510254e-01,1.000000000000000000e+00,2.651699483394622803e-01,5.546554923057556152e-01,5.194813013076782227e-01,0.000000000000000000e+00,1.984457254409790039e+00
3.242970705032348633e-01,7.965942621231079102e-01,2.372753620147705078e-01,5.391728878021240234e-01,5.554340481758117676e-01,0.000000000000000000e+00,2.516023397445678711e+00
0.000000000000000000e+00,4.609502255916595459e-01,2.106030285358428955e-01,5.538875460624694824e-01,5.933219194412231445e-01,3.495831042528152466e-02,5.636071413755416870e-02
3.555416762828826904e-01,9.299009442329406738e-01,3.960636854171752930e-01,5.607010126113891602e-01,5.210278034210205078e-01,2.779098600149154663e-02,2.927484512329101562e+00
3.068303465843200684e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.954419970512390137e-01,0.000000000000000000e+00,1.333057507872581482e-02,2.400102853775024414e+00
3.213051855564117432e-01,1.000000000000000000e+00,4.270918965339660645e-01,5.915032625198364258e-01,8.501644730567932129e-01,4.322800040245056152e-02,2.381293296813964844e+00
3.887746930122375488e-01,8.981339931488037109e-01,9.928798675537109375e-01,5.460618138313293457e-01,0.000000000000000000e+00,1.355947181582450867e-02,3.123253583908081055e+00
4.055673480033874512e-01,8.827139139175415039e-01,1.000000000000000000e+00,6.134195327758789062e-01,2.996014826744768100e-16,6.315265595912933350e-02,3.118397235870361328e+00
4.083052873611450195e-01,8.838130831718444824e-01,0.000000000000000000e+00,5.667116641998291016e-01,1.943410371323638086e-14,9.441371262073516846e-02,2.942978620529174805e+00
3.987094461917877197e-01,8.885293602943420410e-01,1.000000000000000000e+00,5.770621895790100098e-01,1.000000000000000000e+00,5.202015116810798645e-02,2.942778825759887695e+00
3.831959664821624756e-01,8.956516981124877930e-01,1.000000000000000000e+00,5.963184237480163574e-01,2.030637146605528132e-14,8.049434423446655273e-02,3.071921586990356445e+00
3.995797932147979736e-01,8.926837444305419922e-01,1.000000000000000000e+00,6.181062459945678711e-01,0.000000000000000000e+00,3.260765597224235535e-02,3.128330469131469727e+00
4.230487048625946045e-01,8.761126995086669922e-01,1.748745329678058624e-02,8.329118490219116211e-01,5.351899266242980957e-01,4.386660456657409668e-02,1.542263746261596680e+00
2.135861665010452271e-01,9.388963580131530762e-01,8.315091133117675781e-01,4.177353680133819580e-01,3.112667500972747803e-01,7.730256766080856323e-02,1.293065428733825684e+00
4.394330382347106934e-01,9.044479131698608398e-01,7.278463244438171387e-01,4.132832586765289307e-01,3.078103661537170410e-01,9.765497595071792603e-02,2.302262306213378906e+00
5.132345557212829590e-01,3.043761290609836578e-02,3.611474484205245972e-02,2.156796678900718689e-02,5.849958658218383789e-01,5.304322764277458191e-02,1.291164755821228027e-02
9.474539756774902344e-01,1.097726374864578247e-01,4.422991573810577393e-01,9.356431365013122559e-01,8.042628765106201172e-01,7.519324868917465210e-02,5.989460987620986998e-05
4.667437821626663208e-02,8.753502964973449707e-01,1.395337581634521484e-01,9.600438475608825684e-01,2.944136559963226318e-01,1.003405153751373291e-01,7.547114044427871704e-02
5.004377365112304688e-01,8.753834366798400879e-01,9.208152890205383301e-01,5.921391844749450684e-01,3.783472478389739990e-01,5.461224913597106934e-02,2.702175140380859375e+00
4.013767540454864502e-01,9.305285215377807617e-01,7.468352317810058594e-01,6.798007488250732422e-01,9.366194009780883789e-01,8.089771494269371033e-03,2.590359210968017578e+00
4.552701711654663086e-01,8.486664891242980957e-01,3.827234804630279541e-01,5.043556690216064453e-01,3.450657427310943604e-02,4.974160343408584595e-02,2.853720664978027344e+00
4.379476904869079590e-01,2.351252734661102295e-02,7.320728302001953125e-01,8.879871368408203125e-01,6.328503489494323730e-01,4.926899448037147522e-02,4.873619880527257919e-03
8.599281311035156250e-01,8.775907754898071289e-02,1.160181537270545959e-01,4.089400470256805420e-01,8.479682356119155884e-02,9.066994488239288330e-02,2.310709282755851746e-02
4.352067112922668457e-01,7.913970351219177246e-01,6.052809357643127441e-01,5.286471247673034668e-01,7.503814995288848877e-02,8.074460178613662720e-02,2.812955856323242188e+00
7.555980980396270752e-02,9.923038631677627563e-02,2.733398377895355225e-01,1.039813309907913208e-01,5.616606473922729492e-01,7.346889376640319824e-02,6.397102773189544678e-02
3.480527997016906738e-01,8.843888640403747559e-01,9.211165308952331543e-01,5.189262032508850098e-01,1.387702822685241699e-01,8.255842328071594238e-02,2.864098548889160156e+00
9.741410017013549805e-01,6.634879708290100098e-01,4.816180467605590820e-02,9.708051681518554688e-01,9.400975704193115234e-01,5.985087901353836060e-02,1.635340158827602863e-03
4.367660582065582275e-01,7.167025208473205566e-01,5.944086313247680664e-01,6.897210478782653809e-01,1.269713938236236572e-01,9.378717094659805298e-02,2.113687992095947266e+00
1.514806691557168961e-02,2.282230108976364136e-01,3.510635793209075928e-01,8.979749083518981934e-01,6.817877292633056641e-02,4.703715071082115173e-02,4.811245948076248169e-03
2.095766551792621613e-02,9.506589174270629883e-01,6.982096433639526367e-01,1.070818118751049042e-02,4.243561923503875732e-01,5.884752795100212097e-02,2.269177883863449097e-02
3.094138503074645996e-01,8.504537343978881836e-01,6.552936434745788574e-01,6.264712810516357422e-01,7.345046401023864746e-01,6.115588545799255371e-02,2.524757862091064453e+00
6.198353171348571777e-01,4.591024816036224365e-01,9.281445145606994629e-01,9.676509499549865723e-01,4.109350591897964478e-02,8.464054763317108154e-02,7.168319821357727051e-02
9.932683706283569336e-01,9.871048927307128906e-01,3.927767276763916016e-01,1.816252712160348892e-03,4.748436212539672852e-01,7.077416032552719116e-02,1.010112231597304344e-03
3.758717179298400879e-01,8.195288181304931641e-01,2.677185088396072388e-02,6.118226051330566406e-01,9.389563649892807007e-02,7.252921909093856812e-02,2.863811492919921875e+00
9.928982257843017578e-01,1.952439993619918823e-01,1.970919817686080933e-01,1.491519995033740997e-02,7.887011170387268066e-01,7.362232357263565063e-02,2.899149549193680286e-04
3.889810144901275635e-01,8.779352307319641113e-01,3.634212017059326172e-01,4.464045464992523193e-01,8.150667548179626465e-01,2.833693102002143860e-02,2.539791345596313477e+00
2.164166122674942017e-01,4.128670319914817810e-03,8.139628171920776367e-01,5.142436623573303223e-01,8.662750720977783203e-01,7.748433202505111694e-02,1.782548055052757263e-02
6.371747851371765137e-01,9.635747671127319336e-01,4.380128383636474609e-01,8.728676438331604004e-01,1.563193947076797485e-01,1.073533147573471069e-01,4.605906605720520020e-01
6.898307204246520996e-01,6.327890157699584961e-01,7.180187385529279709e-03,3.901937603950500488e-01,3.563970094546675682e-04,1.513846665620803833e-01,2.920332551002502441e-01
4.679610729217529297e-01,9.341281652450561523e-01,6.989393234252929688e-01,6.844527721405029297e-01,1.546298712491989136e-01,1.130001917481422424e-01,2.396270275115966797e+00
3.818807005882263184e-01,8.517678976058959961e-01,8.739985227584838867e-01,4.996964931488037109e-01,3.046285919845104218e-02,7.984738051891326904e-02,2.907501220703125000e+00
5.764861106872558594e-01,4.376606047153472900e-01,9.530814886093139648e-01,3.499144315719604492e-02,5.134157538414001465e-01,7.036388665437698364e-02,3.432935848832130432e-02
4.795529544353485107e-01,9.789044260978698730e-01,6.172906160354614258e-01,9.777764976024627686e-02,4.553322494029998779e-01,1.065142750740051270e-01,2.696066796779632568e-01
7.354037761688232422e-01,2.064393274486064911e-02,3.104536831378936768e-01,9.822812676429748535e-01,3.064548671245574951e-01,8.677306026220321655e-02,1.006690901704132557e-03
4.350050911307334900e-02,8.314934372901916504e-01,2.145632207393646240e-01,5.783177018165588379e-01,8.652591109275817871e-01,9.712986648082733154e-02,3.017800748348236084e-01
4.696201682090759277e-01,2.263141795992851257e-02,8.605694770812988281e-01,3.300391435623168945e-01,8.994532227516174316e-01,7.900197803974151611e-02,9.708683937788009644e-03
3.708073496818542480e-01,9.739746451377868652e-01,4.939631819725036621e-01,5.301953554153442383e-01,3.459368273615837097e-02,7.231009006500244141e-02,2.814595222473144531e+00
4.622786939144134521e-01,9.349720478057861328e-01,8.809978961944580078e-01,6.322668790817260742e-01,7.655661106109619141e-01,3.415594995021820068e-02,2.740659475326538086e+00
4.743129014968872070e-01,6.782477498054504395e-01,1.040677055716514587e-01,2.441752105951309204e-01,1.196021735668182373e-01,2.436752431094646454e-02,7.039909362792968750e-01
3.425363004207611084e-01,8.758618831634521484e-01,9.569913744926452637e-01,6.955931186676025391e-01,4.095579981803894043e-01,3.088189754635095596e-03,2.519093036651611328e+00
3.539640009403228760e-01,8.427149057388305664e-01,9.993999600410461426e-01,4.594759643077850342e-01,1.585355252027511597e-01,0.000000000000000000e+00,2.598282575607299805e+00
4.317595660686492920e-01,8.337060809135437012e-01,9.498504996299743652e-01,6.746183633804321289e-01,3.919304311275482178e-01,2.257823757827281952e-02,2.772855997085571289e+00
4.086738228797912598e-01,8.565672636032104492e-01,7.519711256027221680e-01,6.270030140876770020e-01,4.005787670612335205e-01,5.543789267539978027e-02,3.059231281280517578e+00
3.780468925833702087e-02,5.158359408378601074e-01,9.006090760231018066e-01,2.047627568244934082e-01,5.092051625251770020e-01,3.393134102225303650e-02,5.190952867269515991e-02
7.316758036613464355e-01,3.878804147243499756e-01,7.309025526046752930e-01,6.632539629936218262e-01,5.659570693969726562e-01,2.546817436814308167e-02,6.894322484731674194e-02
3.855335414409637451e-01,9.750546216964721680e-01,9.550105333328247070e-01,4.866236448287963867e-01,7.996049523353576660e-01,1.359129231423139572e-02,2.600241422653198242e+00
4.041759967803955078e-01,9.102326035499572754e-01,4.208795353770256042e-02,5.420520305633544922e-01,6.982700824737548828e-01,0.000000000000000000e+00,2.878522872924804688e+00
5.681260824203491211e-01,7.851896286010742188e-01,7.449615001678466797e-01,4.800494611263275146e-01,9.007713198661804199e-01,1.944529451429843903e-02,1.610048770904541016e+00
3.987855017185211182e-01,9.121099710464477539e-01,1.214201226830482483e-01,5.729175806045532227e-01,7.368438243865966797e-01,4.000752419233322144e-02,2.968552350997924805e+00
4.317565560340881348e-01,9.110084176063537598e-01,2.630089037120342255e-02,6.251596212387084961e-01,2.496277391910552979e-01,6.561609357595443726e-02,2.920429706573486328e+00
7.566012740135192871e-01,2.848681807518005371e-02,9.203769564628601074e-01,3.741653636097908020e-02,2.575334310531616211e-01,9.142346680164337158e-02,2.717098779976367950e-02
9.444589018821716309e-01,9.272437691688537598e-01,7.519043684005737305e-01,9.883704185485839844e-01,5.193350911140441895e-01,6.291296333074569702e-02,3.914029337465763092e-03
2.148251682519912720e-01,9.719809889793395996e-01,7.183991074562072754e-01,9.320766925811767578e-01,2.817530930042266846e-01,8.355505764484405518e-02,4.381528198719024658e-01
4.804388880729675293e-01,8.662474155426025391e-01,4.619882106781005859e-01,5.503567457199096680e-01,4.044187366962432861e-01,9.975122660398483276e-02,2.699469804763793945e+00
4.277489185333251953e-01,8.098179697990417480e-01,7.122056484222412109e-01,6.216382384300231934e-01,2.755247354507446289e-01,5.304300785064697266e-02,2.959056138992309570e+00
1.658056746236979961e-03,5.931873321533203125e-01,7.133994698524475098e-01,9.270256161689758301e-01,6.307327747344970703e-01,3.609934076666831970e-02,3.048952296376228333e-02
3.735845088958740234e-01,9.110193848609924316e-01,5.787684917449951172e-01,5.000016689300537109e-01,2.044165581464767456e-01,3.450214490294456482e-02,2.953274250030517578e+00
7.149596214294433594e-01,1.691626198589801788e-02,1.174436416476964951e-02,5.413262844085693359e-01,2.786206007003784180e-01,4.864197596907615662e-02,3.052745945751667023e-02
9.970982670783996582e-01,1.069703400135040283e-01,4.104800224304199219e-01,4.210338592529296875e-01,9.717043638229370117e-01,3.213956207036972046e-02,7.465135422535240650e-05
2.762495279312133789e-01,1.996132135391235352e-01,3.075655698776245117e-01,7.420232146978378296e-02,1.090158373117446899e-01,6.998377293348312378e-02,7.512156665325164795e-02
