controllable,controllable,controllable,controllable,controllable,environmental,output
1.924764066934585571e-01,1.503861397504806519e-01,4.917014539241790771e-01,2.694426178932189941e-01,3.155967891216278076e-01,3.839305937290191650e-01,-1.852455615997314453e+00
1.990972757339477539e-01,1.491532772779464722e-01,4.797202944755554199e-01,2.738519906997680664e-01,3.126845359802246094e-01,5.777172446250915527e-01,-3.162143945693969727e+00
4.041182398796081543e-01,8.790341615676879883e-01,6.822273731231689453e-01,5.710504651069641113e-01,2.397441416978836060e-01,1.887973099946975708e-01,-2.347599983215332031e+00
2.005803585052490234e-01,1.495218873023986816e-01,4.778054356575012207e-01,2.747059464454650879e-01,3.120966255664825439e-01,6.231191754341125488e-01,-3.292238712310791016e+00
2.030305862426757812e-01,1.510287374258041382e-01,4.767105281352996826e-01,2.760567069053649902e-01,3.110571205615997314e-01,7.028972506523132324e-01,-3.269057035446166992e+00
1.952341943979263306e-01,1.492223739624023438e-01,4.861733913421630859e-01,2.714372277259826660e-01,3.142638504505157471e-01,4.683317542076110840e-01,-2.513369798660278320e+00
1.998606175184249878e-01,1.493103951215744019e-01,4.786577820777893066e-01,2.742875814437866211e-01,3.123577237129211426e-01,6.009543538093566895e-01,-3.241094350814819336e+00
4.015107154846191406e-01,8.629556298255920410e-01,5.463775396347045898e-01,5.576134920120239258e-01,2.944038510322570801e-01,2.948228120803833008e-01,-1.334321737289428711e+00
1.934377551078796387e-01,1.497905403375625610e-01,4.896061122417449951e-01,2.702245414257049561e-01,3.150310814380645752e-01,4.155165255069732666e-01,-2.103742599487304688e+00
4.045450985431671143e-01,8.816785812377929688e-01,7.951061725616455078e-01,5.733259320259094238e-01,1.801704168319702148e-01,1.186283826828002930e-01,-2.930190563201904297e+00
2.035159915685653687e-01,1.515744179487228394e-01,4.770851433277130127e-01,2.763072848320007324e-01,3.108089268207550049e-01,7.201102375984191895e-01,-3.221997261047363281e+00
2.014569342136383057e-01,1.498876363039016724e-01,4.770348072052001953e-01,2.752012312412261963e-01,3.117459416389465332e-01,6.498979330062866211e-01,-3.320949792861938477e+00
1.942843943834304810e-01,1.494669616222381592e-01,4.879699647426605225e-01,2.707865536212921143e-01,3.146836757659912109e-01,4.408240914344787598e-01,-2.303446531295776367e+00
2.050483822822570801e-01,1.548853665590286255e-01,4.818224310874938965e-01,2.771114110946655273e-01,3.098647892475128174e-01,7.854684591293334961e-01,-2.925076246261596680e+00
2.045328319072723389e-01,1.534769088029861450e-01,4.795035421848297119e-01,2.768719196319580078e-01,3.102243244647979736e-01,7.630045413970947266e-01,-3.046369552612304688e+00
1.921187937259674072e-01,1.507018506526947021e-01,4.925498068332672119e-01,2.691385149955749512e-01,3.158071041107177734e-01,3.712512850761413574e-01,-1.752563238143920898e+00
4.029198884963989258e-01,8.719726800918579102e-01,5.858841538429260254e-01,5.651013255119323730e-01,2.809656560420989990e-01,2.564106583595275879e-01,-1.684449553489685059e+00
4.033320248126983643e-01,8.744333386421203613e-01,6.058934330940246582e-01,5.671694278717041016e-01,2.729689180850982666e-01,2.395330965518951416e-01,-1.848504900932312012e+00
4.038546979427337646e-01,8.775584697723388672e-01,6.484773159027099609e-01,5.697945356369018555e-01,2.548641860485076904e-01,2.093199938535690308e-01,-2.147507429122924805e+00
1.962124407291412354e-01,1.490789353847503662e-01,4.843964278697967529e-01,2.720812857151031494e-01,3.138441145420074463e-01,4.965535104274749756e-01,-2.715024709701538086e+00
2.056546956300735474e-01,1.584793478250503540e-01,4.891913831233978271e-01,2.774193286895751953e-01,3.091455996036529541e-01,8.245680928230285645e-01,-2.676028251647949219e+00
1.913050860166549683e-01,1.517186015844345093e-01,4.946195483207702637e-01,2.684417366981506348e-01,3.163340389728546143e-01,3.389569520950317383e-01,-1.504740953445434570e+00
4.043986797332763672e-01,8.807362914085388184e-01,7.433338761329650879e-01,5.724932551383972168e-01,2.103058248758316040e-01,1.544796377420425415e-01,-2.659591913223266602e+00
1.975723505020141602e-01,1.490513682365417480e-01,4.820514917373657227e-01,2.729087471961975098e-01,3.133009374141693115e-01,5.349428653717041016e-01,-2.955780982971191406e+00
4.046042859554290771e-01,8.820973038673400879e-01,8.218858838081359863e-01,5.736885666847229004e-01,1.601921766996383667e-01,8.866170793771743774e-02,-3.093071460723876953e+00
