evaluation,mape
2.000000000000000000e+00,9.869271857911980916e-01
1.000000000000000000e+01,6.742906524995117001e-01
2.000000000000000000e+01,4.801178858341949018e-01
3.000000000000000000e+01,4.383676064305712661e-01
4.000000000000000000e+01,4.068098875081194166e-01
5.000000000000000000e+01,3.540086230813004331e-01
6.000000000000000000e+01,3.323567197670819207e-01
7.000000000000000000e+01,1.939143482664887619e-01
8.000000000000000000e+01,1.802040636690838693e-01
9.000000000000000000e+01,1.814504433949224171e-01
1.000000000000000000e+02,1.729207665088415835e-01
