controllable,controllable,controllable,controllable,controllable,environmental,output
5.053035877370142259e-01,2.666655202159822213e-01,9.670346580668278680e-01,3.716942701915425529e-01,8.510612535383618171e-01,4.612089591555799117e-01,1.945858937470550457e-02
6.823733448982238770e-01,1.947402507066726685e-01,8.860355019569396973e-01,9.903863668441772461e-01,5.177870988845825195e-01,4.376595914363861084e-01,4.796291235834360123e-03
2.311794459819793701e-01,8.822379708290100098e-01,1.718428538879379630e-04,1.702441275119781494e-01,1.740249693393707275e-01,4.665354788303375244e-01,2.002808600664138794e-01
3.469446951953614189e-18,2.359223927328457648e-16,0.000000000000000000e+00,6.472840309143066406e-01,8.534726500511169434e-01,4.545495510101318359e-01,3.077780595049262047e-03
8.642499446868896484e-01,1.000000000000000000e+00,9.272812604904174805e-01,7.765235006809234619e-02,3.309424221515655518e-02,4.509678781032562256e-01,6.212535779923200607e-03
2.181729972362518311e-01,9.945092201232910156e-01,6.405709981918334961e-01,6.605868935585021973e-01,5.537930130958557129e-01,4.017393589019775391e-01,2.552590966224670410e-01
6.490164250135421753e-02,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,8.763883709907531738e-01,4.318661391735076904e-01,7.187127135694026947e-03
1.438106000423431396e-01,6.862711906433105469e-01,1.461766362190246582e-01,1.675345748662948608e-01,6.252565979957580566e-02,4.401279985904693604e-01,2.294286489486694336e-01
8.327067643404006958e-02,9.697167277336120605e-01,4.812952578067779541e-01,6.117112040519714355e-01,5.280631184577941895e-01,4.822225272655487061e-01,8.962843567132949829e-02
2.914935946464538574e-01,9.050220251083374023e-01,1.214225143194198608e-01,2.311559021472930908e-01,8.025299757719039917e-02,4.819088280200958252e-01,1.635586470365524292e-01
6.619372367858886719e-01,8.915457725524902344e-01,6.692997813224792480e-01,8.961479067802429199e-01,7.550516724586486816e-01,5.013263821601867676e-01,1.831101439893245697e-02
1.934055984020233154e-01,1.693602507929448472e-17,1.000000000000000000e+00,1.000000000000000000e+00,2.024584859609603882e-01,5.248448848724365234e-01,1.172690372914075851e-02
6.937670707702636719e-01,5.204427242279052734e-01,0.000000000000000000e+00,8.326259255409240723e-02,3.731637448072433472e-02,5.524526238441467285e-01,1.394646018743515015e-01
