controllable,controllable,controllable,controllable,controllable,environmental,output
2.141254395246505737e-01,3.105815052986145020e-01,7.416613698005676270e-01,2.817431092262268066e-01,2.634045481681823730e-01,9.251863956451416016e-01,-1.984015464782714844e+00
2.033816128969192505e-01,1.514215767383575439e-01,4.769126176834106445e-01,2.762455344200134277e-01,3.108928799629211426e-01,7.151165008544921875e-01,-3.237109422683715820e+00
1.957344859838485718e-01,1.491556167602539062e-01,4.852651357650756836e-01,2.717692553997039795e-01,3.140605092048645020e-01,4.828671514987945557e-01,-2.619361639022827148e+00
2.057575881481170654e-01,1.741234809160232544e-01,5.235738754272460938e-01,2.774926722049713135e-01,3.066190183162689209e-01,8.892412781715393066e-01,-2.199388742446899414e+00
1.977718621492385864e-01,1.490093916654586792e-01,4.817366898059844971e-01,2.730588316917419434e-01,3.132117092609405518e-01,5.405721068382263184e-01,-2.987035274505615234e+00
1.983863264322280884e-01,1.490607410669326782e-01,4.807787835597991943e-01,2.734319269657135010e-01,3.129753172397613525e-01,5.581509470939636230e-01,-3.076934337615966797e+00
2.059264928102493286e-01,1.647310554981231689e-01,5.030131936073303223e-01,2.775375247001647949e-01,3.080726563930511475e-01,8.622798323631286621e-01,-2.403746128082275391e+00
1.964063942432403564e-01,1.490573734045028687e-01,4.840673506259918213e-01,2.722265124320983887e-01,3.137671649456024170e-01,5.015025734901428223e-01,-2.748485088348388672e+00
1.945476680994033813e-01,1.494087725877761841e-01,4.875209331512451172e-01,2.709424495697021484e-01,3.145769238471984863e-01,4.479961097240447998e-01,-2.359116315841674805e+00
2.058946043252944946e-01,1.677508503198623657e-01,5.097181200981140137e-01,2.775528728961944580e-01,3.076247572898864746e-01,8.734186887741088867e-01,-2.319778442382812500e+00
2.050747424364089966e-01,1.550106257200241089e-01,4.821297824382781982e-01,2.771227359771728516e-01,3.098396956920623779e-01,7.873162031173706055e-01,-2.914317846298217773e+00
2.012112289667129517e-01,1.497528403997421265e-01,4.772355258464813232e-01,2.750680148601531982e-01,3.118571937084197998e-01,6.411381959915161133e-01,-3.315610647201538086e+00
1.936691254377365112e-01,1.496692597866058350e-01,4.893093407154083252e-01,2.702939510345458984e-01,3.149919807910919189e-01,4.204666614532470703e-01,-2.143078804016113281e+00
2.056305855512619019e-01,1.580354124307632446e-01,4.882280826568603516e-01,2.773888409137725830e-01,3.092228174209594727e-01,8.207549452781677246e-01,-2.702082395553588867e+00
2.007544040679931641e-01,1.496389657258987427e-01,4.776974320411682129e-01,2.748096585273742676e-01,3.120646476745605469e-01,6.276344060897827148e-01,-3.299649477005004883e+00
2.022118121385574341e-01,1.503483057022094727e-01,4.766256809234619141e-01,2.756207287311553955e-01,3.114280104637145996e-01,6.745368242263793945e-01,-3.314690589904785156e+00
2.040703445672988892e-01,1.524448096752166748e-01,4.779477715492248535e-01,2.766243517398834229e-01,3.105252385139465332e-01,7.418332099914550781e-01,-3.142944097518920898e+00
1.971041709184646606e-01,1.490286588668823242e-01,4.828576743602752686e-01,2.726510763168334961e-01,3.134787380695343018e-01,5.217375755310058594e-01,-2.878131628036499023e+00
2.035817801952362061e-01,1.516726315021514893e-01,4.771115481853485107e-01,2.763456106185913086e-01,3.107933402061462402e-01,7.223170399665832520e-01,-3.214946269989013672e+00
1.941155344247817993e-01,1.495182663202285767e-01,4.882018268108367920e-01,2.706752419471740723e-01,3.147370815277099609e-01,4.363296627998352051e-01,-2.268302202224731445e+00
1.995791196823120117e-01,1.492039412260055542e-01,4.791786074638366699e-01,2.740783393383026123e-01,3.125272095203399658e-01,5.911929607391357422e-01,-3.210993051528930664e+00
1.988104581832885742e-01,1.491149365901947021e-01,4.801191687583923340e-01,2.736888229846954346e-01,3.127976953983306885e-01,5.705757737159729004e-01,-3.132947921752929688e+00
2.025239765644073486e-01,1.505747288465499878e-01,4.765887856483459473e-01,2.757908403873443604e-01,3.112908899784088135e-01,6.845069527626037598e-01,-3.303278207778930664e+00
2.057182788848876953e-01,1.592687666416168213e-01,4.909095466136932373e-01,2.774574756622314453e-01,3.090175390243530273e-01,8.310922980308532715e-01,-2.630712985992431641e+00
2.046633958816528320e-01,1.537136584520339966e-01,4.798429906368255615e-01,2.769087553024291992e-01,3.101819753646850586e-01,7.673625946044921875e-01,-3.024276018142700195e+00
