evaluation,mape
2.000000000000000000e+00,5.142670498932042644e-01
1.000000000000000000e+01,5.230675007467131543e-01
2.000000000000000000e+01,1.211845398210646130e-01
3.000000000000000000e+01,1.226462947487163141e-01
4.000000000000000000e+01,1.322687413803396994e-01
5.000000000000000000e+01,1.479862827304324613e-01
6.000000000000000000e+01,1.601830745487861918e-01
7.000000000000000000e+01,1.544509821798518701e-01
8.000000000000000000e+01,9.749094524207312096e-02
9.000000000000000000e+01,7.885259318416087959e-02
1.000000000000000000e+02,7.577502514928731447e-02
