controllable,controllable,controllable,controllable,controllable,environmental,output
6.044413010836636735e-01,8.334427679574146763e-01,7.487550930166182450e-01,7.713523087001056266e-01,1.591257079854044854e-01,1.406374566715229424e-02,1.071106051761159250e+00
1.405081152915954590e-02,2.222400531172752380e-02,7.347720116376876831e-02,4.039078950881958008e-02,8.562904596328735352e-01,0.000000000000000000e+00,1.183051732368767262e-03
6.182559132575988770e-01,7.671868205070495605e-01,8.030627965927124023e-01,7.919038534164428711e-01,1.341607123613357544e-01,0.000000000000000000e+00,8.085025548934936523e-01
5.663306117057800293e-01,1.000000000000000000e+00,5.993520617485046387e-01,7.146471142768859863e-01,2.277723997831344604e-01,0.000000000000000000e+00,1.472861409187316895e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.651400327682495117e-02,5.819057114422321320e-03
5.458365082740783691e-01,5.845749774004149746e-14,3.245676432695257518e-14,0.000000000000000000e+00,1.000000000000000000e+00,3.435695171356201172e-02,2.237700391560792923e-04
6.347852945327758789e-01,1.000000000000000000e+00,5.042425990104675293e-01,8.089902997016906738e-01,1.609928905963897705e-01,4.671453684568405151e-02,6.669179797172546387e-01
4.513288180685304241e-12,2.615806182770796795e-11,1.388733919527318506e-11,6.841878890991210938e-01,1.000000000000000000e+00,7.090952992439270020e-02,3.981830377597361803e-04
4.972723424434661865e-01,1.000000000000000000e+00,6.392453312873840332e-01,6.233068704605102539e-01,2.989542186260223389e-01,5.628108233213424683e-02,2.396383762359619141e+00
4.463995397090911865e-01,9.638869762420654297e-01,7.183063626289367676e-01,5.598243474960327148e-01,3.414304554462432861e-01,9.266232699155807495e-02,2.810770988464355469e+00
5.244647860527038574e-01,9.959345459938049316e-01,1.000000000000000000e+00,4.962166845798492432e-01,1.597636491060256958e-01,8.832888305187225342e-02,2.056441307067871094e+00
1.000000000000000000e+00,0.000000000000000000e+00,8.959416884199477085e-16,5.408378839492797852e-01,4.178488850593566895e-01,4.613998904824256897e-02,7.750544231384992599e-03
0.000000000000000000e+00,1.000000000000000000e+00,6.943139433860778809e-01,4.907327294349670410e-01,1.000000000000000000e+00,7.353438436985015869e-02,1.536037623882293701e-01
3.916352689266204834e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.948421597480773926e-01,6.268065422773361206e-02,4.621956944465637207e-01
4.101644158363342285e-01,9.278021709864281734e-17,1.000000000000000000e+00,5.620499253273010254e-01,1.000000000000000000e+00,1.113082766532897949e-01,6.172822322696447372e-03
3.152953386306762695e-01,9.608113765716552734e-01,1.000000000000000000e+00,4.454323053359985352e-01,3.560136556625366211e-01,1.075024604797363281e-01,2.101063013076782227e+00
5.538691282272338867e-01,8.733176589012145996e-01,5.739961862564086914e-01,5.648890137672424316e-01,3.549433946609497070e-01,6.125625967979431152e-02,2.158147096633911133e+00
1.000000000000000000e+00,9.743101000785827637e-01,1.231018986156155390e-14,5.577713847160339355e-01,3.719052970409393311e-01,4.035209491848945618e-02,7.647156249731779099e-03
4.312240779399871826e-01,1.074212160026468809e-15,5.492330043969599195e-17,5.269003510475158691e-01,3.333507180213928223e-01,4.329582303762435913e-02,5.678975954651832581e-02
4.165053367614746094e-01,8.961009979248046875e-01,3.044678866863250732e-01,5.775626301765441895e-01,5.222586989402770996e-01,7.724489271640777588e-02,3.023561954498291016e+00
4.064053595066070557e-01,8.605831861495971680e-01,1.000000000000000000e+00,5.907501578330993652e-01,1.000000000000000000e+00,1.179210245609283447e-01,2.683569908142089844e+00
4.156819880008697510e-01,9.002425074577331543e-01,0.000000000000000000e+00,5.659099221229553223e-01,5.980902816936166898e-16,1.455098688602447510e-01,2.607526302337646484e+00
4.184342622756958008e-01,9.268022775650024414e-01,2.136383720237938137e-16,5.677015781402587891e-01,6.318612694740295410e-01,1.306718885898590088e-01,2.610006570816040039e+00
4.219283461570739746e-01,8.178418874740600586e-01,4.729669392108917236e-01,5.317252278327941895e-01,0.000000000000000000e+00,1.016812399029731750e-01,2.837258815765380859e+00
4.105044007301330566e-01,8.859248757362365723e-01,5.574643015861511230e-01,5.712322592735290527e-01,0.000000000000000000e+00,6.563065201044082642e-02,3.147493124008178711e+00
4.056168794631958008e-01,8.898159861564636230e-01,9.036654829978942871e-01,5.704697370529174805e-01,2.393549513999464542e-15,5.677908658981323242e-02,3.179983139038085938e+00
3.803791701793670654e-01,9.310414195060729980e-01,1.000000000000000000e+00,5.911284685134887695e-01,1.114881388197699972e-15,6.852099299430847168e-02,3.055539369583129883e+00
3.223976492881774902e-01,7.041572332382202148e-01,2.547403985615672578e-14,6.390103697776794434e-01,2.726962773159143788e-14,1.096853613853454590e-01,1.900116086006164551e+00
4.581357836723327637e-01,7.209652662277221680e-01,1.000000000000000000e+00,2.319429814815521240e-01,5.843832239642331779e-16,1.082133948802947998e-01,7.201709747314453125e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.418287552288829967e-13,1.311367899179458618e-01,4.078749334439635277e-04
1.470988417607687476e-14,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.521605551242828369e-01,2.408076263964176178e-02
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.472327897962145471e-14,1.629273593425750732e-01,2.827897435054183006e-03
