controllable,controllable,controllable,controllable,controllable,environmental,output
2.033272236585617065e-01,1.513439267873764038e-01,4.768266975879669189e-01,2.762002646923065186e-01,3.109478652477264404e-01,7.119359970092773438e-01,-3.246117830276489258e+00
1.993410289287567139e-01,1.491910666227340698e-01,4.793379902839660645e-01,2.739990055561065674e-01,3.125904202461242676e-01,5.860519409179687500e-01,-3.193338632583618164e+00
2.028616517782211304e-01,1.508589833974838257e-01,4.765788316726684570e-01,2.759683728218078613e-01,3.111425340175628662e-01,6.964488029479980469e-01,-3.282978057861328125e+00
1.967396140098571777e-01,1.490377485752105713e-01,4.834688305854797363e-01,2.724211812019348145e-01,3.136252164840698242e-01,5.114865303039550781e-01,-2.813960075378417969e+00
2.015095651149749756e-01,1.498945653438568115e-01,4.770047664642333984e-01,2.752462625503540039e-01,3.117452859878540039e-01,6.514128446578979492e-01,-3.321470737457275391e+00
1.948281824588775635e-01,1.492964029312133789e-01,4.869201481342315674e-01,2.711479365825653076e-01,3.144490718841552734e-01,4.566183984279632568e-01,-2.425243377685546875e+00
1.973887830972671509e-01,1.490305513143539429e-01,4.823641180992126465e-01,2.728242278099060059e-01,3.133703768253326416e-01,5.299659371376037598e-01,-2.927211523056030273e+00
2.043708413839340210e-01,1.529878079891204834e-01,4.787174165248870850e-01,2.767630517482757568e-01,3.103537857532501221e-01,7.539172768592834473e-01,-3.090060710906982422e+00
2.008649110794067383e-01,1.495803296566009521e-01,4.775686264038085938e-01,2.748812735080718994e-01,3.119803965091705322e-01,6.322351694107055664e-01,-3.306135416030883789e+00
1.962123662233352661e-01,1.490808576345443726e-01,4.843522608280181885e-01,2.720667719841003418e-01,3.138247728347778320e-01,4.968217313289642334e-01,-2.716854095458984375e+00
2.048043161630630493e-01,1.541024744510650635e-01,4.804979562759399414e-01,2.769869565963745117e-01,3.100573718547821045e-01,7.738049626350402832e-01,-2.990315437316894531e+00
2.022771835327148438e-01,1.503839939832687378e-01,4.766418933868408203e-01,2.756784260272979736e-01,3.114274442195892334e-01,6.758325099945068359e-01,-3.313494682312011719e+00
1.989662945270538330e-01,1.491249650716781616e-01,4.798797965049743652e-01,2.737788856029510498e-01,3.127328455448150635e-01,5.754217505455017090e-01,-3.153004407882690430e+00
1.996916681528091431e-01,1.492927521467208862e-01,4.788484573364257812e-01,2.742130160331726074e-01,3.124408423900604248e-01,5.965884923934936523e-01,-3.228191137313842773e+00
1.956589072942733765e-01,1.491489410400390625e-01,4.853919148445129395e-01,2.717183828353881836e-01,3.140800595283508301e-01,4.806674718856811523e-01,-2.603591918945312500e+00
1.942935287952423096e-01,1.494650840759277344e-01,4.879610538482666016e-01,2.707889974117279053e-01,3.146763145923614502e-01,4.410866796970367432e-01,-2.305493831634521484e+00
2.046089917421340942e-01,1.534987539052963257e-01,4.795428812503814697e-01,2.768608331680297852e-01,3.102161288261413574e-01,7.636610865592956543e-01,-3.043087244033813477e+00
1.977113932371139526e-01,1.489985734224319458e-01,4.818167388439178467e-01,2.729966938495635986e-01,3.132472932338714600e-01,5.391907691955566406e-01,-2.979472398757934570e+00
2.000812739133834839e-01,1.493694037199020386e-01,4.784005880355834961e-01,2.744282782077789307e-01,3.122940063476562500e-01,6.079484224319458008e-01,-3.259847640991210938e+00
1.982980221509933472e-01,1.490543484687805176e-01,4.809172153472900391e-01,2.733732461929321289e-01,3.130097091197967529e-01,5.555586218833923340e-01,-3.064440727233886719e+00
2.038815915584564209e-01,1.521011590957641602e-01,4.775688648223876953e-01,2.765232026576995850e-01,3.106296360492706299e-01,7.338312864303588867e-01,-3.174526453018188477e+00
2.036183923482894897e-01,1.517266780138015747e-01,4.771628379821777344e-01,2.763693034648895264e-01,3.107717931270599365e-01,7.238327264785766602e-01,-3.209972143173217773e+00
1.951630562543869019e-01,1.492397934198379517e-01,4.863067865371704102e-01,2.713739871978759766e-01,3.142899572849273682e-01,4.664049446582794189e-01,-2.499024868011474609e+00
2.019086778163909912e-01,1.501401215791702271e-01,4.767315089702606201e-01,2.754465639591217041e-01,3.115625679492950439e-01,6.639245152473449707e-01,-3.321232795715332031e+00
2.010743468999862671e-01,1.496963202953338623e-01,4.773196876049041748e-01,2.750298678874969482e-01,3.118981719017028809e-01,6.383849978446960449e-01,-3.313115358352661133e+00
