evaluation,mape
2.000000000000000000e+00,9.885690778754927521e-01
1.000000000000000000e+01,9.934858182443500052e-01
2.000000000000000000e+01,9.911943407941770090e-01
3.000000000000000000e+01,9.918779608809532577e-01
4.000000000000000000e+01,9.930905466073118859e-01
5.000000000000000000e+01,9.944445237215445710e-01
6.000000000000000000e+01,9.944926352985343776e-01
7.000000000000000000e+01,9.940395211284619448e-01
8.000000000000000000e+01,9.936430381742858975e-01
9.000000000000000000e+01,9.930638584047329909e-01
1.000000000000000000e+02,9.926230012840897565e-01
