controllable,controllable,controllable,controllable,controllable,environmental,output
9.063991906951289756e-01,6.352857194040300026e-01,2.890231798296709620e-01,1.413558590095597145e-01,3.851283479286758960e-01,1.279338766380100356e-02,1.202531084499031643e-02
2.165732055284095057e-17,9.778768728563057885e-18,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.116300467401742935e-02,1.174952049041166902e-04
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.247787710304865360e-17,2.275728217035681529e-17,5.539787933230400085e-02,3.946782380808144808e-04
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.311320773089878744e-16,3.147913515567779541e-02,2.885261178016662598e-02
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.704242736101150513e-02,1.709983043838292360e-04
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.229440659284591675e-02,2.243943308712914586e-04
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.921857103705406189e-02,2.670160867273807526e-02
1.059574371906730431e-15,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.386048652231693268e-03,2.639324590563774109e-02
9.864163398742675781e-01,1.000000000000000000e+00,9.767706990242004395e-01,1.104030758142471313e-01,5.670194191224344447e-16,0.000000000000000000e+00,1.131084747612476349e-03
0.000000000000000000e+00,9.444143176078796387e-01,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.063022345304489136e-02
0.000000000000000000e+00,9.332197904586791992e-01,8.246142417192459106e-02,2.591386437416076660e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.961937993764877319e-02
0.000000000000000000e+00,8.763244748115539551e-01,3.827528436339475149e-15,9.728790039201240525e-15,8.190252734577448644e-16,0.000000000000000000e+00,7.725654169917106628e-03
2.556817833010427421e-07,9.291157126426696777e-01,2.871731204406471709e-17,0.000000000000000000e+00,3.981696907430887222e-03,0.000000000000000000e+00,7.431714329868555069e-03
2.812733650207519531e-01,1.000000000000000000e+00,7.233572960487855228e-16,1.000000000000000000e+00,0.000000000000000000e+00,2.419750206172466278e-02,3.464857041835784912e-01
1.000000000000000000e+00,4.918149221211365330e-12,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.042001463472843170e-02,2.233972963949781843e-06
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.446096390485763550e-02,1.004231278784573078e-03
2.242650509742816212e-14,9.142686607788164110e-14,1.000000000000000000e+00,1.535438443056591495e-13,1.000000000000000000e+00,5.304185673594474792e-02,2.648307243362069130e-03
1.000000000000000000e+00,2.169708857024943427e-12,1.000000000000000000e+00,8.794687200719408793e-12,1.000000000000000000e+00,7.503634691238403320e-02,4.197801445116056129e-06
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.837385028600692749e-02,2.432181463518645614e-05
1.000000000000000000e+00,1.235123114895486651e-14,1.000000000000000000e+00,1.298960938811433152e-14,1.000000000000000000e+00,1.241058297455310822e-02,2.576811084509245120e-06
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.346019853372126818e-04
7.508854649174168117e-13,6.445788347519965100e-12,9.654499422140361276e-13,1.520200632043611222e-12,1.380215386426186797e-12,0.000000000000000000e+00,5.089113954454660416e-03
3.522343365416257194e-16,4.541872441768646240e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.760269869118928909e-03
1.000000000000000000e+00,4.153584539890289307e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.956789388321340084e-04
3.011657546611590242e-12,5.948957800865173340e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.834532991051673889e-02,1.530684437602758408e-02
1.000000000000000000e+00,3.845948576927185059e-01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.764716434990987182e-04
0.000000000000000000e+00,5.878149867057800293e-01,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.545114167034626007e-03
3.138159870852419431e-12,3.394659161567687988e-01,1.000000000000000000e+00,1.886750738283593520e-12,1.000000000000000000e+00,0.000000000000000000e+00,2.257154090330004692e-03
1.000000000000000000e+00,6.586696505546569824e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,7.367751677520573139e-04
1.000000000000000000e+00,3.120599687099456787e-01,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.132742368616163731e-05
1.000000000000000000e+00,6.789401769638061523e-01,1.000000000000000000e+00,1.000000000000000000e+00,5.541912068141030545e-11,8.134207688271999359e-03,8.975064847618341446e-04
5.556280695956372639e-12,2.906141877174377441e-01,1.000000000000000000e+00,5.375545928526515027e-12,1.609670903512938622e-11,6.712875794619321823e-03,4.274357575923204422e-03
0.000000000000000000e+00,6.849180459976196289e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.452442146837711334e-03,4.807323683053255081e-03
1.000000000000000000e+00,2.635451257228851318e-01,2.256166087288846711e-11,3.996040304210524141e-11,8.091784881036900856e-11,2.457500621676445007e-02,1.361546572297811508e-03
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.302424423396587372e-02,2.359966892981901765e-04
1.000000000000000000e+00,1.000000000000000000e+00,1.133260152386128539e-12,1.000000000000000000e+00,1.000000000000000000e+00,2.521025016903877258e-02,1.004511024802923203e-03
1.000000000000000000e+00,7.939880974916491141e-10,7.667588786119949873e-12,2.471434168427322220e-11,7.380773769938286932e-11,6.856969743967056274e-02,2.034392673522233963e-03
2.863228321103861163e-09,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.167510226368904114e-01,2.449711412191390991e-02
1.438943408871296015e-11,1.238853464258227177e-11,2.104982854689296801e-13,1.000000000000000000e+00,1.000000000000000000e+00,1.230763047933578491e-01,7.307641499210149050e-05
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.617622702454468708e-12,2.530753384633044334e-13,1.400244832038879395e-01,4.167119041085243225e-04
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.742848753929138184e-01,5.506696834345348179e-05
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.518509089946746826e-01,9.134808788076043129e-04
1.527282467161938939e-10,1.331317278641108715e-10,1.000000000000000000e+00,8.977726895231796789e-11,7.419499736815993174e-11,1.987618058919906616e-01,2.082935534417629242e-02
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.958884596824645996e-01,4.260378889739513397e-03
1.594987475428411017e-10,1.811589989131334733e-09,1.744177857698758771e-10,2.376678298610102047e-10,1.000000000000000000e+00,2.350946068763732910e-01,1.444858033210039139e-03
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.384338421672737240e-08,2.461521625518798828e-01,1.579856313765048981e-02
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,2.260343283414840698e-01,1.713003825898340438e-06
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,9.300985537308292805e-10,1.000000000000000000e+00,2.303276807069778442e-01,1.422977511538192630e-04
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.456738501787185669e-01,6.594749283976852894e-04
1.000000000000000000e+00,1.000000000000000000e+00,1.806099714229958408e-11,1.000000000000000000e+00,5.191703178475393088e-10,2.916162312030792236e-01,4.566097049973905087e-04
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.309476077556610107e-01,2.147109989891760051e-05
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.465754389762878418e-01,6.796574220061302185e-03
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.597801625728607178e-01,1.223549828864634037e-03
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.845591247081756592e-01,1.465768320485949516e-03
1.000000000000000000e+00,4.431371269930650669e-09,1.157750006974822554e-10,7.177007321779171889e-10,1.000000000000000000e+00,3.745582401752471924e-01,2.503647374396678060e-05
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.233402907848358154e-01,3.540305478964000940e-04
1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.672853648662567139e-01,2.415396505966782570e-03
0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.111339092254638672e-01,3.697021864354610443e-03
5.044056283765030457e-09,2.340244087406517792e-08,7.039255844887293279e-10,3.519749824931750481e-09,1.000000000000000000e+00,5.543759465217590332e-01,3.936063032597303391e-03
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.978395342826843262e-01,1.407401543110609055e-02
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,5.608037114143371582e-01,2.521852911741007119e-05
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.420476794242858887e-01,1.070433631539344788e-01
1.000000000000000000e+00,4.799917796560748684e-09,1.000000000000000000e+00,2.197664716874214719e-09,4.250338303535272644e-09,5.247370600700378418e-01,2.314991503953933716e-02
1.110911629353950048e-08,1.005862593217443646e-08,4.079116155963902202e-09,1.000000000000000000e+00,1.000000000000000000e+00,5.219968557357788086e-01,1.246348547283560038e-04
