controllable,controllable,controllable,controllable,controllable,environmental,output
1.922512352466583252e-01,1.505673676729202271e-01,4.922134876251220703e-01,2.692450582981109619e-01,3.157299757003784180e-01,3.759464323520660400e-01,-1.789430737495422363e+00
2.052034139633178711e-01,1.556470990180969238e-01,4.833536148071289062e-01,2.771909534931182861e-01,3.096951246261596680e-01,7.956586480140686035e-01,-2.864383459091186523e+00
1.990135312080383301e-01,1.491253226995468140e-01,4.798465669155120850e-01,2.737917006015777588e-01,3.127252459526062012e-01,5.761716365814208984e-01,-3.156015872955322266e+00
4.010273516178131104e-01,8.598704338073730469e-01,5.388651490211486816e-01,5.550655126571655273e-01,2.967932522296905518e-01,3.035432398319244385e-01,-1.261211395263671875e+00
2.001139223575592041e-01,1.493671089410781860e-01,4.783858358860015869e-01,2.744418680667877197e-01,3.122889697551727295e-01,6.079136729240417480e-01,-3.259760379791259766e+00
2.036636024713516235e-01,1.517631560564041138e-01,4.772062301635742188e-01,2.763964533805847168e-01,3.107596337795257568e-01,7.248583436012268066e-01,-3.206546068191528320e+00
2.010988593101501465e-01,1.496961116790771484e-01,4.772948026657104492e-01,2.749821543693542480e-01,3.118973970413208008e-01,6.386292576789855957e-01,-3.313352346420288086e+00
2.046120911836624146e-01,1.535883396863937378e-01,4.796283841133117676e-01,2.768866717815399170e-01,3.101888597011566162e-01,7.649945616722106934e-01,-3.036370754241943359e+00
1.916614323854446411e-01,1.512624621391296387e-01,4.937247335910797119e-01,2.686964273452758789e-01,3.161171972751617432e-01,3.520425856113433838e-01,-1.603749394416809082e+00
1.910645514726638794e-01,1.522332131862640381e-01,4.954541027545928955e-01,2.681916058063507080e-01,3.165902197360992432e-01,3.266320228576660156e-01,-1.413659334182739258e+00
1.938329637050628662e-01,1.496516913175582886e-01,4.889329671859741211e-01,2.703847587108612061e-01,3.149090409278869629e-01,4.254828989505767822e-01,-2.182838439941406250e+00
4.045842587947845459e-01,8.818724155426025391e-01,8.070043325424194336e-01,5.734888315200805664e-01,1.720803529024124146e-01,1.070199385285377502e-01,-3.001020431518554688e+00
1.978051066398620605e-01,1.490631103515625000e-01,4.816998541355133057e-01,2.731491625308990479e-01,3.132073581218719482e-01,5.415872335433959961e-01,-2.992547988891601562e+00
2.029488384723663330e-01,1.509536802768707275e-01,4.766473770141601562e-01,2.760206460952758789e-01,3.110963702201843262e-01,6.995198130607604980e-01,-3.276604652404785156e+00
2.055822461843490601e-01,1.577957868576049805e-01,4.876902401447296143e-01,2.773796916007995605e-01,3.092716634273529053e-01,8.183870315551757812e-01,-2.718093156814575195e+00
4.043882787227630615e-01,8.806794881820678711e-01,7.415058016777038574e-01,5.724655389785766602e-01,2.114921957254409790e-01,1.556327939033508301e-01,-2.649795532226562500e+00
4.046160280704498291e-01,8.821480274200439453e-01,8.261572718620300293e-01,5.737458467483520508e-01,1.568580120801925659e-01,8.262605965137481689e-02,-3.117607593536376953e+00
2.019212692975997925e-01,1.501480489969253540e-01,4.767484962940216064e-01,2.754591107368469238e-01,3.115540146827697754e-01,6.646986007690429688e-01,-3.320951938629150391e+00
4.026542007923126221e-01,8.701860904693603516e-01,5.746211409568786621e-01,5.635889768600463867e-01,2.848292887210845947e-01,2.661961317062377930e-01,-1.591618418693542480e+00
4.033359587192535400e-01,8.744361400604248047e-01,6.061713099479675293e-01,5.671538710594177246e-01,2.727281749248504639e-01,2.393815070390701294e-01,-1.849995255470275879e+00
1.963557302951812744e-01,1.490598022937774658e-01,4.842761456966400146e-01,2.721862196922302246e-01,3.137865662574768066e-01,4.993283450603485107e-01,-2.733863830566406250e+00
4.040848910808563232e-01,8.787928819656372070e-01,6.759881973266601562e-01,5.708523988723754883e-01,2.425110489130020142e-01,1.921864598989486694e-01,-2.315012216567993164e+00
4.038242995738983154e-01,8.772924542427062988e-01,6.441466808319091797e-01,5.696170330047607422e-01,2.565972506999969482e-01,2.119694799184799194e-01,-2.121323585510253906e+00
1.956412792205810547e-01,1.491498202085494995e-01,4.854245781898498535e-01,2.716946601867675781e-01,3.140845894813537598e-01,4.797647893428802490e-01,-2.597090959548950195e+00
1.949215233325958252e-01,1.493058949708938599e-01,4.865954220294952393e-01,2.712362706661224365e-01,3.143299520015716553e-01,4.618494212627410889e-01,-2.464864492416381836e+00
