evaluation,mape
2.000000000000000000e+00,9.003847125410957553e-01
1.000000000000000000e+01,6.925402520663338501e-01
2.000000000000000000e+01,5.691951501998672169e-01
3.000000000000000000e+01,2.092311553471225272e-01
4.000000000000000000e+01,4.973948712387683824e-02
5.000000000000000000e+01,3.380232931113619221e-02
6.000000000000000000e+01,4.505008459812057109e-02
7.000000000000000000e+01,1.885175750696582372e-02
8.000000000000000000e+01,1.786480342767535548e-02
9.000000000000000000e+01,1.892988977937941700e-02
1.000000000000000000e+02,1.973812300121997876e-02
