controllable,controllable,controllable,environmental,controllable,environmental,output
1.176942094548799611e-01,6.530161293459604277e-01,6.059553005186221197e-01,1.872161768016393779e-01,7.509644766930821946e-01,3.865413819944635287e-01,3.424053416149975826e-01
9.705132246017456055e-01,3.189524114131927490e-01,9.661613106727600098e-01,2.282197028398513794e-01,2.258552610874176025e-02,4.185437262058258057e-01,4.967668280005455017e-02
1.491878330707550049e-01,7.194069027900695801e-01,7.861967682838439941e-01,2.114897072315216064e-01,8.017170429229736328e-01,4.173943400382995605e-01,1.481664925813674927e-01
4.852972030639648438e-01,1.915925294160842896e-01,6.084706187248229980e-01,2.990460693836212158e-01,3.943571150302886963e-01,4.126423001289367676e-01,1.275890946388244629e+00
9.069804800674319267e-04,5.531907081604003906e-03,5.551115123125782702e-17,2.157256603240966797e-01,3.057555556297302246e-01,4.022795557975769043e-01,1.053539752960205078e+00
0.000000000000000000e+00,1.000000000000000000e+00,9.764858396161223142e-16,1.443437486886978149e-01,4.388799071311950684e-01,3.938196301460266113e-01,5.781945958733558655e-02
3.242948353290557861e-01,1.067532226443290710e-01,3.681433796882629395e-01,1.063597574830055237e-01,4.383734464645385742e-01,3.688268959522247314e-01,9.548022747039794922e-01
8.435434699058532715e-01,2.562370002269744873e-01,8.173642754554748535e-01,1.302576959133148193e-01,3.387214243412017822e-01,4.158388078212738037e-01,3.101455867290496826e-01
6.126530468463897705e-03,2.446992993354797363e-01,1.000000000000000000e+00,1.457518786191940308e-01,1.251454783621276418e-17,4.268851578235626221e-01,1.422692239284515381e-01
1.599003970623016357e-01,8.083979785442352295e-02,5.647628307342529297e-01,8.298755437135696411e-02,3.734210431575775146e-01,3.966620862483978271e-01,1.415026903152465820e+00
5.034737368699959519e-16,1.024586185812950134e-01,2.928604834603167680e-17,1.035737842321395874e-01,3.851881027221679688e-01,3.928830921649932861e-01,7.227372527122497559e-01
1.000000000000000000e+00,6.693030707538127899e-03,5.785359144210815430e-01,4.279575869441032410e-02,1.000000000000000000e+00,4.324882626533508301e-01,4.206105368211865425e-04
2.822248637676239014e-01,8.203329890966415405e-02,5.292408466339111328e-01,1.175653263926506042e-01,3.515951931476593018e-01,4.186611175537109375e-01,1.633209586143493652e+00
2.922663390636444092e-01,2.119465358555316925e-02,6.714259386062622070e-01,5.592469125986099243e-02,3.219481706619262695e-01,3.824704885482788086e-01,9.896535277366638184e-01
3.207436169438462588e-17,0.000000000000000000e+00,4.440988004207611084e-01,1.529464125633239746e-01,2.361061573028564453e-01,4.294621646404266357e-01,1.409470319747924805e+00
1.000000000000000000e+00,3.271619677543640137e-01,4.902158677577972412e-01,1.678574532270431519e-01,3.032897114753723145e-01,3.933871984481811523e-01,2.148732393980026245e-01
2.163754105567932129e-01,0.000000000000000000e+00,4.339720904827117920e-01,1.863854378461837769e-01,3.743431866168975830e-01,4.197076261043548584e-01,1.744783043861389160e+00
2.728284299373626709e-01,1.985575261156373331e-17,2.708781361579895020e-01,2.845858633518218994e-01,0.000000000000000000e+00,4.271074533462524414e-01,3.966216742992401123e-01
1.505254209041595459e-01,0.000000000000000000e+00,4.329159855842590332e-01,2.557819485664367676e-01,3.854161500930786133e-01,4.766740202903747559e-01,2.170368909835815430e+00
4.399490728974342346e-02,1.855162377883967650e-11,5.985115766525268555e-01,2.334920167922973633e-01,4.290877580642700195e-01,4.534067511558532715e-01,1.634049534797668457e+00
2.129049599170684814e-01,5.881364798930761861e-16,3.647427260875701904e-01,2.923715710639953613e-01,3.460855782032012939e-01,4.678499698638916016e-01,2.188623189926147461e+00
1.716331541538238525e-01,2.670227587223052979e-01,3.761924505233764648e-01,2.202227711677551270e-01,3.535174727439880371e-01,4.595222175121307373e-01,2.121825933456420898e+00
1.910348385572433472e-01,8.246285468339920044e-02,3.674100339412689209e-01,1.668979972600936890e-01,3.525668084621429443e-01,4.915100336074829102e-01,2.216294527053833008e+00
3.156629502773284912e-01,1.569492183625698090e-02,3.515897691249847412e-01,2.639955282211303711e-01,3.879823982715606689e-01,5.066283941268920898e-01,2.182532310485839844e+00
1.060540750622749329e-01,2.706925889830999113e-17,2.374674677848815918e-01,1.750237047672271729e-01,3.830272853374481201e-01,5.315374732017517090e-01,1.883958220481872559e+00
3.161993324756622314e-01,3.190340995788574219e-01,5.047848820686340332e-01,2.348384410142898560e-01,3.550255298614501953e-01,5.575940012931823730e-01,2.528573513031005859e+00
2.029248774051666260e-01,3.545852601528167725e-01,4.797621667385101318e-01,3.186618089675903320e-01,3.371467292308807373e-01,5.159626603126525879e-01,2.394970655441284180e+00
3.069964051246643066e-01,9.372574687004089355e-01,5.416042208671569824e-01,2.322909235954284668e-01,3.825521767139434814e-01,5.212064981460571289e-01,3.328977823257446289e-01
2.323535382747650146e-01,2.001248002052307129e-01,4.771338105201721191e-01,2.636948525905609131e-01,3.472545146942138672e-01,5.516298413276672363e-01,2.949933528900146484e+00
1.942980438470840454e-01,1.697046160697937012e-01,4.969291388988494873e-01,2.903572618961334229e-01,3.370478153228759766e-01,5.633326172828674316e-01,3.059847593307495117e+00
2.129277400672435760e-02,2.078740894794464111e-01,5.516463518142700195e-01,2.415321022272109985e-01,3.380869328975677490e-01,5.427801012992858887e-01,2.541555643081665039e+00
1.302966624498367310e-01,3.495097160339355469e-01,8.914058804512023926e-01,1.977979540824890137e-01,4.264549911022186279e-01,5.472722053527832031e-01,1.097755074501037598e+00
2.419716566801071167e-01,4.340098202228546143e-01,1.764397323131561279e-01,1.889084577560424805e-01,2.041714042425155640e-01,5.333274602890014648e-01,1.441867351531982422e+00
7.178780436515808105e-01,9.527215361595153809e-01,1.946180760860443115e-01,9.399017691612243652e-02,9.942058920860290527e-01,4.906564950942993164e-01,3.466253168880939484e-03
4.059748053550720215e-01,1.379864066839218140e-01,3.978876397013664246e-02,8.798771351575851440e-02,9.029132723808288574e-01,4.507938623428344727e-01,6.905052810907363892e-03
2.344541102647781372e-01,9.684937596321105957e-01,2.879371643066406250e-01,2.250273525714874268e-02,1.941145956516265869e-02,4.806388318538665771e-01,4.332588985562324524e-02
7.889106869697570801e-01,6.427285075187683105e-01,6.589458137750625610e-02,0.000000000000000000e+00,5.029323697090148926e-01,5.267084836959838867e-01,8.397405594587326050e-02
9.427294135093688965e-01,3.262387216091156006e-02,4.928076267242431641e-02,2.912867069244384766e-02,2.416021078824996948e-01,5.419393181800842285e-01,2.309298664331436157e-01
9.983957409858703613e-01,8.529310226440429688e-01,9.972494244575500488e-01,3.795631229877471924e-03,4.300228953361511230e-01,4.992623925209045410e-01,1.352163311094045639e-02
9.511283636093139648e-01,8.050915598869323730e-02,9.558120965957641602e-01,0.000000000000000000e+00,6.368767023086547852e-01,5.083020925521850586e-01,1.979076862335205078e-02
7.745600938796997070e-01,5.271827578544616699e-01,9.824595451354980469e-01,0.000000000000000000e+00,9.988682866096496582e-01,4.925101399421691895e-01,7.231693598441779613e-04
1.114438548684120178e-01,3.015025705099105835e-02,8.608874678611755371e-01,9.815362095832824707e-02,8.057829737663269043e-01,4.476065039634704590e-01,1.740907132625579834e-01
9.586007595062255859e-01,8.642055988311767578e-01,4.265972971916198730e-01,1.757883280515670776e-01,1.652174592018127441e-01,4.483063519001007080e-01,4.445518180727958679e-02
2.797983288764953613e-01,5.612407326698303223e-01,6.150975227355957031e-01,1.073194220662117004e-01,1.257435828447341919e-01,4.836580753326416016e-01,6.659824252128601074e-01
4.638105630874633789e-01,1.132749095559120178e-01,4.598877727985382080e-01,1.932798177003860474e-01,2.247660160064697266e-01,5.225841403007507324e-01,1.876569628715515137e+00
4.504885524511337280e-03,7.053148150444030762e-01,3.944355249404907227e-01,2.565278708934783936e-01,9.775847196578979492e-01,4.878957271575927734e-01,1.691728830337524414e-01
1.631919853389263153e-02,3.325983285903930664e-01,6.617287993431091309e-01,2.756430804729461670e-01,2.458742111921310425e-01,5.295304059982299805e-01,1.902269601821899414e+00
4.707212792709469795e-04,2.499249875545501709e-01,1.722383350133895874e-01,2.563755214214324951e-01,4.408587217330932617e-01,5.264393091201782227e-01,1.476228952407836914e+00
5.913845896720886230e-01,9.980560541152954102e-01,1.995508745312690735e-02,2.169691622257232666e-01,7.434299588203430176e-01,5.132091045379638672e-01,2.151657640933990479e-02
4.328698515892028809e-01,7.348935306072235107e-02,6.723549962043762207e-01,1.630384325981140137e-01,3.003035485744476318e-01,5.562752485275268555e-01,1.900211453437805176e+00
1.171407178044319153e-01,1.171360462903976440e-01,4.767104387283325195e-01,2.198658436536788940e-01,1.970104426145553589e-01,5.306040048599243164e-01,2.275498628616333008e+00
7.152657508850097656e-01,8.495735935866832733e-03,3.560186177492141724e-02,1.767320483922958374e-01,6.795518398284912109e-01,5.044110417366027832e-01,7.840877026319503784e-02
1.849103271961212158e-01,2.449077926576137543e-02,9.646393060684204102e-01,2.587191760540008545e-01,2.445915192365646362e-01,4.845834672451019287e-01,1.101262688636779785e+00
9.861744046211242676e-01,9.906030893325805664e-01,7.917319536209106445e-01,3.084855973720550537e-01,6.925872564315795898e-01,4.422800838947296143e-01,2.191061386838555336e-03
2.746973559260368347e-02,8.645665049552917480e-01,8.883114457130432129e-01,2.612823843955993652e-01,9.725967049598693848e-02,4.208005964756011963e-01,1.018826514482498169e-01
