controllable,controllable,controllable,environmental,controllable,environmental,output
2.009209394454956055e-01,1.547785699367523193e-01,4.882115125656127930e-01,5.997558236122131348e-01,3.112392723560333252e-01,6.571838855743408203e-01,-1.268525362014770508e+00
2.017782628536224365e-01,1.500677019357681274e-01,4.763215184211730957e-01,5.447224974632263184e-01,3.117393851280212402e-01,5.745229721069335938e-01,-1.616847753524780273e+00
2.040152400732040405e-01,3.899798989295959473e-01,8.100939393043518066e-01,7.986369729042053223e-01,1.744438856840133667e-01,7.181907296180725098e-01,-4.745315909385681152e-01
2.133336514234542847e-01,4.130511283874511719e-01,8.301306962966918945e-01,9.888529181480407715e-01,1.021999791264533997e-01,9.023897051811218262e-01,-1.018723845481872559e+00
2.084841579198837280e-01,1.641791760921478271e-01,4.985781311988830566e-01,4.659439027309417725e-01,3.074659109115600586e-01,8.218112587928771973e-01,-1.948776125907897949e+00
2.091495245695114136e-01,1.608710587024688721e-01,4.896453022956848145e-01,4.184066057205200195e-01,3.078069984912872314e-01,8.276768922805786133e-01,-2.215446710586547852e+00
2.005088031291961670e-01,3.948140740394592285e-01,8.128052949905395508e-01,8.389418721199035645e-01,1.628979295492172241e-01,6.912666559219360352e-01,-3.673599660396575928e-01
2.007444053888320923e-01,3.925431668758392334e-01,8.037080764770507812e-01,9.050007462501525879e-01,1.720517724752426147e-01,6.045593619346618652e-01,-1.614095866680145264e-01
2.047961950302124023e-01,4.044338166713714600e-01,8.229319453239440918e-01,8.145216703414916992e-01,1.348302364349365234e-01,7.859963774681091309e-01,-6.798130869865417480e-01
2.085426151752471924e-01,1.690932512283325195e-01,5.099965333938598633e-01,3.567445278167724609e-01,3.066753149032592773e-01,8.748752474784851074e-01,-2.182840824127197266e+00
2.124311774969100952e-01,4.068307876586914062e-01,8.256282210350036621e-01,7.633340358734130859e-01,1.270076185464859009e-01,8.864501118659973145e-01,-1.056500673294067383e+00
2.048401832580566406e-01,4.123826622962951660e-01,8.293933868408203125e-01,9.507312178611755371e-01,1.049318313598632812e-01,8.404837250709533691e-01,-8.262564539909362793e-01
2.048455774784088135e-01,3.548745214939117432e-01,7.784647941589355469e-01,7.427564263343811035e-01,2.294411808252334595e-01,7.081521749496459961e-01,-5.338492393493652344e-01
1.989502459764480591e-01,3.902505636215209961e-01,8.036167025566101074e-01,8.842586278915405273e-01,1.758190244436264038e-01,6.224972605705261230e-01,-1.977147012948989868e-01
2.016147524118423462e-01,3.656087815761566162e-01,7.858133316040039062e-01,7.886744141578674316e-01,2.168426811695098877e-01,6.770240664482116699e-01,-3.865438997745513916e-01
2.095958590507507324e-01,3.449170589447021484e-01,7.727223038673400879e-01,6.776826381683349609e-01,2.391455024480819702e-01,7.563613057136535645e-01,-8.071329593658447266e-01
1.976504921913146973e-01,3.988015651702880859e-01,8.139178156852722168e-01,8.911690115928649902e-01,1.527865678071975708e-01,6.488946080207824707e-01,-2.418071329593658447e-01
2.157145589590072632e-01,4.001555442810058594e-01,8.212726116180419922e-01,6.919806599617004395e-01,1.488493531942367554e-01,8.927873373031616211e-01,-1.142967820167541504e+00
