controllable,controllable,controllable,environmental,controllable,environmental,output
2.414964693634579218e-01,8.961487629272238964e-01,5.188421164045694534e-01,2.332715660900597232e-02,4.626275669911361632e-01,6.422269925597116069e-01,2.681774668297608466e-01
9.818848371505737305e-01,4.547509551048278809e-02,9.418634176254272461e-01,0.000000000000000000e+00,5.863938927650451660e-01,6.709461808204650879e-01,4.208138212561607361e-02
3.095441460609436035e-01,8.565818071365356445e-01,3.634823262691497803e-01,0.000000000000000000e+00,5.697951912879943848e-01,6.464899182319641113e-01,1.478325128555297852e-01
6.353124976158142090e-01,1.593506038188934326e-01,2.489106208086013794e-01,0.000000000000000000e+00,1.283789873123168945e-01,6.503453850746154785e-01,4.733016788959503174e-01
1.072269584983587265e-02,9.503343701362609863e-01,2.610885770991444588e-03,0.000000000000000000e+00,2.003117091953754425e-02,6.947633624076843262e-01,2.387830615043640137e-02
5.533477067947387695e-01,8.543357849121093750e-01,5.764716863632202148e-01,0.000000000000000000e+00,9.352636337280273438e-01,7.155926227569580078e-01,3.565212339162826538e-02
2.441239655017852783e-01,9.576212763786315918e-01,1.163881197571754456e-01,0.000000000000000000e+00,9.093958139419555664e-01,6.808533072471618652e-01,5.097743123769760132e-03
8.521839976310729980e-01,1.346578299999237061e-01,7.313303947448730469e-01,1.536555215716362000e-02,6.067059934139251709e-02,6.488438248634338379e-01,2.100767940282821655e-01
3.849045336246490479e-01,2.012714929878711700e-02,1.541477590799331665e-01,0.000000000000000000e+00,1.776310801506042480e-02,6.172553300857543945e-01,2.721515595912933350e-01
9.411701560020446777e-01,7.263655066490173340e-01,2.393977493047714233e-01,0.000000000000000000e+00,1.426450069993734360e-02,6.439364552497863770e-01,2.105353772640228271e-02
5.246325731277465820e-01,1.648830920457839966e-01,6.630666851997375488e-01,0.000000000000000000e+00,5.418083667755126953e-01,6.684569120407104492e-01,4.938527047634124756e-01
1.000000000000000000e+00,1.682704240083694458e-01,4.069291862397468162e-16,0.000000000000000000e+00,4.023197652896869222e-16,6.830956935882568359e-01,3.752348572015762329e-02
5.338896512985229492e-01,1.589224934577941895e-01,3.548908233642578125e-01,9.289447218179702759e-02,8.940488100051879883e-02,6.585804820060729980e-01,7.506518959999084473e-01
2.860177122056484222e-02,3.188148438930511475e-01,2.812744677066802979e-01,0.000000000000000000e+00,2.489367425441741943e-01,6.108168363571166992e-01,1.081491231918334961e+00
0.000000000000000000e+00,3.976512253284454346e-01,1.000000000000000000e+00,9.445350617170333862e-03,4.734939586139956524e-16,5.881571173667907715e-01,1.608788222074508667e-01
0.000000000000000000e+00,2.940950095653533936e-01,3.757641911506652832e-01,3.046163916587829590e-02,2.791609242558479309e-02,5.795482993125915527e-01,4.670946300029754639e-01
5.973635986447334290e-02,3.104588687419891357e-01,1.041677445173263550e-01,0.000000000000000000e+00,7.848429679870605469e-01,5.336958765983581543e-01,4.361576586961746216e-02
7.950940728187561035e-01,3.826119899749755859e-01,3.159113824367523193e-01,8.805423229932785034e-02,3.144752979278564453e-02,5.753984451293945312e-01,1.714468002319335938e-01
1.776758395135402679e-02,1.096894890069961548e-01,5.400615334510803223e-01,1.199360936880111694e-01,5.289011076092720032e-02,5.497577190399169922e-01,8.649421334266662598e-01
0.000000000000000000e+00,1.217330172657966614e-01,0.000000000000000000e+00,6.449214369058609009e-02,2.627413570880889893e-01,5.289948582649230957e-01,1.044905781745910645e+00
0.000000000000000000e+00,3.035457432270050049e-01,3.053068583791653618e-16,5.230094492435455322e-02,2.815292179584503174e-01,5.290554165840148926e-01,9.260296821594238281e-01
5.031794682145118713e-02,3.008633235378693023e-16,4.844316542148590088e-01,1.148987337946891785e-01,1.662856191396713257e-01,5.386931896209716797e-01,1.503118634223937988e+00
1.260383576154708862e-01,5.360493063926696777e-02,7.474662661552429199e-01,4.551528021693229675e-02,8.941271156072616577e-02,5.859162211418151855e-01,7.476360797882080078e-01
1.482738256454467773e-01,3.164231777191162109e-02,7.444528341293334961e-01,7.421247195452451706e-03,9.530041217803955078e-01,5.881217718124389648e-01,5.051342844963073730e-01
3.612943738698959351e-02,8.795779347419738770e-01,7.056436538696289062e-01,8.144202828407287598e-02,2.166153639554977417e-01,5.910026431083679199e-01,2.597711384296417236e-01
3.164135620181696140e-15,5.360593590486649029e-16,1.549453437328338623e-01,1.765294224023818970e-01,9.737082719802856445e-01,6.187171936035156250e-01,4.412437602877616882e-02
6.911013285052761048e-16,0.000000000000000000e+00,2.490474432706832886e-01,1.465712338685989380e-01,1.744596809148788452e-01,5.956560373306274414e-01,1.438567161560058594e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.717066287994384766e-01,2.366620302200317383e-01,1.562797427177429199e-01,6.103227734565734863e-01,8.383231759071350098e-01
5.551851987838745117e-01,2.790017472763706326e-16,9.882638454437255859e-01,1.764418333768844604e-01,2.116119265556335449e-01,6.259866356849670410e-01,7.958331108093261719e-01
1.124132946133613586e-01,3.534748256206512451e-01,5.873373895883560181e-02,1.841465979814529419e-01,1.515758186578750610e-01,6.523442864418029785e-01,1.285504460334777832e+00
1.145466193556785583e-01,9.963113069534301758e-02,3.692622780799865723e-01,2.267702221870422363e-01,2.050778567790985107e-01,6.454802751541137695e-01,2.544899463653564453e+00
2.183837629854679108e-02,0.000000000000000000e+00,3.790400624275207520e-01,2.326512485742568970e-01,2.889144122600555420e-01,6.320885419845581055e-01,2.566836357116699219e+00
1.537184417247772217e-01,1.154100056737661362e-02,3.536222875118255615e-01,2.722446918487548828e-01,2.432434856891632080e-01,6.731268763542175293e-01,2.774989843368530273e+00
2.359378345405209048e-17,1.665540188550949097e-01,3.166192471981048584e-01,3.491088151931762695e-01,2.451222240924835205e-01,6.478266119956970215e-01,2.409621477127075195e+00
8.890319466590881348e-01,4.369131731907037854e-16,3.511108160018920898e-01,3.148170113563537598e-01,2.493443787097930908e-01,6.903614997863769531e-01,7.251591086387634277e-01
1.926785856485366821e-01,7.332010567188262939e-02,4.374711811542510986e-01,3.658694028854370117e-01,2.933216392993927002e-01,6.533287167549133301e-01,3.002677917480468750e+00
1.980923861265182495e-01,0.000000000000000000e+00,3.783320486545562744e-01,4.531345963478088379e-01,3.543780148029327393e-01,6.361081004142761230e-01,2.186438560485839844e+00
2.146764397621154785e-01,1.665025651454925537e-01,4.951195716857910156e-01,3.767043650150299072e-01,2.682095468044281006e-01,6.700433492660522461e-01,2.934422492980957031e+00
1.928434818983078003e-01,1.185484156012535095e-01,4.640345871448516846e-01,3.293636143207550049e-01,2.869820594787597656e-01,6.721498966217041016e-01,3.191288709640502930e+00
1.332003623247146606e-01,7.329647778533399105e-04,6.555069088935852051e-01,4.222936034202575684e-01,3.519177436828613281e-01,6.862581968307495117e-01,2.145910739898681641e+00
2.558176815509796143e-01,6.727191209793090820e-01,4.397152364253997803e-01,4.590359330177307129e-01,4.251100122928619385e-01,6.567699313163757324e-01,7.767986059188842773e-01
2.656748890876770020e-01,3.303158283233642578e-02,5.253761410713195801e-01,4.433299303054809570e-01,1.816510409116744995e-01,6.610059738159179688e-01,1.855493545532226562e+00
4.853695034980773926e-01,4.847328066825866699e-01,8.919185400009155273e-02,4.826331138610839844e-01,2.251325547695159912e-01,6.375644803047180176e-01,9.086560010910034180e-01
4.744886755943298340e-01,3.151530399918556213e-03,3.572910130023956299e-01,5.397768616676330566e-01,6.697685718536376953e-01,6.177979111671447754e-01,1.792460232973098755e-01
3.197491541504859924e-02,8.553154468536376953e-01,9.690437316894531250e-01,4.918500185012817383e-01,8.776354789733886719e-01,6.153277754783630371e-01,8.647011592984199524e-03
1.339488383382558823e-02,7.471684217453002930e-01,6.020032167434692383e-01,5.237716436386108398e-01,6.284709274768829346e-02,5.736910700798034668e-01,1.920509487390518188e-01
9.819915890693664551e-01,8.844499588012695312e-01,9.401899576187133789e-01,5.530034899711608887e-01,1.057444438338279724e-01,5.910835862159729004e-01,2.135978452861309052e-02
9.686648845672607422e-01,9.720467329025268555e-01,9.667882323265075684e-01,5.030714869499206543e-01,9.458956718444824219e-01,5.754964947700500488e-01,2.380485966568812728e-04
7.298619151115417480e-01,2.810352146625518799e-01,5.578584074974060059e-01,5.910861492156982422e-01,3.800039887428283691e-01,5.658981204032897949e-01,4.383001327514648438e-01
8.032783269882202148e-01,9.315529465675354004e-01,1.739130914211273193e-02,5.725320577621459961e-01,9.510997533798217773e-01,6.013940572738647461e-01,2.271475270390510559e-03
3.251404501497745514e-03,9.368174523115158081e-02,1.420001387596130371e-01,6.382305622100830078e-01,2.937708497047424316e-01,5.583277344703674316e-01,6.356244683265686035e-01
9.151224493980407715e-01,1.137050315737724304e-01,1.510670334100723267e-01,7.362692356109619141e-01,1.977314986288547516e-02,5.702674984931945801e-01,2.193505316972732544e-02
9.598267078399658203e-01,4.983288049697875977e-02,6.797487139701843262e-01,7.659276127815246582e-01,9.988096952438354492e-01,5.362199544906616211e-01,1.285824255319312215e-04
1.679790765047073364e-02,7.868028283119201660e-01,3.893049899488687515e-03,7.430495023727416992e-01,6.895272731781005859e-01,5.777905583381652832e-01,7.769599091261625290e-03
1.276162173599004745e-02,5.113862082362174988e-02,9.598845839500427246e-01,7.962540388107299805e-01,9.878900051116943359e-01,5.434280037879943848e-01,5.851540714502334595e-03
9.903765320777893066e-01,9.879836440086364746e-01,8.394789695739746094e-01,7.997085452079772949e-01,4.732093811035156250e-01,5.822979807853698730e-01,2.585996873676776886e-03
2.867600023746490479e-01,3.749300837516784668e-01,9.537413716316223145e-01,7.904360294342041016e-01,2.357991188764572144e-01,5.430605411529541016e-01,1.389184445142745972e-01
8.228811621665954590e-01,9.657154083251953125e-01,7.726790755987167358e-02,7.739380002021789551e-01,3.448185622692108154e-01,5.740682482719421387e-01,9.423632174730300903e-03
9.299618601799011230e-01,4.650959372520446777e-02,1.800936758518218994e-01,8.053302764892578125e-01,5.661337971687316895e-01,6.181117296218872070e-01,1.374933682382106781e-02
