controllable,controllable,controllable,environmental,controllable,environmental,output
3.979375660419464111e-01,8.559433817863464355e-01,5.904540419578552246e-01,9.367072582244873047e-01,3.060127198696136475e-01,4.385395050048828125e-01,-9.773567318916320801e-02
4.022105038166046143e-01,8.710728287696838379e-01,5.836935639381408691e-01,8.100053668022155762e-01,2.868433296680450439e-01,3.566095232963562012e-01,-4.567807912826538086e-01
4.004856944084167480e-01,8.559509515762329102e-01,5.301013588905334473e-01,4.681726992130279541e-01,2.987161278724670410e-01,2.764737010002136230e-01,-1.383135676383972168e+00
4.009050726890563965e-01,8.587489128112792969e-01,5.356711149215698242e-01,4.561138153076171875e-01,2.972923815250396729e-01,2.636487782001495361e-01,-1.452597022056579590e+00
4.027373194694519043e-01,8.706741929054260254e-01,5.774044394493103027e-01,5.421003699302673340e-01,2.838229835033416748e-01,2.540423870086669922e-01,-1.698537468910217285e+00
2.024073898792266846e-01,1.491246521472930908e-01,4.729575216770172119e-01,4.834084212779998779e-01,3.117069303989410400e-01,5.353199243545532227e-01,-1.984747529029846191e+00
1.979382932186126709e-01,1.509873121976852417e-01,4.842856228351593018e-01,5.972113609313964844e-01,3.131931722164154053e-01,5.303237438201904297e-01,-1.131583929061889648e+00
4.008380174636840820e-01,8.624442219734191895e-01,5.541935563087463379e-01,7.482470870018005371e-01,2.978063225746154785e-01,3.711553514003753662e-01,-5.274275541305541992e-01
1.908232718706130981e-01,1.606407761573791504e-01,5.026018619537353516e-01,6.881892085075378418e-01,3.181154131889343262e-01,4.174027442932128906e-01,-4.513028264045715332e-01
1.638100147247314453e-01,2.106111943721771240e-01,5.743035674095153809e-01,9.044260978698730469e-01,3.276228308677673340e-01,5.227742195129394531e-01,-9.619178622961044312e-02
4.037556946277618408e-01,8.776611685752868652e-01,6.433008313179016113e-01,7.253031730651855469e-01,2.544707357883453369e-01,2.739425301551818848e-01,-1.182839155197143555e+00
4.004248380661010742e-01,8.669463396072387695e-01,6.001995801925659180e-01,9.598116278648376465e-01,2.959364354610443115e-01,4.111437499523162842e-01,-1.074482947587966919e-01
3.961417973041534424e-01,7.967454195022583008e-01,7.416842579841613770e-01,9.756512045860290527e-01,2.328967452049255371e-01,4.785152971744537354e-01,-4.889121279120445251e-02
4.028080701828002930e-01,8.723194003105163574e-01,5.876608490943908691e-01,6.927978396415710449e-01,2.810943424701690674e-01,3.074174225330352783e-01,-1.033448457717895508e+00
1.942655593156814575e-01,1.557008475065231323e-01,4.936563372611999512e-01,6.354587078094482422e-01,3.157010674476623535e-01,4.316558837890625000e-01,-6.821103096008300781e-01
1.687194406986236572e-01,2.020078599452972412e-01,5.694167613983154297e-01,8.664199113845825195e-01,3.220079243183135986e-01,5.504248738288879395e-01,-1.441541910171508789e-01
4.042799174785614014e-01,8.805993199348449707e-01,7.183209061622619629e-01,7.908347249031066895e-01,2.122537344694137573e-01,2.512086331844329834e-01,-1.065299510955810547e+00
4.003091156482696533e-01,8.548656702041625977e-01,5.283396244049072266e-01,4.970155358314514160e-01,2.992900013923645020e-01,2.918306887149810791e-01,-1.315599799156188965e+00
4.038276076316833496e-01,8.797908425331115723e-01,6.738636493682861328e-01,9.919503331184387207e-01,2.175307124853134155e-01,3.183731138706207275e-01,-1.874026954174041748e-01
3.973371386528015137e-01,8.428872227668762207e-01,5.303931832313537598e-01,7.346349358558654785e-01,3.066220283508300781e-01,4.075298309326171875e-01,-4.059974849224090576e-01
4.034360945224761963e-01,8.749675154685974121e-01,6.119924783706665039e-01,5.265992283821105957e-01,2.703838944435119629e-01,2.164914309978485107e-01,-2.040555477142333984e+00
4.046134054660797119e-01,8.823714852333068848e-01,8.235571384429931641e-01,9.174525141716003418e-01,1.410115808248519897e-01,2.092657536268234253e-01,-6.548287272453308105e-01
4.044470489025115967e-01,8.815095424652099609e-01,7.617172002792358398e-01,8.421658873558044434e-01,1.835572719573974609e-01,2.424830198287963867e-01,-8.726289272308349609e-01
4.031261801719665527e-01,8.730041980743408203e-01,5.937326550483703613e-01,5.063630342483520508e-01,2.775932848453521729e-01,2.226800471544265747e-01,-1.941590666770935059e+00
4.034933447837829590e-01,8.783794045448303223e-01,6.469533443450927734e-01,9.485952854156494141e-01,2.429693937301635742e-01,3.319682776927947998e-01,-2.375707179307937622e-01
1.961041092872619629e-01,1.530597507953643799e-01,4.884713888168334961e-01,6.053166389465332031e-01,3.144915103912353516e-01,4.517912566661834717e-01,-8.797931075096130371e-01
3.968351781368255615e-01,8.320969939231872559e-01,5.051546096801757812e-01,4.234525561332702637e-01,3.050568997859954834e-01,2.971397042274475098e-01,-1.131021976470947266e+00
1.994607597589492798e-01,1.523732244968414307e-01,4.812228083610534668e-01,4.437500536441802979e-01,3.133984208106994629e-01,3.856138288974761963e-01,-1.430530548095703125e+00
