environmental,controllable,controllable,environmental,controllable,environmental,output
5.951057930949686936e-01,4.198110615713148697e-01,3.210828197332570300e-01,9.425241135572304252e-02,8.121304465763923286e-01,7.651930301674627621e-01,4.100234755484978566e-02
6.143071651458740234e-01,1.180055961012840271e-01,3.305394649505615234e-01,1.209256425499916077e-01,7.515615820884704590e-01,7.523696422576904297e-01,7.724387198686599731e-02
5.507720708847045898e-01,9.674246907234191895e-01,6.993039250373840332e-01,1.888971179723739624e-01,1.010083705186843872e-01,7.739865183830261230e-01,9.467609971761703491e-02
6.380661129951477051e-01,7.660781741142272949e-01,8.263336420059204102e-01,1.115642413496971130e-01,1.585709687788039446e-04,7.774555087089538574e-01,2.044724673032760620e-01
5.844946503639221191e-01,7.007666230201721191e-01,8.424997329711914062e-01,9.985350817441940308e-02,1.488450169563293457e-02,8.220553994178771973e-01,3.821964561939239502e-01
5.888507962226867676e-01,3.618978857994079590e-01,9.246903061866760254e-01,1.114584580063819885e-01,6.420544534921646118e-02,7.884144186973571777e-01,7.728388905525207520e-01
6.348975300788879395e-01,6.995164752006530762e-01,9.663184881210327148e-01,5.277151614427566528e-02,8.904313445091247559e-01,8.019972443580627441e-01,3.350505139678716660e-03
7.121452093124389648e-01,1.667568683624267578e-01,1.000000000000000000e+00,0.000000000000000000e+00,2.046743966639041901e-02,7.641015052795410156e-01,2.473009675741195679e-01
6.992593407630920410e-01,8.981465548276901245e-02,4.808284938335418701e-01,0.000000000000000000e+00,3.083454370498657227e-01,7.578514218330383301e-01,6.477693915367126465e-01
6.534328460693359375e-01,3.498507738113403320e-01,5.114075541496276855e-01,0.000000000000000000e+00,2.330961227416992188e-01,7.954014539718627930e-01,6.300162672996520996e-01
6.879417896270751953e-01,2.875157296657562256e-01,9.767798781394958496e-01,0.000000000000000000e+00,4.193999469280242920e-01,8.004238009452819824e-01,4.122322499752044678e-01
5.979560017585754395e-01,1.499394327402114868e-01,5.799274444580078125e-01,2.844773232936859131e-02,1.672891080379486084e-01,7.848383188247680664e-01,7.503068447113037109e-01
