environmental,controllable,controllable,environmental,controllable,environmental,output
7.806531786918640137e-01,1.456355899572372437e-01,3.611605763435363770e-01,2.867726981639862061e-01,3.048217594623565674e-01,5.514752864837646484e-01,-1.111094117164611816e+00
9.903540015220642090e-01,1.484430581331253052e-01,3.727951943874359131e-01,3.104211688041687012e-01,3.042894601821899414e-01,6.601520776748657227e-01,-5.405434966087341309e-01
9.168397784233093262e-01,1.458032578229904175e-01,3.573176264762878418e-01,5.032569169998168945e-01,3.046768605709075928e-01,5.051741003990173340e-01,-3.821873366832733154e-01
9.264043569564819336e-01,4.074375927448272705e-01,8.275665640830993652e-01,1.299366801977157593e-01,1.254750937223434448e-01,9.850650429725646973e-01,-1.230896472930908203e+00
7.035546898841857910e-01,3.299474418163299561e-01,7.742494940757751465e-01,1.490700244903564453e-01,2.502034306526184082e-01,8.090977072715759277e-01,-1.206233501434326172e+00
8.785144090652465820e-01,1.460397243499755859e-01,3.589054644107818604e-01,5.354280471801757812e-01,3.046675026416778564e-01,5.205174088478088379e-01,-3.984636962413787842e-01
6.487228870391845703e-01,3.811541497707366943e-01,8.121906518936157227e-01,4.586174488067626953e-01,1.931082010269165039e-01,9.120453000068664551e-01,-1.366969227790832520e+00
9.131506681442260742e-01,3.736678659915924072e-01,8.079718947410583496e-01,4.452010393142700195e-01,2.054025977849960327e-01,7.784156799316406250e-01,-7.928152680397033691e-01
8.097582459449768066e-01,1.464286893606185913e-01,3.635601699352264404e-01,5.420356392860412598e-01,3.046726286411285400e-01,5.744273066520690918e-01,-5.493794083595275879e-01
9.429584741592407227e-01,1.468624621629714966e-01,3.633515536785125732e-01,4.652852416038513184e-01,3.044880330562591553e-01,5.949915647506713867e-01,-4.696039557456970215e-01
8.670853972434997559e-01,1.468874961137771606e-01,3.652486205101013184e-01,2.384340614080429077e-01,3.045528233051300049e-01,6.550692915916442871e-01,-8.841872215270996094e-01
7.084897160530090332e-01,1.473235934972763062e-01,3.753898143768310547e-01,2.801257073879241943e-01,3.047322928905487061e-01,7.202991247177124023e-01,-1.503741860389709473e+00
7.696678638458251953e-01,1.472172290086746216e-01,3.807384669780731201e-01,3.092702664434909821e-02,3.049736320972442627e-01,6.120880246162414551e-01,-6.481432914733886719e-01
8.128374814987182617e-01,3.876790702342987061e-01,8.164770603179931641e-01,5.116338133811950684e-01,1.805942058563232422e-01,8.347439765930175781e-01,-9.895972609519958496e-01
8.290119767189025879e-01,1.455747187137603760e-01,3.596412837505340576e-01,2.063895761966705322e-01,3.047842979431152344e-01,5.318680405616760254e-01,-8.465562462806701660e-01
9.603712558746337891e-01,3.626220226287841797e-01,8.006631731986999512e-01,5.544143319129943848e-01,2.203034460544586182e-01,6.813713908195495605e-01,-4.045954942703247070e-01
