evaluation,mape
2.000000000000000000e+00,6.909714124249694001e-01
1.000000000000000000e+01,5.814567783388289168e-01
2.000000000000000000e+01,5.897934542667219171e-01
3.000000000000000000e+01,6.201557711438950848e-01
4.000000000000000000e+01,5.881949850357097720e-01
5.000000000000000000e+01,4.137504184074085045e-01
6.000000000000000000e+01,1.926037779324075716e-01
7.000000000000000000e+01,8.974998111183986327e-02
8.000000000000000000e+01,2.544410730121630937e-02
9.000000000000000000e+01,2.155742199678766305e-02
1.000000000000000000e+02,1.483677239611776166e-02
