environmental,controllable,controllable,environmental,controllable,environmental,output
2.701687802069810962e-01,6.076938178623428888e-01,2.162802412202167179e-01,9.307693658912807866e-02,3.951358316974138418e-01,1.066177090665156868e-01,1.895320582260894005e-01
2.657987773418426514e-01,6.025409102439880371e-01,2.584530711174011230e-01,1.489344090223312378e-01,9.383620619773864746e-01,5.906999856233596802e-02,1.935994178056716919e-01
2.158434092998504639e-01,8.734252303838729858e-02,9.891205430030822754e-01,8.725248277187347412e-02,4.187148809432983398e-01,1.056523993611335754e-02,2.880382537841796875e-02
2.832808494567871094e-01,5.252268314361572266e-01,9.512903094291687012e-01,1.078042462468147278e-01,5.672989487648010254e-01,0.000000000000000000e+00,1.059031039476394653e-01
2.381478995084762573e-01,6.876961588859558105e-01,2.961783707141876221e-01,6.438230723142623901e-02,9.413047432899475098e-01,4.561577737331390381e-02,1.118132919073104858e-01
1.759895384311676025e-01,5.930741429328918457e-01,5.179494991898536682e-02,1.054232418537139893e-01,6.384324431419372559e-01,5.462120473384857178e-02,7.743259519338607788e-02
1.756223291158676147e-01,5.933778285980224609e-01,8.843424916267395020e-01,1.099683418869972229e-01,5.136567354202270508e-02,1.610062643885612488e-02,8.710279315710067749e-02
9.002412855625152588e-02,2.949906140565872192e-02,8.517279624938964844e-01,1.738560944795608521e-01,5.892172455787658691e-01,0.000000000000000000e+00,2.262918651103973389e-02
1.147139444947242737e-01,8.387603163719177246e-01,9.071834683418273926e-01,7.890525460243225098e-02,4.432127773761749268e-01,0.000000000000000000e+00,6.863415241241455078e-02
1.528590470552444458e-01,1.687105931341648102e-02,5.844412446022033691e-01,0.000000000000000000e+00,6.372776627540588379e-01,9.309455752372741699e-03,6.422658264636993408e-02
8.803147822618484497e-02,9.833704233169555664e-01,5.673053264617919922e-01,0.000000000000000000e+00,2.803145945072174072e-01,0.000000000000000000e+00,2.710964530706405640e-02
4.332501068711280823e-02,9.713401198387145996e-01,3.469827026128768921e-02,0.000000000000000000e+00,7.039026021957397461e-01,0.000000000000000000e+00,1.126749534159898758e-02
2.108458429574966431e-03,1.818122416734695435e-01,9.069567918777465820e-01,8.247495442628860474e-02,4.919166117906570435e-02,0.000000000000000000e+00,1.209568511694669724e-02
0.000000000000000000e+00,9.256776571273803711e-01,4.284159541130065918e-01,1.920583657920360565e-02,9.692844152450561523e-01,2.999801188707351685e-02,1.733057945966720581e-02
6.991662085056304932e-02,6.366019695997238159e-02,8.073984384536743164e-01,3.879534453153610229e-02,5.244055017828941345e-02,2.775097079575061798e-02,2.281870320439338684e-02
5.558197200298309326e-02,1.403803676366806030e-01,9.872753620147705078e-01,0.000000000000000000e+00,8.666040897369384766e-01,0.000000000000000000e+00,2.769361250102519989e-03
2.666115015745162964e-02,3.320368006825447083e-02,7.220281362533569336e-01,5.381122976541519165e-02,4.627176374197006226e-02,3.123331442475318909e-02,3.057628311216831207e-02
8.645600080490112305e-02,5.972948670387268066e-01,7.038599848747253418e-01,8.597116917371749878e-03,4.925368428230285645e-01,0.000000000000000000e+00,4.008818790316581726e-02
2.711894363164901733e-02,9.295437932014465332e-01,2.275185436010360718e-01,7.786677032709121704e-02,9.884976744651794434e-01,4.862220957875251770e-02,2.374663017690181732e-02
1.263053119182586670e-01,9.075353145599365234e-01,8.468205332756042480e-01,4.620038717985153198e-02,3.536058589816093445e-02,9.426300227642059326e-02,5.539510399103164673e-02
1.888274252414703369e-01,9.204368591308593750e-01,7.740385532379150391e-01,0.000000000000000000e+00,1.229523494839668274e-01,1.282662004232406616e-01,6.017994508147239685e-02
1.040403023362159729e-01,2.627331763505935669e-02,5.406733136624097824e-03,0.000000000000000000e+00,3.419178724288940430e-01,1.631466299295425415e-01,1.263038963079452515e-01
1.609886884689331055e-01,9.370080828666687012e-01,6.874231249094009399e-02,0.000000000000000000e+00,9.139954447746276855e-01,1.407760381698608398e-01,3.355172276496887207e-02
6.521531194448471069e-02,9.950470328330993652e-01,3.136338666081428528e-02,0.000000000000000000e+00,8.154954910278320312e-01,1.118755415081977844e-01,1.308758184313774109e-02
