environmental,controllable,controllable,environmental,controllable,environmental,output
6.172974705696105957e-01,1.466012597084045410e-01,3.800955116748809814e-01,3.655166625976562500e-01,3.051598072052001953e-01,6.704105138778686523e-01,-1.843618869781494141e+00
8.265168666839599609e-01,1.493252962827682495e-01,3.859794735908508301e-01,2.573438547551631927e-02,3.044764697551727295e-01,6.599315404891967773e-01,-5.312928557395935059e-01
7.143993377685546875e-01,1.463476270437240601e-01,3.689984977245330811e-01,3.121269047260284424e-01,3.048513829708099365e-01,6.575549840927124023e-01,-1.504992008209228516e+00
5.836737155914306641e-01,1.466598063707351685e-01,3.877170681953430176e-01,3.038711547851562500e-01,3.054324388504028320e-01,6.671572923660278320e-01,-2.111109972000122070e+00
4.658645689487457275e-01,1.491656303405761719e-01,4.650617539882659912e-01,8.224680274724960327e-02,3.102428913116455078e-01,5.925035476684570312e-01,-1.747781991958618164e+00
6.796808242797851562e-01,1.480045169591903687e-01,3.996157646179199219e-01,5.022067576646804810e-02,3.054903745651245117e-01,6.458944082260131836e-01,-9.563605189323425293e-01
8.392819762229919434e-01,1.466131806373596191e-01,3.665452003479003906e-01,1.194274574518203735e-01,3.046682775020599365e-01,6.200605034828186035e-01,-7.449114322662353516e-01
7.790829539299011230e-01,1.461248695850372314e-01,3.632992208003997803e-01,3.718189299106597900e-01,3.047267496585845947e-01,6.229156255722045898e-01,-1.138544797897338867e+00
5.525642037391662598e-01,1.478171348571777344e-01,4.071708023548126221e-01,1.983401924371719360e-01,3.059218823909759521e-01,6.951793432235717773e-01,-2.082620620727539062e+00
4.837576150894165039e-01,1.496002227067947388e-01,4.284363687038421631e-01,2.159692347049713135e-01,3.065019547939300537e-01,7.461605668067932129e-01,-2.328549385070800781e+00
6.322157382965087891e-01,1.473410725593566895e-01,3.983576595783233643e-01,1.134228780865669250e-01,3.056614398956298828e-01,6.526523828506469727e-01,-1.403323650360107422e+00
7.072009444236755371e-01,1.459631919860839844e-01,3.762439191341400146e-01,1.280444264411926270e-01,3.052189350128173828e-01,5.618703961372375488e-01,-1.103306412696838379e+00
9.124592542648315430e-01,1.457963883876800537e-01,3.576286733150482178e-01,3.981640338897705078e-01,3.046544492244720459e-01,5.450444221496582031e-01,-5.984841585159301758e-01
4.852388799190521240e-01,1.469680666923522949e-01,4.074048101902008057e-01,4.086121320724487305e-01,3.062773048877716064e-01,6.292278170585632324e-01,-2.190524578094482422e+00
5.212107896804809570e-01,1.529325097799301147e-01,4.670204520225524902e-01,3.668017685413360596e-02,3.086847662925720215e-01,6.780490279197692871e-01,-1.338594317436218262e+00
5.429757237434387207e-01,1.476059108972549438e-01,4.318112432956695557e-01,9.866055101156234741e-02,3.075394034385681152e-01,5.903877615928649902e-01,-1.578730225563049316e+00
5.924791097640991211e-01,1.642150431871414185e-01,4.878541827201843262e-01,1.225719787180423737e-02,3.055605590343475342e-01,7.371475100517272949e-01,-9.669402241706848145e-01
7.027432322502136230e-01,1.459632962942123413e-01,3.736902475357055664e-01,1.698434799909591675e-01,3.051265180110931396e-01,5.836064815521240234e-01,-1.294406175613403320e+00
8.850147128105163574e-01,1.459890007972717285e-01,3.603289425373077393e-01,1.913174986839294434e-01,3.046334385871887207e-01,5.815513730049133301e-01,-7.282570004463195801e-01
6.682745218276977539e-01,1.460198312997817993e-01,3.713862597942352295e-01,3.515436351299285889e-01,3.050012290477752686e-01,6.163702011108398438e-01,-1.623118877410888672e+00
8.634294867515563965e-01,1.468630135059356689e-01,3.682657182216644287e-01,6.140680238604545593e-02,3.046489357948303223e-01,6.023013591766357422e-01,-5.334524512290954590e-01
6.941942572593688965e-01,2.990818321704864502e-01,7.404236793518066406e-01,1.777570229023694992e-03,2.682133316993713379e-01,7.143346071243286133e-01,-7.197309136390686035e-01
9.345742464065551758e-01,3.056197166442871094e-01,7.534798383712768555e-01,4.291181564331054688e-01,2.644924223423004150e-01,6.895713210105895996e-01,-5.796996355056762695e-01
9.805429577827453613e-01,1.465530842542648315e-01,3.616829216480255127e-01,3.438763022422790527e-01,3.045343756675720215e-01,5.957223176956176758e-01,-5.288631319999694824e-01
4.956252574920654297e-01,1.480492055416107178e-01,4.413917958736419678e-01,1.257206946611404419e-01,3.081372976303100586e-01,6.109086871147155762e-01,-1.940164566040039062e+00
8.501552343368530273e-01,1.457485556602478027e-01,3.590659201145172119e-01,2.730019688606262207e-01,3.047079145908355713e-01,5.674241185188293457e-01,-8.926479220390319824e-01
8.909515738487243652e-01,3.266846239566802979e-01,7.730300426483154297e-01,3.624033331871032715e-01,2.523454725742340088e-01,7.434339523315429688e-01,-8.106250762939453125e-01
9.872092008590698242e-01,1.461408734321594238e-01,3.591920435428619385e-01,2.533183991909027100e-01,3.046129345893859863e-01,5.652052164077758789e-01,-5.015438795089721680e-01
7.829038500785827637e-01,1.486097574234008789e-01,3.774079382419586182e-01,4.029686450958251953e-01,3.043922781944274902e-01,7.319269180297851562e-01,-1.036615133285522461e+00
5.586233139038085938e-01,1.465629339218139648e-01,3.917552530765533447e-01,3.223486542701721191e-01,3.056412339210510254e-01,6.482743620872497559e-01,-2.201404571533203125e+00
5.119089484214782715e-01,1.565987020730972290e-01,4.736927747726440430e-01,5.681322887539863586e-02,3.076553046703338623e-01,7.356558442115783691e-01,-1.434395074844360352e+00
7.926545143127441406e-01,1.503925323486328125e-01,3.940367698669433594e-01,4.158895462751388550e-02,3.044150769710540771e-01,6.919959783554077148e-01,-6.449714303016662598e-01
5.322538018226623535e-01,1.467895507812500000e-01,4.203847348690032959e-01,1.636775434017181396e-01,3.070925474166870117e-01,5.524300932884216309e-01,-1.850989460945129395e+00
8.123691082000732422e-01,1.472037434577941895e-01,3.682349920272827148e-01,3.901115059852600098e-01,3.045620918273925781e-01,6.805540323257446289e-01,-9.963716268539428711e-01
9.238464236259460449e-01,3.180606067180633545e-01,7.652813792228698730e-01,2.931691408157348633e-01,2.578042149543762207e-01,7.265861630439758301e-01,-7.430903911590576172e-01
7.476944923400878906e-01,1.464055180549621582e-01,3.676092624664306641e-01,2.627236843109130859e-01,3.047836422920227051e-01,6.557956337928771973e-01,-1.360282421112060547e+00
6.281344890594482422e-01,1.462488919496536255e-01,3.795812129974365234e-01,2.815292775630950928e-01,3.052472472190856934e-01,6.314091086387634277e-01,-1.891639113426208496e+00
