controllable,controllable,controllable,controllable,controllable,environmental,output
1.794090399856969054e-01,8.853391979969830183e-01,2.111232097182454970e-01,8.081507850064116871e-01,9.253745478254049583e-01,4.824408127380385158e-01,4.781001216515148866e-02
4.546210169792175293e-01,6.611489057540893555e-01,4.530677571892738342e-02,5.140405893325805664e-01,9.414799809455871582e-01,4.380601942539215088e-01,2.381583750247955322e-01
8.968154788017272949e-01,2.036708742380142212e-01,4.195658266544342041e-01,1.744868117384612560e-03,5.997809171676635742e-01,4.777906835079193115e-01,9.996791183948516846e-02
1.490781605243682861e-01,5.461632609367370605e-01,9.980083703994750977e-01,1.005973592400550842e-01,8.052470535039901733e-02,4.759872257709503174e-01,2.073310315608978271e-01
6.702345609664916992e-01,4.160032570362091064e-01,1.567069068551063538e-02,5.731289982795715332e-01,2.636038661003112793e-01,4.970680177211761475e-01,3.716018199920654297e-01
4.724338948726654053e-01,7.515323162078857422e-01,2.374530583620071411e-01,7.535778880119323730e-01,8.011057376861572266e-01,5.293066501617431641e-01,7.535875588655471802e-02
7.115748524665832520e-01,6.829655915498733521e-02,9.412488341331481934e-02,6.063269376754760742e-01,2.552781701087951660e-01,5.334179401397705078e-01,3.703966140747070312e-01
6.015445590019226074e-01,2.911758124828338623e-01,1.784623786807060242e-02,6.675226688385009766e-01,1.533926129341125488e-01,5.253764390945434570e-01,2.285282164812088013e-01
2.590957880020141602e-01,4.733297526836395264e-01,7.038971185684204102e-01,9.839798808097839355e-01,3.153550028800964355e-01,5.614984035491943359e-01,8.532013744115829468e-02
7.536652684211730957e-01,2.946226298809051514e-01,5.961421504616737366e-02,5.190047621726989746e-01,3.068356513977050781e-01,5.718300342559814453e-01,5.666385293006896973e-01
8.256977200508117676e-01,3.416235744953155518e-01,5.835816636681556702e-02,5.827943682670593262e-01,3.658515810966491699e-01,5.884085297584533691e-01,3.148029148578643799e-01
8.907814510166645050e-03,9.882400631904602051e-01,1.175317466259002686e-01,5.379720330238342285e-01,2.743762135505676270e-01,6.347225308418273926e-01,1.234847009181976318e-01
7.531048655509948730e-01,4.290066659450531006e-01,4.760756157338619232e-03,1.715165972709655762e-01,6.433000564575195312e-01,6.063600182533264160e-01,8.826960623264312744e-02
7.875967025756835938e-01,4.720261096954345703e-01,6.426506042480468750e-01,2.045637965202331543e-01,3.024050593376159668e-01,6.371867060661315918e-01,7.273979783058166504e-01
8.359281420707702637e-01,8.043356537818908691e-01,1.000000000000000000e+00,2.388755168551662294e-17,2.991451323032379150e-01,6.364027261734008789e-01,8.634417504072189331e-02
8.003281354904174805e-01,4.133108258247375488e-01,3.570092916488647461e-01,2.942225337028503418e-01,2.928222417831420898e-01,6.538400053977966309e-01,9.225521087646484375e-01
8.376117944717407227e-01,1.026501581072807312e-01,3.409864604473114014e-01,7.554022073745727539e-01,2.657465636730194092e-01,6.816746592521667480e-01,7.123969495296478271e-02
7.995474934577941895e-01,1.898062825202941895e-01,5.573623180389404297e-01,4.971390962600708008e-01,2.437064051628112793e-01,6.928631663322448730e-01,6.830578446388244629e-01
7.998372912406921387e-01,4.409931004047393799e-01,2.190968096256256104e-01,3.145804703235626221e-01,3.264469206333160400e-01,7.091388702392578125e-01,8.126531243324279785e-01
9.308903217315673828e-01,1.797994971275329590e-01,4.735139608383178711e-01,3.164339959621429443e-01,2.298699468374252319e-01,7.339148521423339844e-01,5.907486081123352051e-01
7.719820141792297363e-01,2.572202086448669434e-01,5.233360528945922852e-01,3.237214386463165283e-01,2.503148019313812256e-01,7.231225371360778809e-01,1.107360243797302246e+00
7.496104240417480469e-01,3.319398034363985062e-03,6.076573729515075684e-01,3.200722336769104004e-01,2.146589756011962891e-01,7.375079989433288574e-01,9.806715250015258789e-01
7.613086104393005371e-01,9.155724644660949707e-01,1.000000000000000000e+00,3.336240947246551514e-01,2.503386735916137695e-01,7.345269918441772461e-01,9.061033278703689575e-02
5.679733157157897949e-01,5.554882287979125977e-01,4.898457229137420654e-01,1.911488473415374756e-01,1.999418288469314575e-01,7.322171330451965332e-01,9.274273514747619629e-01
6.920146942138671875e-01,3.037612438201904297e-01,4.520012140274047852e-01,3.216598629951477051e-01,2.319092601537704468e-01,7.217248082160949707e-01,1.302092552185058594e+00
6.468629837036132812e-01,5.406773090362548828e-01,4.261960685253143311e-01,3.515417873859405518e-01,1.371018141508102417e-01,7.696264982223510742e-01,6.086204648017883301e-01
6.305543184280395508e-01,2.554079592227935791e-01,3.627102673053741455e-01,2.809202373027801514e-01,2.420791834592819214e-01,7.866720557212829590e-01,1.492547154426574707e+00
2.215082347393035889e-01,6.755209714174270630e-02,1.550628989934921265e-01,4.484275281429290771e-01,2.209727019071578979e-01,7.507483959197998047e-01,1.770806550979614258e+00
2.837748825550079346e-01,1.039933264255523682e-01,5.355989560484886169e-02,3.150631487369537354e-01,2.514062225818634033e-01,7.217788100242614746e-01,2.420510292053222656e+00
1.840134561061859131e-01,6.070083007216453552e-02,4.538083239672095748e-18,2.841393947601318359e-01,2.814476788043975830e-01,7.092275023460388184e-01,2.302269220352172852e+00
2.700966298580169678e-01,1.092926040291786194e-01,1.000000000000000000e+00,3.076761364936828613e-01,2.634225189685821533e-01,6.596534848213195801e-01,1.517896413803100586e+00
2.865960896015167236e-01,5.060346797108650208e-02,0.000000000000000000e+00,2.798504531383514404e-01,2.342407405376434326e-01,6.481344103813171387e-01,2.138118505477905273e+00
1.572446078062057495e-01,1.352387070655822754e-01,2.212638705968856812e-01,2.953460514545440674e-01,4.992304742336273193e-01,6.159929633140563965e-01,1.571991324424743652e+00
2.264971882104873657e-01,2.023057043552398682e-01,3.800351638346910477e-03,3.890305459499359131e-01,3.751854300498962402e-01,5.950503945350646973e-01,1.907640814781188965e+00
2.607811391353607178e-01,1.789945363998413086e-01,1.448830217123031616e-01,1.081740111112594604e-01,3.050012886524200439e-01,6.279875040054321289e-01,2.040588378906250000e+00
8.527963608503341675e-02,1.912522614002227783e-01,1.195197999477386475e-01,3.379394412040710449e-01,2.078688740730285645e-01,6.202424168586730957e-01,2.091333627700805664e+00
2.004692256450653076e-01,2.096255719661712646e-01,0.000000000000000000e+00,2.544365823268890381e-01,2.777754962444305420e-01,6.417937874794006348e-01,2.294201135635375977e+00
4.909763485193252563e-02,2.558082528412342072e-02,5.971774458885192871e-01,2.059763111174106598e-02,3.613320887088775635e-01,6.627588868141174316e-01,1.623528122901916504e+00
8.677628636360168457e-02,8.499014377593994141e-01,9.735795855522155762e-01,5.157321318984031677e-02,9.781288504600524902e-01,6.504901647567749023e-01,2.865889109671115875e-02
6.952615827322006226e-02,4.244536757469177246e-01,8.717003464698791504e-02,1.564898192882537842e-01,2.362494617700576782e-01,6.578096151351928711e-01,1.445565223693847656e+00
3.937166631221771240e-01,1.031999588012695312e-01,1.109181568026542664e-01,5.862579494714736938e-02,7.822990417480468750e-03,6.437913179397583008e-01,3.426530361175537109e-01
1.618426889181137085e-01,3.065724968910217285e-01,9.086457490921020508e-01,8.100058138370513916e-02,4.456809759140014648e-01,5.991401076316833496e-01,8.313822150230407715e-01
3.374525308609008789e-01,7.491222023963928223e-02,6.112263798713684082e-01,2.594054937362670898e-01,3.678143620491027832e-01,5.708774924278259277e-01,2.516248226165771484e+00
2.637002170085906982e-01,8.281295746564865112e-02,3.672357201576232910e-01,2.703150212764739990e-01,3.225515782833099365e-01,6.193314194679260254e-01,3.135326862335205078e+00
1.820685714483261108e-01,9.213128685951232910e-02,6.260870695114135742e-01,3.732240796089172363e-01,4.370476603507995605e-01,6.471514701843261719e-01,2.238680124282836914e+00
5.376725271344184875e-02,3.390460312366485596e-01,9.442223906517028809e-01,5.812613368034362793e-01,5.302706360816955566e-01,6.098288297653198242e-01,2.765468955039978027e-01
3.617762029170989990e-02,8.693750947713851929e-02,5.719656944274902344e-01,2.547804117202758789e-01,4.220299422740936279e-01,6.086499094963073730e-01,2.397852420806884766e+00
7.780299186706542969e-01,3.041250407695770264e-01,9.724608063697814941e-01,8.578741550445556641e-01,9.052304625511169434e-01,6.049972772598266602e-01,-1.528447773307561874e-02
8.365741968154907227e-01,9.576702117919921875e-01,9.776696562767028809e-01,3.308804333209991455e-01,9.362769126892089844e-01,6.148274540901184082e-01,3.282067552208900452e-02
3.469353914260864258e-01,3.214597404003143311e-01,3.537457883358001709e-01,3.439244925975799561e-01,3.623009026050567627e-01,5.982325673103332520e-01,2.402093887329101562e+00
1.042203977704048157e-01,7.023388743400573730e-01,9.204861521720886230e-01,6.040121316909790039e-01,1.074625924229621887e-02,6.058321595191955566e-01,1.111876741051673889e-01
3.025503829121589661e-02,9.600616991519927979e-02,4.888702929019927979e-01,9.796937555074691772e-02,2.020209133625030518e-01,6.113827824592590332e-01,1.819714307785034180e+00
2.359124571084976196e-01,9.607663750648498535e-02,5.921452641487121582e-01,7.577611133456230164e-03,8.019629120826721191e-01,6.345480084419250488e-01,8.049410581588745117e-01
4.056986868381500244e-01,9.763256460428237915e-02,9.792404174804687500e-01,4.577969610691070557e-01,9.266584515571594238e-01,6.007348299026489258e-01,3.449479863047599792e-02
9.725902974605560303e-02,7.038771361112594604e-02,7.299001216888427734e-01,3.915755450725555420e-01,2.371944338083267212e-01,5.907377600669860840e-01,1.974211573600769043e+00
3.268715143203735352e-01,1.085297837853431702e-01,3.074086606502532959e-01,3.041574060916900635e-01,4.004537761211395264e-01,5.614435672760009766e-01,2.385365486145019531e+00
8.932818174362182617e-01,9.028837829828262329e-02,1.210296303033828735e-01,9.964606165885925293e-01,7.182590365409851074e-01,5.604474544525146484e-01,-4.937895108014345169e-03
9.877305626869201660e-01,4.243046790361404419e-02,1.297423094511032104e-01,1.571085005998611450e-01,9.756509065628051758e-01,5.264895558357238770e-01,3.623281372711062431e-03
1.051565259695053101e-02,5.798393487930297852e-01,1.866397708654403687e-01,8.644352108240127563e-02,4.761545062065124512e-01,5.084744691848754883e-01,4.383394122123718262e-01
2.410351634025573730e-01,2.019137144088745117e-01,1.728768348693847656e-01,2.552830278873443604e-01,3.222034573554992676e-01,4.910287559032440186e-01,2.228312969207763672e+00
1.552165113389492035e-02,7.612183094024658203e-01,7.117979228496551514e-02,1.715372689068317413e-02,8.256133794784545898e-01,5.341514945030212402e-01,-5.415799096226692200e-04
2.327896887436509132e-03,5.023743957281112671e-02,6.820073723793029785e-01,3.257021307945251465e-01,1.437190920114517212e-02,5.697761178016662598e-01,5.923832058906555176e-01
6.261145472526550293e-01,2.333810552954673767e-03,4.583115279674530029e-01,1.590317487716674805e-01,2.996728420257568359e-01,5.247064828872680664e-01,1.300203680992126465e+00
6.716309580951929092e-04,1.330409850925207138e-02,4.636678099632263184e-02,6.187331080436706543e-01,2.326122373342514038e-01,5.682402849197387695e-01,6.109383702278137207e-01
9.920496344566345215e-01,1.103711873292922974e-01,8.659879565238952637e-01,9.162577986717224121e-01,4.087943118065595627e-03,5.569550991058349609e-01,3.273736312985420227e-02
9.836210012435913086e-01,9.952903985977172852e-01,2.764897346496582031e-01,8.716839551925659180e-01,3.525989502668380737e-02,5.716179013252258301e-01,5.980584025382995605e-02
2.827222347259521484e-01,4.020902216434478760e-01,4.408765137195587158e-01,3.379864096641540527e-01,2.212892472743988037e-01,5.365549921989440918e-01,1.992148280143737793e+00
8.320984840393066406e-01,7.123035192489624023e-01,9.365436434745788574e-01,9.200394153594970703e-01,5.419453382492065430e-01,5.717188119888305664e-01,1.515922602266073227e-03
8.882000297307968140e-02,4.367465674877166748e-01,6.272338032722473145e-01,4.932803213596343994e-01,3.065376877784729004e-01,5.261912345886230469e-01,1.238482117652893066e+00
