controllable,controllable,controllable,controllable,controllable,environmental,output
2.006712406873703003e-01,1.495516002178192139e-01,4.777371287345886230e-01,2.747451663017272949e-01,3.120810389518737793e-01,6.254651546478271484e-01,-3.296217918395996094e+00
2.027693837881088257e-01,1.507739424705505371e-01,4.766435921192169189e-01,2.759481668472290039e-01,3.111684024333953857e-01,6.934291720390319824e-01,-3.288787364959716797e+00
2.059048265218734741e-01,1.663669794797897339e-01,5.066133141517639160e-01,2.775542438030242920e-01,3.078442513942718506e-01,8.686215281486511230e-01,-2.356062889099121094e+00
1.986557841300964355e-01,1.490899175405502319e-01,4.803647696971893311e-01,2.735957503318786621e-01,3.128622472286224365e-01,5.660058856010437012e-01,-3.113102912902832031e+00
2.012841403484344482e-01,1.498160511255264282e-01,4.771470427513122559e-01,2.750943899154663086e-01,3.118074834346771240e-01,6.447306275367736816e-01,-3.318279504776000977e+00
2.055153697729110718e-01,1.572292149066925049e-01,4.865245521068572998e-01,2.773434817790985107e-01,3.093829452991485596e-01,8.130053281784057617e-01,-2.753975391387939453e+00
1.966729164123535156e-01,1.490461677312850952e-01,4.835711717605590820e-01,2.723778188228607178e-01,3.136571943759918213e-01,5.098900198936462402e-01,-2.803680419921875000e+00
1.980380415916442871e-01,1.490342319011688232e-01,4.813109636306762695e-01,2.732059061527252197e-01,3.131211996078491211e-01,5.485097169876098633e-01,-3.029112815856933594e+00
2.036007642745971680e-01,1.516903638839721680e-01,4.771777391433715820e-01,2.763583362102508545e-01,3.108009696006774902e-01,7.227736115455627441e-01,-3.213459014892578125e+00
2.058823108673095703e-01,1.643355488777160645e-01,5.021330118179321289e-01,2.775754332542419434e-01,3.081742525100708008e-01,8.605099320411682129e-01,-2.416985273361206055e+00
2.055971175432205200e-01,1.579392105340957642e-01,4.880428910255432129e-01,2.773915827274322510e-01,3.092409074306488037e-01,8.199009895324707031e-01,-2.707871913909912109e+00
2.055044025182723999e-01,1.833786368370056152e-01,5.427417755126953125e-01,2.773800790309906006e-01,3.050827980041503906e-01,9.013867378234863281e-01,-2.107259035110473633e+00
1.997232586145401001e-01,1.493149250745773315e-01,4.789060056209564209e-01,2.742173969745635986e-01,3.124516904354095459e-01,5.967061519622802734e-01,-3.228550672531127930e+00
2.049960941076278687e-01,1.547186076641082764e-01,4.815458655357360840e-01,2.770737409591674805e-01,3.099104166030883789e-01,7.831377387046813965e-01,-2.938485383987426758e+00
2.041211426258087158e-01,1.525327265262603760e-01,4.780356287956237793e-01,2.766371369361877441e-01,3.104909658432006836e-01,7.438884377479553223e-01,-3.134383916854858398e+00
1.992532461881637573e-01,1.491791009902954102e-01,4.794903397560119629e-01,2.739491164684295654e-01,3.126293718814849854e-01,5.832679271697998047e-01,-3.183269500732421875e+00
2.058457136154174805e-01,1.614766418933868408e-01,4.957536458969116211e-01,2.775231003761291504e-01,3.086257874965667725e-01,8.457648158073425293e-01,-2.525797128677368164e+00
2.020988911390304565e-01,1.502591520547866821e-01,4.766712784767150879e-01,2.755568325519561768e-01,3.114789724349975586e-01,6.704927086830139160e-01,-3.317867994308471680e+00
2.052525430917739868e-01,1.558436602354049683e-01,4.837636351585388184e-01,2.772141993045806885e-01,3.096566200256347656e-01,7.981757521629333496e-01,-2.848895311355590820e+00
2.043191939592361450e-01,1.529184877872467041e-01,4.786187410354614258e-01,2.767424881458282471e-01,3.103751242160797119e-01,7.523618340492248535e-01,-3.097207546234130859e+00
2.003563642501831055e-01,1.494425684213638306e-01,4.780690073966979980e-01,2.745955586433410645e-01,3.121946752071380615e-01,6.161809563636779785e-01,-3.278847694396972656e+00
2.017848342657089233e-01,1.500757187604904175e-01,4.768099188804626465e-01,2.753897905349731445e-01,3.116125762462615967e-01,6.603406667709350586e-01,-3.322128772735595703e+00
1.971466690301895142e-01,1.490248441696166992e-01,4.827889800071716309e-01,2.726715207099914551e-01,3.134614825248718262e-01,5.228998064994812012e-01,-2.885199546813964844e+00
2.031635344028472900e-01,1.512100249528884888e-01,4.767490923404693604e-01,2.761295437812805176e-01,3.109833598136901855e-01,7.093423604965209961e-01,-3.253104925155639648e+00
2.056328952312469482e-01,1.768382787704467773e-01,5.292664170265197754e-01,2.774689197540283203e-01,3.061835765838623047e-01,8.937410116195678711e-01,-2.165141344070434570e+00
