controllable,controllable,controllable,controllable,controllable,environmental,output
1.946237832307815552e-01,1.493645906448364258e-01,4.873163998126983643e-01,2.710191905498504639e-01,3.145294189453125000e-01,4.509270191192626953e-01,-2.381700277328491211e+00
1.910097002983093262e-01,1.522360146045684814e-01,4.953921139240264893e-01,2.682328224182128906e-01,3.165902793407440186e-01,3.277207016944885254e-01,-1.421611666679382324e+00
1.938192844390869141e-01,1.496403068304061890e-01,4.889015555381774902e-01,2.704405188560485840e-01,3.149113655090332031e-01,4.264789223670959473e-01,-2.190718173980712891e+00
1.941364854574203491e-01,1.495057344436645508e-01,4.882547259330749512e-01,2.706880569458007812e-01,3.147517442703247070e-01,4.365942180156707764e-01,-2.270375728607177734e+00
1.909230053424835205e-01,1.526637673377990723e-01,4.959371685981750488e-01,2.679887413978576660e-01,3.167358338832855225e-01,3.182285726070404053e-01,-1.352921485900878906e+00
4.031904637813568115e-01,8.736916780471801758e-01,5.991111993789672852e-01,5.665189623832702637e-01,2.755672931671142578e-01,2.449865341186523438e-01,-1.795060038566589355e+00
1.933672726154327393e-01,1.498019993305206299e-01,4.897101223468780518e-01,2.701191604137420654e-01,3.151065409183502197e-01,4.139886498451232910e-01,-2.091586351394653320e+00
1.918302029371261597e-01,1.510024368762969971e-01,4.932259917259216309e-01,2.688950598239898682e-01,3.160174190998077393e-01,3.605009615421295166e-01,-1.668830871582031250e+00
1.931159198284149170e-01,1.499693542718887329e-01,4.903447926044464111e-01,2.699318230152130127e-01,3.152548372745513916e-01,4.046486020088195801e-01,-2.017188072204589844e+00
1.922066807746887207e-01,1.506168544292449951e-01,4.923314750194549561e-01,2.691953778266906738e-01,3.157492280006408691e-01,3.744736313819885254e-01,-1.777848601341247559e+00
4.024882912635803223e-01,8.692321181297302246e-01,5.696451663970947266e-01,5.627855658531188965e-01,2.866884469985961914e-01,2.709794640541076660e-01,-1.547025799751281738e+00
4.028476774692535400e-01,8.714636564254760742e-01,5.822018980979919434e-01,5.646247267723083496e-01,2.820777893066406250e-01,2.593734562397003174e-01,-1.656132698059082031e+00
4.011624157428741455e-01,8.606867790222167969e-01,5.407891869544982910e-01,5.557706356048583984e-01,2.962228357791900635e-01,3.013441562652587891e-01,-1.279384255409240723e+00
4.036034345626831055e-01,8.761581778526306152e-01,6.259472966194152832e-01,5.686014294624328613e-01,2.645895779132843018e-01,2.245677560567855835e-01,-1.996437788009643555e+00
4.030030965805053711e-01,8.725113868713378906e-01,5.897786617279052734e-01,5.655464529991149902e-01,2.790801525115966797e-01,2.529082000255584717e-01,-1.718135356903076172e+00
1.928108632564544678e-01,1.501487791538238525e-01,4.909690022468566895e-01,2.697024643421173096e-01,3.154126107692718506e-01,3.952084779739379883e-01,-1.941995382308959961e+00
4.022077918052673340e-01,8.674390316009521484e-01,5.617066025733947754e-01,5.613124966621398926e-01,2.895006835460662842e-01,2.788539826869964600e-01,-1.474904537200927734e+00
4.034824073314666748e-01,8.753892183303833008e-01,6.164445281028747559e-01,5.679488182067871094e-01,2.687552869319915771e-01,2.315784692764282227e-01,-1.926974296569824219e+00
1.914965659379959106e-01,1.514298319816589355e-01,4.940930902957916260e-01,2.686010301113128662e-01,3.162167370319366455e-01,3.472593426704406738e-01,-1.567306280136108398e+00
4.038311243057250977e-01,8.774170875549316406e-01,6.460028886795043945e-01,5.696842670440673828e-01,2.560264170169830322e-01,2.109605371952056885e-01,-2.131300210952758789e+00
1.923403292894363403e-01,1.504953801631927490e-01,4.920107722282409668e-01,2.693306803703308105e-01,3.156760632991790771e-01,3.792597353458404541e-01,-1.815539002418518066e+00
1.913992762565612793e-01,1.515927761793136597e-01,4.943456649780273438e-01,2.685189843177795410e-01,3.163098096847534180e-01,3.428822755813598633e-01,-1.534207820892333984e+00
1.907708346843719482e-01,1.531958431005477905e-01,4.965831041336059570e-01,2.678098380565643311e-01,3.169053494930267334e-01,3.080387711524963379e-01,-1.280894756317138672e+00
4.016145467758178711e-01,8.637489676475524902e-01,5.489326119422912598e-01,5.582699179649353027e-01,2.937639653682708740e-01,2.922590672969818115e-01,-1.356331706047058105e+00
1.926935166120529175e-01,1.501953303813934326e-01,4.913117289543151855e-01,2.695999741554260254e-01,3.154831230640411377e-01,3.908639848232269287e-01,-1.907448530197143555e+00
