controllable,controllable,controllable,controllable,controllable,environmental,output
8.112374284600767371e-01,3.075914099201896290e-01,5.954240212290068390e-01,4.124235035456074172e-01,3.044230752828066544e-01,9.834535130452342067e-01,6.425715493396881861e-01
8.553000092506408691e-01,7.010371237993240356e-02,9.507250189781188965e-01,3.790152966976165771e-01,2.722456753253936768e-01,1.000000000000000000e+00,4.748428165912628174e-01
1.168483793735504150e-01,9.626273512840270996e-01,1.333129853010177612e-01,3.309392184019088745e-02,9.173576235771179199e-01,1.000000000000000000e+00,6.436739116907119751e-02
7.331460118293762207e-01,7.223842144012451172e-01,2.324643046250637288e-18,4.727836847305297852e-01,3.620072901248931885e-01,1.000000000000000000e+00,1.821335107088088989e-01
7.546283006668090820e-01,1.750796735286712646e-01,3.596397340297698975e-01,6.987888216972351074e-01,5.209955573081970215e-02,9.702902436256408691e-01,2.450603060424327850e-02
6.747746467590332031e-01,8.961162716150283813e-02,7.025607824325561523e-01,9.290074110031127930e-01,7.979758977890014648e-01,9.429914951324462891e-01,-3.796300664544105530e-02
6.486439704895019531e-01,2.442632168531417847e-01,2.571844682097434998e-02,4.056068360805511475e-01,4.658355414867401123e-01,8.981515765190124512e-01,4.926538467407226562e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.092311859130859375e-01,0.000000000000000000e+00,8.965669274330139160e-01,7.116687297821044922e-02
1.000000000000000000e+00,3.515248894691467285e-01,1.000000000000000000e+00,3.467458784580230713e-01,2.281341850757598877e-01,8.776968717575073242e-01,6.414538621902465820e-01
3.898663818836212158e-01,3.133809864521026611e-01,1.000000000000000000e+00,3.899250328540802002e-01,4.232157394289970398e-02,8.358500599861145020e-01,7.245019078254699707e-01
1.013176511682452666e-14,3.160253465175628662e-01,1.000000000000000000e+00,4.018318653106689453e-01,1.000000000000000000e+00,7.980524301528930664e-01,4.313260316848754883e-02
1.000000000000000000e+00,3.058257400989532471e-01,2.950048042763171730e-15,3.941127061843872070e-01,3.606667742133140564e-02,8.144701719284057617e-01,1.021341830492019653e-01
0.000000000000000000e+00,3.168356418609619141e-01,9.623950123786926270e-01,4.118759036064147949e-01,1.629045456647872925e-01,7.850141525268554688e-01,1.109532594680786133e+00
0.000000000000000000e+00,3.354703485965728760e-01,1.000000000000000000e+00,3.914861977100372314e-01,2.405022680759429932e-01,8.210965394973754883e-01,1.044457912445068359e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.761606335639953613e-01,0.000000000000000000e+00,2.540153264999389648e-01,8.560909628868103027e-01,8.893633484840393066e-01
3.039326369762420654e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.084637224674224854e-01,8.252983689308166504e-01,5.882245302200317383e-02
0.000000000000000000e+00,2.972752749919891357e-01,1.000000000000000000e+00,1.231575533747673035e-01,1.693207174539566040e-01,8.593366742134094238e-01,1.001994609832763672e+00
0.000000000000000000e+00,1.918234527111053467e-01,1.000000000000000000e+00,1.000000000000000000e+00,2.276623696088790894e-01,8.699961900711059570e-01,2.192309498786926270e-01
